eval/episode_success_easy,step,training/entropy,training/log_alpha,eval/episode_success_hard,training/actor_loss,_timestamp,eval/episode_reward_near,training/alpha_loss,eval/episode_success,training/sps,render,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_any,eval/episode_dist,training/critic_loss,eval/episode_reward_dist,eval/episode_reward_ctrl,_runtime,_step
,,,,,,1773900218.3649404,,,,,"{'path': 'media/html/render_0_4a8c373a1fb080c0163d.html', 'size': 3873905.0, '_type': 'html-file', 'sha256': '4a8c373a1fb080c0163d0c265f705cbf01a22f4d4cd777841d48342bafb4d37f'}",,,,,,,,64.380777212,0.0
,,,,,,1773900314.9141896,,,,,"{'path': 'media/html/render_1_d891f62d0b015e3ef718.html', 'size': 3880953.0, '_type': 'html-file', 'sha256': 'd891f62d0b015e3ef7189e8b8a06d8b04c243bba81aaa4ce39fa252fa662332f'}",,,,,,,,160.929965076,1.0
5.251953125,1333248.0,0.0,0.0,0.0,-26.91761016845703,1773900315.0939746,0.0,1.8688534498214722,0.421875,8438.657033138556,,470.8408203125,0.421875,0.0166015625,3850.59912109375,0.19596847891807556,0.0,-983.18505859375,186.063787204,1333248.0
16.4267578125,1587200.0,0.0,0.0,0.0,-26.516700744628906,1773900340.0474448,0.0,0.0024180046748369932,1.7578125,23585.482267575077,,677.466796875,1.7578125,0.0205078125,5347.1181640625,0.23381733894348145,0.0,-1304.4024658203125,211.537388929,1587200.0
27.1748046875,1841152.0,0.0,0.0,0.0,-28.83971405029297,1773900365.5210135,0.0,2.984236016345676e-05,3.095703125,22977.24189085356,,801.8134765625,3.095703125,0.0302734375,6257.0263671875,0.44312769174575806,0.0,-1496.570556640625,237.061359782,1841152.0
4.732421875,2095104.0,0.0,0.0,0.0,-32.790191650390625,1773900391.0450294,0.0,0.0008262230549007654,0.1875,22561.673217402215,,853.3310546875,0.1875,0.0029296875,6860.05029296875,0.5709768533706665,0.0,-1754.00146484375,262.878105943,2095104.0
20.44140625,2349056.0,0.0,0.0,0.0,-35.037322998046875,1773900468.2183743,0.0,0.0007301284349523485,0.7138671875,22303.578552377512,"{'path': 'media/html/render_2349056_71ed7afbed7c09632b1c.html', 'size': 3857577.0, '_type': 'html-file', 'sha256': '71ed7afbed7c09632b1caa20fa133c4ed6b32da403e923a548951d8f7b52d169'}",644.71484375,0.7138671875,0.0185546875,4952.017578125,0.5146386027336121,0.0,-1340.3917236328125,314.234155292,2349056.0
20.615234375,2603008.0,0.0,0.0,0.0,-31.278955459594727,1773900468.4036872,0.0,0.0004926532856188715,0.8935546875,22329.8711051645,,787.21484375,0.8935546875,0.01953125,6408.7919921875,0.48019614815711975,0.0,-1423.07177734375,340.231688523,2603008.0
15.986328125,2856960.0,0.0,0.0,0.0,-28.720548629760742,1773900494.2148752,0.0,0.0001349809899693355,1.2626953125,22111.460649963068,,775.1171875,1.2626953125,0.0263671875,6242.482421875,0.5156152248382568,0.0,-1458.5126953125,365.929859754,2856960.0
20.3857421875,3110912.0,0.0,0.0,0.0,-26.732189178466797,1773900519.91353,0.0,0.00022776892001274973,4.4853515625,22250.04928065404,,719.8662109375,4.4853515625,0.025390625,6153.6591796875,0.5440284609794617,0.0,-1305.50341796875,391.729177427,3110912.0
23.6123046875,3364864.0,0.0,0.0,0.0,-25.784997940063477,1773900545.712759,0.0,9.207621042151004e-05,8.373046875,22133.936926817976,,678.6845703125,8.373046875,0.0361328125,5629.1201171875,0.6039058566093445,0.0,-1226.792236328125,417.32697016,3364864.0
40.94921875,3618816.0,0.0,0.0,0.0,-24.261919021606445,1773900623.8696108,0.0,0.00016502529615536332,12.46875,22272.159586604026,"{'path': 'media/html/render_3618816_02acc2484a70c4798eb8.html', 'size': 3871125.0, '_type': 'html-file', 'sha256': '02acc2484a70c4798eb83a76de765d1e19d69cc894f81d32b2b4d98c87782487'}",796.8623046875,12.46875,0.05078125,6554.0888671875,0.6594914197921753,0.0,-1412.05078125,469.885433177,3618816.0
29.0341796875,3872768.0,0.0,0.0,0.0,-22.342090606689453,1773900624.054824,0.0,1.3980657968204468e-05,9.5087890625,22024.606173652715,,789.8564453125,9.5087890625,0.0478515625,6475.59765625,0.6968321800231934,0.0,-1372.825927734375,495.781652181,3872768.0
94.9833984375,4126720.0,0.0,0.0,0.0,-20.997879028320312,1773900649.765219,0.0,9.261850937036797e-05,44.0625,22033.688561754694,,783.3466796875,44.0625,0.1083984375,5991.224609375,0.7431851029396057,0.0,-1395.384033203125,521.645313275,4126720.0
58.1083984375,4380672.0,0.0,0.0,0.0,-21.322399139404297,1773900675.6288285,0.0,-5.908973889745539e-06,30.0703125,22011.08918437771,,743.498046875,30.0703125,0.0830078125,6048.13916015625,0.7900190949440002,0.0,-1275.8070068359375,547.32406273,4380672.0
45.767578125,4634624.0,0.0,0.0,0.0,-20.850927352905273,1773900701.3075697,0.0,5.563263766816817e-05,19.9033203125,22078.37421139365,,742.1552734375,19.9033203125,0.0732421875,6125.029296875,0.8232542276382446,0.0,-1232.82861328125,573.16250467,4634624.0
104.96484375,4888576.0,0.0,0.0,0.0,-21.505887985229492,1773900778.5923395,0.0,4.807550794794224e-05,59.5107421875,22053.961503912073,"{'path': 'media/html/render_4888576_6fcfef2192d7536a7ebe.html', 'size': 3870797.0, '_type': 'html-file', 'sha256': '6fcfef2192d7536a7ebed94660fef09a7d389a3d71e15a2d97253b22f402bb4f'}",794.8427734375,59.5107421875,0.125,6136.70263671875,0.8700854778289795,0.0,-1464.63232421875,624.608127853,4888576.0
89.076171875,5142528.0,0.0,0.0,0.0,-20.659622192382812,1773900778.7725542,0.0,3.402158836252056e-05,65.2470703125,22108.82210922293,,838.7294921875,65.2470703125,0.123046875,6533.4658203125,0.871359646320343,0.0,-1493.7879638671875,650.680825369,5142528.0
97.9853515625,5396480.0,0.0,0.0,0.0,-20.779037475585938,1773900804.6644666,0.0,-4.959483339916915e-05,49.0654296875,21976.2113356982,,801.716796875,49.0654296875,0.115234375,6163.8818359375,0.9019113779067993,0.0,-1486.1104736328125,676.350349422,5396480.0
101.630859375,5650432.0,0.0,0.0,0.0,-20.752714157104492,1773900830.3341048,0.0,6.614404264837503e-05,62.4404296875,22109.08965215281,,809.9873046875,62.4404296875,0.1513671875,5913.3505859375,0.926294207572937,0.0,-1485.70703125,702.225020742,5650432.0
86.3837890625,5904384.0,0.0,0.0,0.0,-21.01567268371582,1773900856.2085714,0.0,3.9917867979966104e-05,58.751953125,21989.877993564634,,724.6845703125,58.751953125,0.123046875,5703.08203125,0.9545573592185974,0.0,-1290.47998046875,727.905208774,5904384.0
111.1962890625,6158336.0,0.0,0.0,0.0,-20.603853225708008,1773900934.1231186,0.0,-4.434225775185041e-05,80.4033203125,22102.39384816862,"{'path': 'media/html/render_6158336_d3d313600eeaa2be6553.html', 'size': 3876069.0, '_type': 'html-file', 'sha256': 'd3d313600eeaa2be65532fcfd61266caf11f80e697edac020dc00d9f13026bc9'}",739.60546875,80.4033203125,0.16015625,5498.93017578125,0.9665906429290771,0.0,-1365.121337890625,780.138906238,6158336.0
