eval/episode_success,training/entropy,render,_runtime,_step,eval/episode_dist,eval/episode_reward_dist,training/alpha_loss,eval/episode_reward_near,eval/episode_reward,training/critic_loss,training/log_alpha,_timestamp,eval/episode_reward_survive,eval/episode_reward_ctrl,eval/episode_success_easy,training/sps,training/actor_loss,step,eval/episode_success_any,eval/episode_success_hard
,,"{'size': 3898209.0, '_type': 'html-file', 'sha256': 'e5202e561af2f5737da8ff4e4caa5b9f940ae1d8ada5d05cb650eac09b2bce53', 'path': 'media/html/render_0_e5202e561af2f5737da8.html'}",64.442831475,0.0,,,,,,,,1773912778.3604872,,,,,,,,
,,"{'path': 'media/html/render_1_f52334918d7ad70c8cf5.html', 'size': 3877033.0, '_type': 'html-file', 'sha256': 'f52334918d7ad70c8cf5688fa356dd9320ffa88a3620456914d43b52789ab59e'}",161.923281947,1.0,,,,,,,,1773912875.8409443,,,,,,,,
0.603515625,0.0,,188.311078677,1333248.0,6558.611328125,0.0,2.2153913974761963,0.0,0.603515625,2.3239307403564453,0.0,1773912876.0274372,832.2607421875,-1452.946533203125,11.5234375,8085.855757987149,-45.59690856933594,1333248.0,0.0078125,0.0
0.703125,0.0,,214.746555834,1587200.0,6961.70947265625,0.0,0.023626014590263367,0.0,0.703125,0.7794645428657532,0.0,1773912902.2282348,846.177734375,-1744.389404296875,19.0947265625,21140.864944717177,-31.470020294189453,1587200.0,0.0146484375,0.0
0.5009765625,0.0,,240.970115348,1841152.0,6765.1962890625,0.0,0.0002609995426610112,0.0,0.5009765625,0.1882978230714798,0.0,1773912928.6635735,809.2646484375,-1735.913330078125,13.3486328125,21153.89773221245,-17.05975914001465,1841152.0,0.015625,0.0
0.3427734375,0.0,,267.289433127,2095104.0,5336.8662109375,0.0,0.0001221887650899589,0.0,0.3427734375,0.0958857461810112,0.0,1773912954.8872025,653.9716796875,-1226.59716796875,12.15625,21261.054858793632,-10.51529312133789,2095104.0,0.01171875,0.0
0.4794921875,0.0,"{'size': 3868357.0, '_type': 'html-file', 'sha256': '67cbdd84994d90f0898546dbc455fb907983dc8331c49a913c85e2086788e1d1', 'path': 'media/html/render_2349056_67cbdd84994d90f08985.html'}",319.995478039,2349056.0,6408.5009765625,0.0,-8.200777665479109e-05,0.0,0.4794921875,0.13198722898960114,0.0,1773913033.9132094,818.4970703125,-1577.349609375,21.755859375,21371.388618093933,-9.362119674682617,2349056.0,0.0068359375,0.0
1.01953125,0.0,,346.359840412,2603008.0,6967.95263671875,0.0,2.0535142084554536e-06,0.0,1.01953125,0.19495944678783417,0.0,1773913034.1117132,862.0166015625,-1625.42236328125,27.4560546875,21556.54752954794,-9.997838973999023,2603008.0,0.005859375,0.0
2.515625,0.0,,372.406237226,2856960.0,6208.103515625,0.0,-9.211372525896877e-05,0.0,2.515625,0.2692229151725769,0.0,1773913060.277029,807.9775390625,-1512.495361328125,80.2294921875,21445.469590080083,-11.566332817077637,2856960.0,0.046875,0.0
5.158203125,0.0,,398.492435796,3110912.0,6685.7421875,0.0,1.5449263628397603e-06,0.0,5.158203125,0.3437781035900116,0.0,1773913086.323341,821.1552734375,-1550.9859619140625,52.46875,21600.400566575787,-13.122295379638672,3110912.0,0.05078125,0.0
