training/sps,eval/episode_success,eval/episode_reward_ctrl,eval/episode_success_any,training/log_alpha,_runtime,step,eval/episode_reward_near,eval/episode_reward,training/actor_loss,training/entropy,training/critic_loss,_step,eval/episode_success_easy,eval/episode_dist,eval/episode_reward_survive,training/alpha_loss,render,eval/episode_success_hard,_timestamp,eval/episode_reward_dist
22051.326167239535,95.7138671875,-1658.508056640625,0.1435546875,0.0,1023.130791959,8189952.0,0.0,95.7138671875,-19.23888397216797,0.0,0.8881592154502869,8189952.0,114.9443359375,6443.4462890625,855.779296875,2.058893551293295e-05,,0.0,1773907428.9246438,0.0
21989.74452506086,52.021484375,-1461.70458984375,0.08984375,0.0,1048.808047369,8443904.0,0.0,52.021484375,-19.859722137451172,0.0,0.9272863268852234,8443904.0,85.0888671875,6250.65966796875,782.3134765625,-2.4588149244664237e-05,,0.0,1773907454.7964041,0.0
22091.307327255625,125.646484375,-1623.6964111328125,0.1962890625,0.0,1100.507249816,8697856.0,0.0,125.646484375,-20.360692977905273,0.0,0.9133148789405823,8697856.0,150.6884765625,6173.8994140625,858.421875,-3.632231164374389e-05,"{'path': 'media/html/render_8697856_f4b39a45cbdc0cab757b.html', 'size': 3872401.0, '_type': 'html-file', 'sha256': 'f4b39a45cbdc0cab757b614bd160504cb15047b3a47d0f04eaf6ac2c34a83edf'}",0.0,1773907532.173399,0.0
22064.317187352764,86.3515625,-1489.136474609375,0.1474609375,0.0,1126.357385132,8951808.0,0.0,86.3515625,-21.7590274810791,0.0,0.9266008734703064,8951808.0,122.322265625,6070.12158203125,800.716796875,2.7407968445913866e-06,,0.0,1773907532.361719,0.0
22148.995181169892,72.501953125,-1626.050048828125,0.1123046875,0.0,1152.199695148,9205760.0,0.0,72.501953125,-22.018020629882812,0.0,0.954680323600769,9205760.0,101.96484375,7103.3916015625,897.2119140625,3.315526191727258e-05,,0.0,1773907558.022965,0.0
22053.968353320695,76.529296875,-1491.3408203125,0.142578125,0.0,1177.849879534,9459712.0,0.0,76.529296875,-22.73885726928711,0.0,0.9542096257209778,9459712.0,99.5478515625,6289.81103515625,815.501953125,-2.5786564947338775e-05,,0.0,1773907583.8651743,0.0
22163.27655539826,126.271484375,-1853.3460693359375,0.185546875,0.0,1203.678275875,9713664.0,0.0,126.271484375,-23.03093147277832,0.0,0.9464900493621826,9713664.0,165.546875,6666.666015625,929.7958984375,-5.39346046934952e-06,,0.0,1773907609.515382,0.0
22088.16011412704,121.0400390625,-1688.3736572265625,0.1748046875,0.0,1255.201445199,9967616.0,0.0,121.0400390625,-23.249462127685547,0.0,0.9372864365577698,9967616.0,148.998046875,6551.28271484375,894.9208984375,4.245764284860343e-05,"{'_type': 'html-file', 'sha256': '56e4d6af15e3b0dff1d216bd24a70f954512cb774843a0dd40c3e45456c293b7', 'path': 'media/html/render_9967616_56e4d6af15e3b0dff1d2.html', 'size': 3861665.0}",0.0,1773907686.8676362,0.0
22267.908489814512,117.8173828125,-1580.293212890625,0.169921875,0.0,1281.274081062,10221568.0,0.0,117.8173828125,-24.664365768432617,0.0,0.9296355247497559,10221568.0,139.2763671875,6211.8115234375,825.1728515625,-0.00010720229329308495,,0.0,1773907687.0750043,0.0
22025.358085037315,151.806640625,-1531.286376953125,0.19921875,0.0,1306.901446964,10475520.0,0.0,151.806640625,-24.78738784790039,0.0,0.939855694770813,10475520.0,165.580078125,5584.0146484375,808.0224609375,0.00010752509842859581,,0.0,1773907712.9395545,0.0
22200.45707678514,147.1708984375,-1622.606201171875,0.265625,0.0,1332.689789433,10729472.0,0.0,147.1708984375,-25.435726165771484,0.0,0.9457718729972839,10729472.0,191.0078125,5821.5380859375,853.208984375,-3.353246211190708e-05,,0.0,1773907738.5669715,0.0
22165.070632670504,125.7314453125,-1560.411865234375,0.1728515625,0.0,1358.250509708,10983424.0,0.0,125.7314453125,-26.16818618774414,0.0,0.9620423913002014,10983424.0,146.9892578125,6214.7587890625,837.875,-6.849993951618671e-05,,0.0,1773907764.3553538,0.0
22360.806340561605,107.201171875,-1508.209716796875,0.1474609375,0.0,1410.662870328,11237376.0,0.0,107.201171875,-28.067352294921875,0.0,0.9468606114387512,11237376.0,122.126953125,6337.78466796875,838.4716796875,1.8914389556812239e-06,"{'_type': 'html-file', 'sha256': '405d51c179198ef018d064f093b8e8c050768f988f9f0601a5178f990136322c', 'path': 'media/html/render_11237376_405d51c179198ef018d0.html', 'size': 3862557.0}",0.0,1773907842.329082,0.0
22239.226493618797,140.9150390625,-1691.286376953125,0.2001953125,0.0,1436.418192057,11491328.0,0.0,140.9150390625,-28.590890884399414,0.0,0.9668163061141968,11491328.0,169.0400390625,6388.6396484375,891.7001953125,-8.006051757547539e-06,,0.0,1773907842.5182343,0.0
22337.598292031867,142.5517578125,-1604.79150390625,0.1884765625,0.0,1462.159762546,11745280.0,0.0,142.5517578125,-29.548694610595703,0.0,0.9982529878616333,11745280.0,158.6279296875,6389.1865234375,876.52734375,-1.1039641321985982e-05,,0.0,1773907868.0834846,0.0
