training/actor_loss,training/critic_loss,eval/episode_reward_near,eval/episode_success,eval/episode_reward_ctrl,training/log_alpha,training/entropy,_runtime,training/sps,render,_step,eval/episode_success_hard,_timestamp,eval/episode_reward_survive,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_easy,training/alpha_loss,step,eval/episode_dist,eval/episode_reward
,,,,,,,64.493790621,,"{'size': 3897909.0, '_type': 'html-file', 'sha256': '7395fe248110a962ede0fd45223ec909d455bb827499fb07a21350e1d5aaabc5', 'path': 'media/html/render_0_7395fe248110a962ede0.html'}",0.0,,1773919059.6165953,,,,,,,,
,,,,,,,162.100781662,,"{'size': 3870873.0, '_type': 'html-file', 'sha256': '262f7d8c4cbaf6e25b96e6932e927c081ebcc579671d935b8b485e5a814553e0', 'path': 'media/html/render_1_262f7d8c4cbaf6e25b96.html'}",1.0,,1773919157.223604,,,,,,,,
-45.85750198364258,3.6643459796905518,0.0,0.2451171875,-1194.135986328125,0.0,0.0,188.715698361,7999.695149241009,,1333248.0,0.0,1773919157.4039664,707.85546875,0.0068359375,0.0,4.599609375,2.2556583881378174,1333248.0,5924.0771484375,0.2451171875
-27.88185691833496,1.0758000612258911,0.0,0.4609375,-1511.88623046875,0.0,0.0,215.349486333,20735.479917280933,,1587200.0,0.0,1773919183.837983,711.4501953125,0.01171875,0.0,7.20703125,0.028683938086032867,1587200.0,6095.615234375,0.4609375
-14.009750366210938,0.23421622812747955,0.0,0.046875,-2055.77734375,0.0,0.0,241.759250331,20791.45205139328,,1841152.0,0.0,1773919210.4716635,871.4111328125,0.0009765625,0.0,0.6171875,7.6420656114351e-05,1841152.0,7060.322265625,0.046875
-8.445079803466797,0.09496069699525833,0.0,1.2724609375,-1803.1400146484375,0.0,0.0,268.27287333,20923.647286255004,,2095104.0,0.0,1773919236.8816128,852.45703125,0.0087890625,0.0,12.8134765625,0.00016837725706864148,2095104.0,6826.232421875,1.2724609375
-6.767888069152832,0.07919108867645264,0.0,0.078125,-1540.952880859375,0.0,0.0,320.901783226,21028.0418881247,"{'_type': 'html-file', 'sha256': 'f91b572baa518d037b8d8eab592759b2739ada0476276ab1fe501f903ebb4170', 'path': 'media/html/render_2349056_f91b572baa518d037b8d.html', 'size': 3869977.0}",2349056.0,0.0,1773919316.0246766,812.365234375,0.0087890625,0.0,22.2314453125,4.1786614019656554e-05,2349056.0,6293.36865234375,0.078125
-6.824138164520264,0.1159437820315361,0.0,1.927734375,-1272.2972412109375,0.0,0.0,347.402058675,21301.59098410036,,2603008.0,0.0,1773919316.2130947,687.3662109375,0.0107421875,0.0,21.76171875,-1.8012311556958593e-05,2603008.0,5594.95703125,1.927734375
-7.510779857635498,0.179059237241745,0.0,0.873046875,-1559.568603515625,0.0,0.0,373.525184137,21178.685863391944,,2856960.0,0.0,1773919342.524294,797.1279296875,0.0126953125,0.0,22.234375,-5.4366846597986296e-05,2856960.0,6564.22900390625,0.873046875
-9.69665241241455,0.2633455991744995,0.0,1.91015625,-1566.482421875,0.0,0.0,399.699727343,21460.981599117233,,3110912.0,0.0,1773919368.6472633,806.0673828125,0.021484375,0.0,27.81640625,-0.00010573849431239069,3110912.0,6468.751953125,1.91015625
