eval/episode_dist,training/sps,eval/episode_reward_dist,training/critic_loss,render,training/log_alpha,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success,eval/episode_reward_ctrl,_step,eval/episode_success_hard,step,eval/episode_success_easy,eval/episode_success_any,training/alpha_loss,_timestamp,training/actor_loss,_runtime,eval/episode_reward,training/entropy
,,,,"{'sha256': '80e43958b923217a36515893c9b559b87a5794401f7b968d3b7b82dabdd07f8d', 'path': 'media/html/render_0_80e43958b923217a3651.html', 'size': 3905853.0, '_type': 'html-file'}",,,,,,0.0,,,,,,1773938317.5734653,,66.484441107,,
,,,,"{'path': 'media/html/render_1_3cd9ada0dcc3722d9f60.html', 'size': 3880245.0, '_type': 'html-file', 'sha256': '3cd9ada0dcc3722d9f6045512cff113c6c39b82657a941dda9f8a475b4d32c25'}",,,,,,1.0,,,,,,1773938416.5511956,,165.461952033,,
6039.0927734375,7856.914676462653,0.0,2.5390775203704834,,0.0,757.341796875,0.0,1.251953125,-1556.9351806640625,1333248.0,0.0,1333248.0,21.732421875,0.0126953125,2.0819108486175537,1773938416.7553928,-40.83015060424805,192.07603997,1.251953125,0.0
6247.10986328125,20722.99897456211,0.0,0.8893865346908569,,0.0,798.173828125,0.0,0.591796875,-1622.318603515625,1587200.0,0.0,1587200.0,13.74609375,0.0126953125,0.012513809837400913,1773938443.164529,-29.367063522338867,218.72234709,0.591796875,0.0
6235.8369140625,20715.77417798256,0.0,0.21819652616977692,,0.0,806.388671875,0.0,0.0576171875,-1609.832275390625,1841152.0,0.0,1841152.0,15.09375,0.0009765625,0.0006386485183611512,1773938469.8105907,-16.671024322509766,245.142844677,0.0576171875,0.0
6248.81689453125,20856.75046447626,0.0,0.06774505227804184,,0.0,758.8076171875,0.0,0.658203125,-1468.155029296875,2095104.0,0.0,2095104.0,8.0283203125,0.0068359375,0.00014130782801657915,1773938496.2312295,-9.238713264465332,271.627268414,0.658203125,0.0
6232.3369140625,21022.692613983192,0.0,0.06943400949239731,"{'sha256': 'a22396e9a853c14359ac6b946ccb9102c9d5041e47ac90d28520d89d48293989', 'path': 'media/html/render_2349056_a22396e9a853c14359ac.html', 'size': 3864249.0, '_type': 'html-file'}",0.0,803.3974609375,0.0,3.8017578125,-1690.628173828125,2349056.0,0.0,2349056.0,35.82421875,0.017578125,-8.264388452516869e-05,1773938576.146426,-7.199136257171631,325.057326563,3.8017578125,0.0
5242.5009765625,21333.91478971345,0.0,0.11846413463354111,,0.0,636.6953125,0.0,0.326171875,-1230.404296875,2603008.0,0.0,2603008.0,16.353515625,0.0087890625,-8.929002797231078e-05,1773938576.360893,-7.742838382720947,351.487974488,0.326171875,0.0
4819.16162109375,21305.830130256873,0.0,0.18964901566505432,,0.0,603.083984375,0.0,0.4931640625,-1142.358154296875,2856960.0,0.0,2856960.0,11.771484375,0.01171875,-3.259235018049367e-05,1773938602.5764189,-8.909319877624512,377.529390803,0.4931640625,0.0
5087.8037109375,21546.473290835587,0.0,0.2828129529953003,,0.0,612.1044921875,0.0,1.3388671875,-1140.98193359375,3110912.0,0.0,3110912.0,11.5654296875,0.0146484375,-6.873372331028804e-05,1773938628.6179042,-10.020915985107422,403.645169816,1.3388671875,0.0
