eval/episode_success_easy,training/sps,_timestamp,training/critic_loss,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,_runtime,_step,training/log_alpha,render,training/entropy,step,eval/episode_reward_survive,eval/episode_success_any,training/actor_loss,training/alpha_loss,eval/episode_reward,eval/episode_reward_near,eval/episode_dist,eval/episode_reward_ctrl
,,1773950926.5699768,,,,,66.283441619,0.0,,"{'path': 'media/html/render_0_e9efc707462eeabd86a9.html', 'size': 3868457.0, '_type': 'html-file', 'sha256': 'e9efc707462eeabd86a979f20a1495dc2b32bc35fe250d78195d8f5c2cc53a7c'}",,,,,,,,,,
,,1773951025.3757608,,,,,165.089034575,1.0,,"{'path': 'media/html/render_1_03fe2d2c6626f3585937.html', 'size': 3875101.0, '_type': 'html-file', 'sha256': '03fe2d2c6626f3585937ae39b61a42a37e3e2736cfa9be77545ab2e007946adc'}",,,,,,,,,,
3.314453125,7915.792742165456,1773951025.5594833,0.46917644143104553,0.1123046875,0.0,0.0,191.396467108,1333248.0,0.0,,0.0,1333248.0,546.3876953125,0.001953125,-31.228139877319336,2.0648653507232666,0.1123046875,0.0,4023.124755859375,-1087.17431640625
9.369140625,21226.09616122901,1773951051.6824677,0.19131587445735931,1.009765625,0.0,0.0,217.774431687,1587200.0,0.0,,0.0,1587200.0,609.4267578125,0.0048828125,-23.68419647216797,0.015990430489182472,1.009765625,0.0,5215.36376953125,-1278.6136474609375
16.2177734375,21178.716603823894,1773951078.0603745,0.18779563903808594,1.189453125,0.0,0.0,243.991211759,1841152.0,0.0,,0.0,1841152.0,715.134765625,0.0126953125,-19.64289093017578,7.896976603660733e-05,1.189453125,0.0,5813.5712890625,-1495.76123046875
7.3994140625,21210.45584523203,1773951104.2772875,0.22575168311595917,0.29296875,0.0,0.0,270.342195859,2095104.0,0.0,,0.0,2095104.0,708.240234375,0.0068359375,-17.91327476501465,0.00016344380856025964,0.29296875,0.0,6026.1708984375,-1362.447265625
4.2099609375,21252.180894236473,1773951183.9452028,0.27792948484420776,0.515625,0.0,0.0,323.658499432,2349056.0,0.0,"{'path': 'media/html/render_2349056_bf75ec0242b3b88a2ee6.html', 'size': 3859425.0, '_type': 'html-file', 'sha256': 'bf75ec0242b3b88a2ee6ceb1086f70ad337e68b01438e37c5cba75bf17199c59'}",0.0,2349056.0,785.5390625,0.0107421875,-16.860048294067383,0.00017591835057828575,0.515625,0.0,6505.52783203125,-1583.694580078125
25.2451171875,21391.976642408947,1773951184.161716,0.30314162373542786,3.1259765625,0.0,0.0,350.123258606,2603008.0,0.0,,0.0,2603008.0,840.3134765625,0.029296875,-16.141094207763672,7.912083674455062e-05,3.1259765625,0.0,6816.140625,-1702.2462158203125
16.8349609375,21249.02022885582,1773951210.4091651,0.3400396704673767,3.7158203125,0.0,0.0,376.202079279,2856960.0,0.0,,0.0,2856960.0,743.5537109375,0.02734375,-15.350123405456543,0.00018465939501766115,3.7158203125,0.0,6151.9423828125,-1431.3780517578125
14.5859375,21481.535167589456,1773951236.4882677,0.3757492005825043,2.4619140625,0.0,0.0,402.349906441,3110912.0,0.0,,0.0,3110912.0,754.154296875,0.0224609375,-15.244668006896973,2.522114482417237e-05,2.4619140625,0.0,6417.0732421875,-1332.53662109375
21.365234375,21432.71687023771,1773951262.6358702,0.4218088984489441,1.5224609375,0.0,0.0,428.2797173,3364864.0,0.0,,0.0,3364864.0,757.1171875,0.015625,-15.261393547058105,1.9267778043285944e-05,1.5224609375,0.0,6364.6923828125,-1362.494873046875
12.412109375,21587.186907213483,1773951341.38734,0.5052399039268494,2.4052734375,0.0,0.0,481.100642091,3618816.0,0.0,"{'path': 'media/html/render_3618816_92c1d324f33671583aac.html', 'size': 3858833.0, '_type': 'html-file', 'sha256': '92c1d324f33671583aacb5332cff9be4aba8a980ddb52d3de69171513c87ff7f'}",0.0,3618816.0,770.974609375,0.0185546875,-15.918434143066406,5.994559978717007e-05,2.4052734375,0.0,6346.31298828125,-1365.8681640625
7.677734375,21459.06839115758,1773951341.5754282,0.5716080665588379,0.8857421875,0.0,0.0,507.18677963,3872768.0,0.0,,0.0,3872768.0,686.369140625,0.01171875,-16.30744743347168,-2.6553989300737157e-05,0.8857421875,0.0,5773.3779296875,-1231.97265625
32.125,21623.98398583553,1773951367.4727862,0.656097948551178,6.4453125,0.0,0.0,533.272169624,4126720.0,0.0,,0.0,4126720.0,793.3818359375,0.044921875,-16.335363388061523,9.214727469952777e-06,6.4453125,0.0,6370.5009765625,-1435.8240966796875
40.5390625,21540.644451661385,1773951393.558165,0.7027275562286377,11.43359375,0.0,0.0,559.12282975,4380672.0,0.0,,0.0,4380672.0,785.794921875,0.05078125,-15.866503715515137,9.314973794971593e-06,11.43359375,0.0,6273.091796875,-1382.132568359375
22.9072265625,21711.094332361645,1773951419.4087875,0.7619029879570007,6.9775390625,0.0,0.0,585.184712404,4634624.0,0.0,,0.0,4634624.0,698.236328125,0.0576171875,-16.46677017211914,-4.284494571038522e-05,6.9775390625,0.0,5710.228515625,-1205.8843994140625
76.0947265625,21578.310132691735,1773951497.4659715,0.7548813223838806,36.841796875,0.0,0.0,637.179246046,4888576.0,0.0,"{'path': 'media/html/render_4888576_3b565a237abc55c490b3.html', 'size': 3855533.0, '_type': 'html-file', 'sha256': '3b565a237abc55c490b3a4b8a7f6da38e594ddfb8d894e889af6b394ee55003e'}",0.0,4888576.0,795.1552734375,0.1083984375,-15.695836067199707,8.696330041857436e-05,36.841796875,0.0,6215.38330078125,-1433.7015380859375
41.33984375,21680.323106931442,1773951497.6681163,0.7293645143508911,15.720703125,0.0,0.0,663.435051477,5142528.0,0.0,,0.0,5142528.0,802.6103515625,0.0830078125,-15.239877700805664,9.009127097669989e-06,15.720703125,0.0,6514.58154296875,-1466.18310546875
66.9873046875,21606.011103703233,1773951523.721099,0.7941603660583496,36.5947265625,0.0,0.0,689.29000791,5396480.0,0.0,,0.0,5396480.0,874.3173828125,0.1025390625,-16.398454666137695,8.751877430768218e-06,36.5947265625,0.0,6943.60498046875,-1594.8648681640625
64.53515625,21712.913764058965,1773951549.575493,0.7585240602493286,23.6337890625,0.0,0.0,715.320861817,5650432.0,0.0,,0.0,5650432.0,688.2080078125,0.0830078125,-15.115973472595215,1.7493141058366746e-05,23.6337890625,0.0,5363.75537109375,-1270.1531982421875
71.2177734375,21644.472854091437,1773951575.6068668,0.7946670651435852,29.4365234375,0.0,0.0,741.140250392,5904384.0,0.0,,0.0,5904384.0,812.0224609375,0.09375,-15.821163177490234,-3.936615030397661e-05,29.4365234375,0.0,6287.26904296875,-1509.0745849609375
