eval/episode_reward,training/entropy,eval/episode_success_any,_runtime,eval/episode_dist,_timestamp,step,training/log_alpha,eval/episode_success_hard,training/alpha_loss,training/actor_loss,eval/episode_reward_near,training/critic_loss,eval/episode_reward_ctrl,eval/episode_reward_dist,eval/episode_success,_step,eval/episode_reward_survive,render,eval/episode_success_easy,training/sps
,,,26.801101129,,1773455264.4971042,,,,,,,,,,,0.0,,"{'path': 'media/html/render_0_cc229d5a4c68fb2bfeef.html', 'size': 943117, '_type': 'html-file', 'sha256': 'cc229d5a4c68fb2bfeef786b168e1665b5f718704fc4a59d6ae13ee1c3f61f27'}",,
,,,60.834668914,,1773455298.5306942,,,,,,,,,,,1.0,,"{'path': 'media/html/render_1_15991bd8a18680ce43de.html', 'size': 937657, '_type': 'html-file', 'sha256': '15991bd8a18680ce43de49d2bb8115e4946f9cfe6e6fc5afd48eeeab4da6f559'}",,
254.1240234375,0.0,0.8662109375,66.845812405,107.71856689453125,1773455298.6749613,1333248.0,0.0,0.0,0.5732513666152954,-14.948405265808105,0.0,0.06001364439725876,0.0,-107.71856689453125,254.1240234375,1333248.0,0.0,,0.0,14049.221735407335
269.9619140625,0.0,0.7978515625,72.720102379,98.73556518554688,1773455304.5408673,1587200.0,0.0,0.0,0.0039617037400603294,-13.091279983520508,0.0,0.14753611385822296,0.0,-98.73556518554688,269.9619140625,1587200.0,0.0,,0.0,49349.43733716718
450.7724609375,0.0,0.8291015625,78.596693893,80.60859680175781,1773455310.4156106,1841152.0,0.0,0.0,-0.0001647150347707793,-10.393438339233398,0.0,0.3222116529941559,0.0,-80.60859680175781,450.7724609375,1841152.0,0.0,,0.0,49281.884402296215
511.0849609375,0.0,0.837890625,84.474532083,67.37918090820312,1773455316.2922385,2095104.0,0.0,0.0,-0.00011097273090854287,-9.241950035095215,0.0,0.4957493543624878,0.0,-67.37918090820312,511.0849609375,2095104.0,0.0,,0.0,49255.75408559836
514.634765625,0.0,0.787109375,99.181303499,62.78584289550781,1773455336.8773582,2349056.0,0.0,0.0,-0.00020907752332277596,-9.320412635803223,0.0,0.6611167192459106,0.0,-62.78584289550781,514.634765625,2349056.0,0.0,"{'path': 'media/html/render_2349056_522fa9dd1a3749eb4f6a.html', 'size': 914613, '_type': 'html-file', 'sha256': '522fa9dd1a3749eb4f6aa1394c5fcff029d7a42be97acf16c22089d9d8def081'}",0.0,49257.60367249317
493.5849609375,0.0,0.7587890625,105.1909218,62.23158645629883,1773455337.0268686,2603008.0,0.0,0.0,-0.00022182402608450502,-11.003066062927246,0.0,0.8880886435508728,0.0,-62.23158645629883,493.5849609375,2603008.0,0.0,,0.0,49158.831846633024
678.6162109375,0.0,0.814453125,111.058899065,48.694488525390625,1773455342.8860898,2856960.0,0.0,0.0,-0.00030371578759513795,-15.048169136047363,0.0,1.1755342483520508,0.0,-48.694488525390625,678.6162109375,2856960.0,0.0,,0.0,49442.60779704109
724.1357421875,0.0,0.8994140625,116.931583448,42.70287322998047,1773455348.7545004,3110912.0,0.0,0.0,-0.00015595793956890702,-21.336854934692383,0.0,1.4701731204986572,0.0,-42.70287322998047,724.1357421875,3110912.0,0.0,,0.0,49336.77162712908
766.078125,0.0,0.8818359375,122.801597175,39.29053497314453,1773455354.6270876,3364864.0,0.0,0.0,-5.078572212369181e-05,-28.398387908935547,0.0,1.6356526613235474,0.0,-39.29053497314453,766.078125,3364864.0,0.0,,0.0,49283.71314898609
808.419921875,0.0,0.9130859375,137.881495748,36.691890716552734,1773455375.5775793,3618816.0,0.0,0.0,2.9508461011573672e-05,-33.62192916870117,0.0,1.7678450345993042,0.0,-36.691890716552734,808.419921875,3618816.0,0.0,"{'path': 'media/html/render_3618816_3a8dfe7c94120c49e2bd.html', 'size': 911181, '_type': 'html-file', 'sha256': '3a8dfe7c94120c49e2bd0f0cda9715ea2e717978052090014cf3fa805cc19256'}",0.0,49331.03179725901
846.3671875,0.0,0.9306640625,143.889792142,35.17816162109375,1773455375.7291703,3872768.0,0.0,0.0,1.399398115609074e-05,-38.341636657714844,0.0,1.798380970954895,0.0,-35.17816162109375,846.3671875,3872768.0,0.0,,0.0,49225.942976018276
838.591796875,0.0,0.935546875,149.771019549,34.48577117919922,1773455381.5849583,4126720.0,0.0,0.0,4.533087485469878e-05,-41.93940734863281,0.0,1.8779213428497314,0.0,-34.48577117919922,838.591796875,4126720.0,0.0,,0.0,49484.10487833478
867.35546875,0.0,0.939453125,155.648663243,31.735763549804688,1773455387.4666076,4380672.0,0.0,0.0,1.0135993761650752e-05,-46.41969680786133,0.0,1.8453261852264404,0.0,-31.735763549804688,867.35546875,4380672.0,0.0,,0.0,49200.17418572159
888.58984375,0.0,0.966796875,161.526716104,29.82961082458496,1773455393.3442786,4634624.0,0.0,0.0,2.8410771847120486e-05,-50.1862907409668,0.0,1.8039522171020508,0.0,-29.82961082458496,888.58984375,4634624.0,0.0,,0.0,49237.33413408479
926.5087890625,0.0,0.9736328125,176.368108909,28.961822509765625,1773455414.0641906,4888576.0,0.0,0.0,1.9231152691645548e-05,-52.13947677612305,0.0,1.7996715307235718,0.0,-28.961822509765625,926.5087890625,4888576.0,0.0,"{'_type': 'html-file', 'sha256': 'eb23691ddedfb5d4a9acb3a68decbe6559a44bcdf7b3848c6dd49b28f340e2eb', 'path': 'media/html/render_4888576_eb23691ddedfb5d4a9ac.html', 'size': 911945}",0.0,49263.59300477183
921.4345703125,0.0,0.9697265625,182.397464274,28.73863410949707,1773455414.2112668,5142528.0,0.0,0.0,0.00011470544995972887,-54.820064544677734,0.0,1.7723071575164795,0.0,-28.73863410949707,921.4345703125,5142528.0,0.0,,0.0,49239.17550925463
935.9296875,0.0,0.984375,188.253433891,26.48295783996582,1773455420.093084,5396480.0,0.0,0.0,2.111361209244933e-05,-58.251708984375,0.0,1.644244909286499,0.0,-26.48295783996582,935.9296875,5396480.0,0.0,,0.0,49231.06220111705
908.9111328125,0.0,0.96875,194.123075698,28.67072296142578,1773455425.9486656,5650432.0,0.0,0.0,2.2986634576227516e-05,-60.52748107910156,0.0,1.5903738737106323,0.0,-28.67072296142578,908.9111328125,5650432.0,0.0,,0.0,49451.139951236524
941.068359375,0.0,0.9794921875,199.98625807,25.25635528564453,1773455431.818654,5904384.0,0.0,0.0,4.967246422893368e-05,-62.90693664550781,0.0,1.524750828742981,0.0,-25.25635528564453,941.068359375,5904384.0,0.0,,0.0,49320.143044506214
947.458984375,0.0,0.9951171875,215.100696828,24.215070724487305,1773455452.7967663,6158336.0,0.0,0.0,1.5080631783348508e-05,-63.67946243286133,0.0,1.5404839515686035,0.0,-24.215070724487305,947.458984375,6158336.0,0.0,"{'path': 'media/html/render_6158336_1e99ccb2ad32e0e4e523.html', 'size': 911825, '_type': 'html-file', 'sha256': '1e99ccb2ad32e0e4e523f0313b8c295913a42fd29f3226b8687f09f61299b32d'}",0.0,49380.33225897362
927.654296875,0.0,0.9736328125,221.131781327,26.677894592285156,1773455452.9460285,6412288.0,0.0,0.0,3.9891983760753646e-05,-66.8037338256836,0.0,1.3863444328308105,0.0,-26.677894592285156,927.654296875,6412288.0,0.0,,0.0,49248.685023742575
947.2275390625,0.0,0.9912109375,226.982563162,25.45523452758789,1773455458.8272538,6666240.0,0.0,0.0,1.9301009160699323e-05,-67.51625061035156,0.0,1.3808029890060425,0.0,-25.45523452758789,947.2275390625,6666240.0,0.0,,0.0,49244.13129063593
951.2734375,0.0,0.9951171875,232.866305715,25.124847412109375,1773455464.6779985,6920192.0,0.0,0.0,7.746183837298304e-05,-69.3614273071289,0.0,1.2817295789718628,0.0,-25.124847412109375,951.2734375,6920192.0,0.0,,0.0,49495.84124184225
961.7587890625,0.0,1.0,238.76135261,24.480918884277344,1773455470.5618038,7174144.0,0.0,0.0,7.218967220978811e-05,-70.6825942993164,0.0,1.2698805332183838,0.0,-24.480918884277344,961.7587890625,7174144.0,0.0,,0.0,49190.06322344686
956.572265625,0.0,0.9951171875,253.868338093,24.151376724243164,1773455491.5644236,7428096.0,0.0,0.0,-3.349788676132448e-05,-71.84048461914062,0.0,1.2243181467056274,0.0,-24.151376724243164,956.572265625,7428096.0,0.0,"{'size': 907869, '_type': 'html-file', 'sha256': '801bb1b53c2efe8fae6101691309c1b77a73661b07f36e6f2faf10e46591bf9a', 'path': 'media/html/render_7428096_801bb1b53c2efe8fae61.html'}",0.0,49083.881580847024
964.4228515625,0.0,0.9970703125,259.883005257,22.84687042236328,1773455491.7104158,7682048.0,0.0,0.0,5.783289816463366e-05,-73.37523651123047,0.0,1.1808559894561768,0.0,-22.84687042236328,964.4228515625,7682048.0,0.0,,0.0,49239.73090778644
959.5703125,0.0,0.9990234375,265.753265007,24.579898834228516,1773455497.5784755,7936000.0,0.0,0.0,6.577290332643315e-05,-73.63111114501953,0.0,1.1675935983657837,0.0,-24.579898834228516,959.5703125,7936000.0,0.0,,0.0,49363.62626265388
966.115234375,0.0,1.0,271.598283216,22.603544235229492,1773455503.4483056,8189952.0,0.0,0.0,4.713254020316526e-05,-74.69620513916016,0.0,1.096103310585022,0.0,-22.603544235229492,966.115234375,8189952.0,0.0,,0.0,49308.590280852695
964.4833984375,0.0,0.998046875,277.453071761,25.083484649658203,1773455509.2939098,8443904.0,0.0,0.0,9.331040200777352e-05,-76.26034545898438,0.0,1.0570582151412964,0.0,-25.083484649658203,964.4833984375,8443904.0,0.0,,0.0,49556.80155521962
969.001953125,0.0,1.0,292.235836835,21.957103729248047,1773455529.931929,8697856.0,0.0,0.0,-7.442721107508987e-05,-76.38981628417969,0.0,0.9861238598823547,0.0,-21.957103729248047,969.001953125,8697856.0,0.0,"{'size': 908349, '_type': 'html-file', 'sha256': '64bc30c7178983b85645d4274cd8a9ec5ab0eedf30bf2814f3a35d8fca23fbd5', 'path': 'media/html/render_8697856_64bc30c7178983b85645.html'}",0.0,49451.64274467714
960.8193359375,0.0,0.99609375,298.246459417,24.650768280029297,1773455530.0845869,8951808.0,0.0,0.0,3.39074686053209e-05,-77.1258773803711,0.0,0.9865649342536926,0.0,-24.650768280029297,960.8193359375,8951808.0,0.0,,0.0,49361.72981694368
964.1513671875,0.0,0.9951171875,304.112735169,23.471763610839844,1773455535.941987,9205760.0,0.0,0.0,0.00010948649287456647,-78.11595916748047,0.0,0.9543478488922119,0.0,-23.471763610839844,964.1513671875,9205760.0,0.0,,0.0,49470.94718096915
962.357421875,0.0,0.99609375,309.977930708,22.64360809326172,1773455541.8082347,9459712.0,0.0,0.0,5.6144577683880925e-05,-79.94776916503906,0.0,0.8661074638366699,0.0,-22.64360809326172,962.357421875,9459712.0,0.0,,0.0,49353.98312593948
954.7421875,0.0,0.990234375,315.860214964,23.362751007080078,1773455547.6731188,9713664.0,0.0,0.0,-2.3910874006105587e-05,-80.30677032470703,0.0,0.8375872373580933,0.0,-23.362751007080078,954.7421875,9713664.0,0.0,,0.0,49357.720080430954
967.65234375,0.0,0.998046875,330.588076253,23.651535034179688,1773455568.2841823,9967616.0,0.0,0.0,6.653146556345746e-05,-79.92330169677734,0.0,0.8404556512832642,0.0,-23.651535034179688,967.65234375,9967616.0,0.0,"{'path': 'media/html/render_9967616_fe6ded03f4636ee8d719.html', 'size': 907737, '_type': 'html-file', 'sha256': 'fe6ded03f4636ee8d7190c31dd81450882e83c8f365b4c79387317518f636c14'}",0.0,49192.96657553641
