eval/episode_reward_near,eval/episode_reward_dist,_timestamp,_step,render,eval/episode_dist,training/log_alpha,training/alpha_loss,training/entropy,_runtime,step,eval/episode_reward_survive,eval/episode_success,eval/episode_reward,eval/episode_reward_ctrl,training/critic_loss,eval/episode_success_easy,eval/episode_success_any,training/actor_loss,eval/episode_success_hard,training/sps
,,1773456863.9523726,0.0,"{'size': 947905, '_type': 'html-file', 'sha256': '69e00234131e24615c6682ee432a65ec9e86d9fb008fa69a285bc4b8f5028e1c', 'path': 'media/html/render_0_69e00234131e24615c66.html'}",,,,,26.585714704,,,,,,,,,,,
,,1773456897.74457,1.0,"{'path': 'media/html/render_1_3a94d78becbadaafb454.html', 'size': 943073, '_type': 'html-file', 'sha256': '3a94d78becbadaafb454744b7485c4411b75f5a37a6341739fb94ef6ee7726f2'}",,,,,60.377848271,,,,,,,,,,,
0.0,-153.24703979492188,1773456897.8951077,1333248.0,,153.24703979492188,0.0,0.5766981244087219,0.0,66.347829655,1333248.0,0.0,99.9951171875,99.9951171875,0.0,0.05122799426317215,0.0,0.9892578125,-13.284445762634277,0.0,14235.631151662188
0.0,-106.99378967285156,1773456903.713579,1587200.0,,106.99378967285156,0.0,0.008667657151818275,0.0,72.179983352,1587200.0,0.0,262.634765625,262.634765625,0.0,0.053691692650318146,0.0,0.6357421875,-11.213193893432617,0.0,49799.10862526138
0.0,-116.08251190185547,1773456909.5462174,1841152.0,,116.08251190185547,0.0,-9.282841347157955e-05,0.0,78.006359364,1841152.0,0.0,220.3828125,220.3828125,0.0,0.12446721643209457,0.0,0.693359375,-7.961349010467529,0.0,49676.55795338634
0.0,-103.46454620361328,1773456915.3725717,2095104.0,,103.46454620361328,0.0,-0.0001649122714297846,0.0,83.834071821,2095104.0,0.0,365.9326171875,365.9326171875,0.0,0.30731329321861267,0.0,0.8779296875,-5.891970157623291,0.0,49719.87148279737
0.0,-89.35395812988281,1773456935.819807,2349056.0,"{'path': 'media/html/render_2349056_fc980ff8e28c92258002.html', 'size': 917517, '_type': 'html-file', 'sha256': 'fc980ff8e28c92258002520c29b603a19f9e24e1dc3c1a050323b8c92d0c0c79'}",89.35395812988281,0.0,-0.00018177309539169073,0.0,98.453138753,2349056.0,0.0,400.900390625,400.900390625,0.0,0.5156161785125732,0.0,0.814453125,-4.8337249755859375,0.0,49753.06564370889
0.0,-82.20284271240234,1773456935.968134,2603008.0,,82.20284271240234,0.0,-0.00012639540364034474,0.0,104.422874184,2603008.0,0.0,477.88671875,477.88671875,0.0,0.7162635922431946,0.0,0.84765625,-3.8705947399139404,0.0,49679.65804597983
0.0,-76.39202117919922,1773456941.7888055,2856960.0,,76.39202117919922,0.0,-0.00012551616237033159,0.0,110.24808899,2856960.0,0.0,452.83203125,452.83203125,0.0,0.8936182856559753,0.0,0.787109375,-3.3089444637298584,0.0,49820.048489650486
0.0,-76.10356140136719,1773456947.6143203,3110912.0,,76.10356140136719,0.0,-0.0001463178195990622,0.0,116.076106813,3110912.0,0.0,510.4716796875,510.4716796875,0.0,1.1031250953674316,0.0,0.7880859375,-2.9778430461883545,0.0,49749.50094858536
0.0,-65.67074584960938,1773456953.4422824,3364864.0,,65.67074584960938,0.0,-0.00012509424414020032,0.0,121.908890157,3364864.0,0.0,600.052734375,600.052734375,0.0,1.3406816720962524,0.0,0.82421875,-4.574921131134033,0.0,49712.069984613394
0.0,-63.26612854003906,1773456974.1597977,3618816.0,"{'size': 911585, '_type': 'html-file', 'sha256': '76919e92a169fdd0157d8fe408b3ab52c5cfbe0d2582348a9fccff71bee89302', 'path': 'media/html/render_3618816_76919e92a169fdd0157d.html'}",63.26612854003906,0.0,-0.00011083451681770384,0.0,136.793130461,3618816.0,0.0,565.25390625,565.25390625,0.0,1.5815489292144775,0.0,0.8349609375,-6.499045372009277,0.0,49689.503057241374
0.0,-63.35987854003906,1773456974.3101876,3872768.0,,63.35987854003906,0.0,-1.666918433329556e-05,0.0,142.766320303,3872768.0,0.0,578.4619140625,578.4619140625,0.0,1.7267454862594604,0.0,0.7421875,-9.309518814086914,0.0,49727.55470782295
0.0,-66.66734313964844,1773456980.1321032,4126720.0,,66.66734313964844,0.0,-3.497492434689775e-05,0.0,148.601674568,4126720.0,0.0,593.296875,593.296875,0.0,1.8171848058700562,0.0,0.830078125,-12.736004829406738,0.0,49798.76870152822
0.0,-54.97505569458008,1773456985.9678395,4380672.0,,54.97505569458008,0.0,-3.98939591832459e-05,0.0,154.433136257,4380672.0,0.0,645.189453125,645.189453125,0.0,1.809247612953186,0.0,0.8173828125,-15.054916381835938,0.0,49630.09601182827
0.0,-50.88555145263672,1773456991.7993186,4634624.0,,50.88555145263672,0.0,-1.4439809092436917e-05,0.0,160.25529511,4634624.0,0.0,695.3017578125,695.3017578125,0.0,1.7493387460708618,0.0,0.9052734375,-18.114871978759766,0.0,49667.66992281579
