eval/episode_success_any,eval/episode_reward_dist,eval/episode_reward_ctrl,_step,_timestamp,training/entropy,training/alpha_loss,eval/episode_dist,eval/episode_reward_near,step,eval/episode_reward_survive,eval/episode_reward,_runtime,training/actor_loss,eval/episode_success_hard,eval/episode_success,render,training/log_alpha,training/sps,eval/episode_success_easy,training/critic_loss
,,,0.0,1773461647.9607058,,,,,,,,27.055287334,,,,"{'path': 'media/html/render_0_66507be0b01646223ac2.html', 'size': 941469, '_type': 'html-file', 'sha256': '66507be0b01646223ac272ba08b8ae29b3b1fc2d5621780836ad0d1593517673'}",,,,
,,,1.0,1773461681.7715762,,,,,,,,60.866067186,,,,"{'size': 927117, '_type': 'html-file', 'sha256': 'c585d7ba635b72f01789878446d1ec0047c22695a12b9d5c18fa6ee3b28de32f', 'path': 'media/html/render_1_c585d7ba635b72f01789.html'}",,,,
0.9140625,-100.44300842285156,0.0,1333248.0,1773461681.9244313,0.0,0.5757399201393127,100.44300842285156,0.0,1333248.0,0.0,268.3486328125,66.878013333,-15.750262260437012,0.0,268.3486328125,,0.0,14298.347439467383,0.0,0.05680965259671211
0.8818359375,-90.90603637695312,0.0,1587200.0,1773461687.782895,0.0,0.0034795638639479876,90.90603637695312,0.0,1587200.0,0.0,372.06640625,72.741665962,-14.328877449035645,0.0,372.06640625,,0.0,49411.81371480061,0.0,0.17203697562217712
0.9609375,-64.88090515136719,0.0,1841152.0,1773461693.6465707,0.0,-0.00012277097266633064,64.88090515136719,0.0,1841152.0,0.0,561.400390625,78.611889067,-12.405232429504395,0.0,561.400390625,,0.0,49376.5026120849,0.0,0.371589332818985
0.9111328125,-61.99144744873047,0.0,2095104.0,1773461699.5168972,0.0,-0.0001872836728580296,61.99144744873047,0.0,2095104.0,0.0,556.2451171875,84.467555195,-11.66543960571289,0.0,556.2451171875,,0.0,49310.3160020175,0.0,0.6043638586997986
0.8603515625,-49.68656921386719,0.0,2349056.0,1773461720.1386507,0.0,-0.0002883136039599776,49.68656921386719,0.0,2349056.0,0.0,640.21875,99.233158958,-13.117929458618164,0.0,640.21875,"{'_type': 'html-file', 'sha256': 'd6509fc2f5f4a0d4a7303deb3fb5816506a52d32700121ac64a8490b5d04cd19', 'path': 'media/html/render_2349056_d6509fc2f5f4a0d4a730.html', 'size': 909697}",0.0,49435.40240610725,0.0,0.9099613428115845
0.841796875,-46.70195007324219,0.0,2603008.0,1773461720.2813222,0.0,-0.00033382477704435587,46.70195007324219,0.0,2603008.0,0.0,682.6962890625,105.22958702,-16.59406280517578,0.0,682.6962890625,,0.0,49394.72449641028,0.0,1.3404202461242676
0.857421875,-45.86220932006836,0.0,2856960.0,1773461726.1344714,0.0,-0.0003015256952494383,45.86220932006836,0.0,2856960.0,0.0,693.6220703125,111.098417083,-21.175216674804688,0.0,693.6220703125,,0.0,49505.648040309046,0.0,1.792076826095581
0.9462890625,-36.81310272216797,0.0,3110912.0,1773461732.0034065,0.0,-0.0002801672962959856,36.81310272216797,0.0,3110912.0,0.0,801.0166015625,116.955442197,-27.28063201904297,0.0,801.0166015625,,0.0,49334.854393679816,0.0,2.218221426010132
