training/critic_loss,training/log_alpha,eval/episode_reward_ctrl,eval/episode_success_hard,eval/episode_reward_survive,eval/episode_dist,eval/episode_success,_step,training/entropy,eval/episode_success_any,eval/episode_reward_near,eval/episode_reward,eval/episode_reward_dist,step,_timestamp,eval/episode_success_easy,_runtime,training/actor_loss,render,training/alpha_loss,training/sps
,,,,,,,0.0,,,,,,,1773448838.0660667,,26.599454176,,"{'path': 'media/html/render_0_4f485ede6bbe54611faf.html', 'size': 942549, '_type': 'html-file', 'sha256': '4f485ede6bbe54611faf0bb1adf0677dfa844b6cc8b982ff5c1b92ab70dd1732'}",,
,,,,,,,1.0,,,,,,,1773448871.7572997,,60.290561739,,"{'path': 'media/html/render_1_e9ada1ed443f838824d2.html', 'size': 939649, '_type': 'html-file', 'sha256': 'e9ada1ed443f838824d26374a405a5c0377fa0c2459ba6b445c550d90347944c'}",,
0.06250275671482086,0.0,0.0,0.0,0.0,115.82473754882812,228.4072265625,1333248.0,0.0,0.986328125,0.0,228.4072265625,-115.82473754882812,1333248.0,1773448871.90732,0.0,66.3110241,-15.750580787658691,,0.5759536623954773,14290.329520582063
0.16068439185619354,0.0,0.0,0.0,0.0,120.24630737304688,172.8154296875,1587200.0,0.0,0.9658203125,0.0,172.8154296875,-120.24630737304688,1587200.0,1773448877.7766883,0.0,72.188403592,-13.51025104522705,,0.00427084369584918,49322.305793586
0.26114943623542786,0.0,0.0,0.0,0.0,72.57627868652344,396.63671875,1841152.0,0.0,0.9560546875,0.0,396.63671875,-72.57627868652344,1841152.0,1773448883.6546304,0.0,78.06365594,-10.630227088928223,,-9.444115858059376e-05,49249.37498777032
0.3589455187320709,0.0,0.0,0.0,0.0,54.033973693847656,584.0087890625,2095104.0,0.0,0.9716796875,0.0,584.0087890625,-54.033973693847656,2095104.0,1773448889.5298824,0.0,83.931606107,-9.757804870605469,,-0.00017241248860955238,49259.06157286219
0.5078730583190918,0.0,0.0,0.0,0.0,61.92015838623047,499.9111328125,2349056.0,0.0,0.7646484375,0.0,499.9111328125,-61.92015838623047,2349056.0,1773448910.1679096,0.0,98.701211407,-10.533771514892578,"{'path': 'media/html/render_2349056_19031e6aa939f9740e98.html', 'size': 904041, '_type': 'html-file', 'sha256': '19031e6aa939f9740e98a8f7598f973f43da58d33285e75fa16f6fac952a3e25'}",-0.000161321644554846,49348.58452341439
0.7628961205482483,0.0,0.0,0.0,0.0,53.10523986816406,582.2236328125,2603008.0,0.0,0.7607421875,0.0,582.2236328125,-53.10523986816406,2603008.0,1773448910.3146358,0.0,104.711615328,-12.903748512268066,,-0.000264213711488992,49211.598892384085
1.0956075191497803,0.0,0.0,0.0,0.0,41.329383850097656,731.3154296875,2856960.0,0.0,0.951171875,0.0,731.3154296875,-41.329383850097656,2856960.0,1773448916.177389,0.0,110.586958919,-16.85037612915039,,-0.00022974480816628784,49419.98671316216
1.3715795278549194,0.0,0.0,0.0,0.0,38.27513122558594,782.0576171875,3110912.0,0.0,0.923828125,0.0,782.0576171875,-38.27513122558594,3110912.0,1773448922.0533018,0.0,116.463542402,-21.601621627807617,,-0.000126210754388012,49282.173982815235
1.595353364944458,0.0,0.0,0.0,0.0,33.915096282958984,855.7421875,3364864.0,0.0,0.990234375,0.0,855.7421875,-33.915096282958984,3364864.0,1773448927.9297576,0.0,122.335544665,-25.81636619567871,,-0.00014119491970632225,49264.44288348022
1.762726902961731,0.0,0.0,0.0,0.0,32.63011169433594,874.630859375,3618816.0,0.0,0.9775390625,0.0,874.630859375,-32.63011169433594,3618816.0,1773448948.8795211,0.0,137.412830487,-30.445266723632812,"{'size': 908113, '_type': 'html-file', 'sha256': '3282ea47cd0096962ad344120ab82276f7b326089fbe413002af5e578f5a2ac3', 'path': 'media/html/render_3618816_3282ea47cd0096962ad3.html'}",-7.866393571021035e-05,49308.072131542765
1.9311379194259644,0.0,0.0,0.0,0.0,31.575149536132812,901.857421875,3872768.0,0.0,0.9921875,0.0,901.857421875,-31.575149536132812,3872768.0,1773448949.0229218,0.0,143.409885345,-35.422080993652344,,-7.014656148385257e-05,49279.588400063956
2.067584991455078,0.0,0.0,0.0,0.0,32.03866195678711,876.0546875,4126720.0,0.0,0.9775390625,0.0,876.0546875,-32.03866195678711,4126720.0,1773448954.875885,0.0,149.270957657,-40.52558517456055,,-5.6518496421631426e-05,49523.28843015941
2.126216411590576,0.0,0.0,0.0,0.0,27.84644317626953,913.869140625,4380672.0,0.0,0.9765625,0.0,913.869140625,-27.84644317626953,4380672.0,1773448960.7366843,0.0,155.132651028,-45.355613708496094,,-3.169778210576624e-05,49393.966318860614
2.1889889240264893,0.0,0.0,0.0,0.0,31.027873992919922,893.8515625,4634624.0,0.0,0.9775390625,0.0,893.8515625,-31.027873992919922,4634624.0,1773448966.5987573,0.0,160.998123842,-48.67285919189453,,9.214435704052448e-05,49397.766602911666
2.1796255111694336,0.0,0.0,0.0,0.0,29.95775604248047,905.25,4888576.0,0.0,0.9814453125,0.0,905.25,-29.95775604248047,4888576.0,1773448987.220643,0.0,175.753935147,-51.35818099975586,"{'sha256': 'a19a5b5d1e01e4a40ac838acbac71c5f23020ee06bffa9df46774cabe3bb00ab', 'path': 'media/html/render_4888576_a19a5b5d1e01e4a40ac8.html', 'size': 906745, '_type': 'html-file'}",-1.7536416635266505e-05,49362.523607006326
2.069763660430908,0.0,0.0,0.0,0.0,27.717761993408203,933.115234375,5142528.0,0.0,0.994140625,0.0,933.115234375,-27.717761993408203,5142528.0,1773448987.371474,0.0,181.788518653,-55.066795349121094,,7.892218127381057e-05,49301.69544987561
2.020573854446411,0.0,0.0,0.0,0.0,29.48311996459961,924.552734375,5396480.0,0.0,0.9892578125,0.0,924.552734375,-29.48311996459961,5396480.0,1773448993.2548063,0.0,187.649661868,-57.01521682739258,,8.470841567032039e-05,49232.08389836619
1.916584849357605,0.0,0.0,0.0,0.0,28.104278564453125,918.9931640625,5650432.0,0.0,0.982421875,0.0,918.9931640625,-28.104278564453125,5650432.0,1773448999.1154788,0.0,193.515497184,-59.9803352355957,,-1.3879229300073348e-05,49405.238305372026
1.9020156860351562,0.0,0.0,0.0,0.0,28.07408905029297,920.724609375,5904384.0,0.0,0.994140625,0.0,920.724609375,-28.07408905029297,5904384.0,1773449004.9817243,0.0,199.376227613,-61.68281173706055,,0.00011999517300864682,49362.17360420667
1.8084774017333984,0.0,0.0,0.0,0.0,29.003639221191406,903.0078125,6158336.0,0.0,0.970703125,0.0,903.0078125,-29.003639221191406,6158336.0,1773449025.8839493,0.0,214.417260318,-63.489097595214844,"{'size': 907801, '_type': 'html-file', 'sha256': '56580ce6e705817f3f07fc2840d4962fab6f5adb67c240fbb048f8d00f1441ec', 'path': 'media/html/render_6158336_56580ce6e705817f3f07.html'}",5.4613363317912444e-05,49398.435550077724
1.821035623550415,0.0,0.0,0.0,0.0,27.219688415527344,927.7158203125,6412288.0,0.0,0.9912109375,0.0,927.7158203125,-27.219688415527344,6412288.0,1773449026.0310419,0.0,220.437722909,-64.01837921142578,,-5.577455158345401e-05,49329.29777221293
1.6898410320281982,0.0,0.0,0.0,0.0,25.925045013427734,932.41796875,6666240.0,0.0,0.9931640625,0.0,932.41796875,-25.925045013427734,6666240.0,1773449031.9040763,0.0,226.290364625,-66.2313003540039,,0.00013084668898954988,49328.81345498137
1.6558103561401367,0.0,0.0,0.0,0.0,26.089740753173828,945.541015625,6920192.0,0.0,0.9921875,0.0,945.541015625,-26.089740753173828,6920192.0,1773449037.7562416,0.0,232.15594972,-67.0225830078125,,5.9341778978705406e-05,49502.279750241076
1.624674677848816,0.0,0.0,0.0,0.0,25.850662231445312,943.2294921875,7174144.0,0.0,0.990234375,0.0,943.2294921875,-25.850662231445312,7174144.0,1773449043.622242,0.0,238.038603187,-68.12498474121094,,-1.732684177113697e-05,49366.92766111438
1.6009029150009155,0.0,0.0,0.0,0.0,29.061054229736328,927.96484375,7428096.0,0.0,0.98828125,0.0,927.96484375,-29.061054229736328,7428096.0,1773449064.3302999,0.0,252.86358332,-68.73043823242188,"{'path': 'media/html/render_7428096_673090e8b7f1a4986107.html', 'size': 906989, '_type': 'html-file', 'sha256': '673090e8b7f1a49861073272c1182d98aee75d11e42ff05eb08a4631630d942e'}",0.00010883233335334808,49203.049184345946
1.5822594165802002,0.0,0.0,0.0,0.0,25.63282012939453,955.681640625,7682048.0,0.0,0.9990234375,0.0,955.681640625,-25.63282012939453,7682048.0,1773449064.4816039,0.0,258.885188007,-69.6462631225586,,-1.383544167765649e-05,49228.02921611221
1.5004388093948364,0.0,0.0,0.0,0.0,26.78811264038086,946.2412109375,7936000.0,0.0,0.9931640625,0.0,946.2412109375,-26.78811264038086,7936000.0,1773449070.3513405,0.0,264.764869414,-70.61955261230469,,5.633488763123751e-05,49359.76260867099
1.4055347442626953,0.0,0.0,0.0,0.0,27.49971580505371,940.5908203125,8189952.0,0.0,0.984375,0.0,940.5908203125,-27.49971580505371,8189952.0,1773449076.2309906,0.0,270.611008294,-72.48902130126953,,2.726877028180752e-05,49232.66189287336
1.3660173416137695,0.0,0.0,0.0,0.0,27.401439666748047,945.1796875,8443904.0,0.0,0.994140625,0.0,945.1796875,-27.401439666748047,8443904.0,1773449082.0772574,0.0,276.458911527,-73.59432983398438,,3.723725239979103e-05,49549.82100449076
1.3556699752807617,0.0,0.0,0.0,0.0,27.031578063964844,948.703125,8697856.0,0.0,0.9970703125,0.0,948.703125,-27.031578063964844,8697856.0,1773449103.108597,0.0,291.641898294,-74.13043975830078,"{'sha256': '19f118e83405f345804ca0c7c7f63a5561f4f90b92d4df213abec52e674b7297', 'path': 'media/html/render_8697856_19f118e83405f345804c.html', 'size': 907733, '_type': 'html-file'}",2.2835105482954532e-05,49529.3057013168
1.378793478012085,0.0,0.0,0.0,0.0,27.82917022705078,950.0185546875,8951808.0,0.0,0.986328125,0.0,950.0185546875,-27.82917022705078,8951808.0,1773449103.2716982,0.0,297.659210186,-74.6930923461914,,6.425860919989645e-05,49463.01457571661
1.3262088298797607,0.0,0.0,0.0,0.0,28.219432830810547,931.607421875,9205760.0,0.0,0.9833984375,0.0,931.607421875,-28.219432830810547,9205760.0,1773449109.1253278,0.0,303.517609919,-74.90925598144531,,-8.267842531495262e-06,49508.363252556344
1.2738291025161743,0.0,0.0,0.0,0.0,28.285442352294922,942.5263671875,9459712.0,0.0,0.9814453125,0.0,942.5263671875,-28.285442352294922,9459712.0,1773449114.9838257,0.0,309.378689009,-75.97183990478516,,2.8883820050396025e-05,49428.355087587086
1.2533493041992188,0.0,0.0,0.0,0.0,26.73373031616211,954.4287109375,9713664.0,0.0,0.9892578125,0.0,954.4287109375,-26.73373031616211,9713664.0,1773449120.8444424,0.0,315.248050929,-76.7990493774414,,8.512257045367733e-05,49401.205459070494
