training/sps,training/actor_loss,eval/episode_success_easy,training/log_alpha,eval/episode_reward_survive,_step,eval/episode_reward_near,eval/episode_dist,training/alpha_loss,step,eval/episode_reward,render,training/entropy,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success_hard,eval/episode_success,training/critic_loss,_runtime,_timestamp,eval/episode_reward_ctrl
,,,,,0.0,,,,,,"{'sha256': 'bf2fe544ff3f0df750d8a9c9688e337f2448ec6a763813623ba36af25a411230', 'path': 'media/html/render_0_bf2fe544ff3f0df750d8.html', 'size': 941265, '_type': 'html-file'}",,,,,,,26.800638202000002,1773460051.1624188,
,,,,,1.0,,,,,,"{'path': 'media/html/render_1_6e3e15025bae28d1cf34.html', 'size': 943305, '_type': 'html-file', 'sha256': '6e3e15025bae28d1cf342f2cb4afe8184bac751a7d6bd2550a8ad9a181b8643a'}",,,,,,,60.715825671,1773460085.07763,
14169.671486736524,-15.568872451782227,0.0,0.0,0.0,1333248.0,0.0,131.75738525390625,0.5821512937545776,1333248.0,178.287109375,,0.0,0.990234375,-131.75738525390625,0.0,178.287109375,0.037238795310258865,66.704322249,1773460085.2302668,0.0
49644.31723573624,-12.599396705627441,0.0,0.0,0.0,1587200.0,0.0,107.98910522460938,0.008456548675894737,1587200.0,270.9169921875,,0.0,0.8759765625,-107.98910522460938,0.0,270.9169921875,0.04209369793534279,72.534847443,1773460091.0650687,0.0
49665.97004687799,-9.591708183288574,0.0,0.0,0.0,1841152.0,0.0,78.28564453125,-0.00022698139946442097,1841152.0,454.5087890625,,0.0,0.8896484375,-78.28564453125,0.0,454.5087890625,0.12120121717453003,78.360390551,1773460096.8961666,0.0
49722.56150202902,-9.494026184082031,0.0,0.0,0.0,2095104.0,0.0,67.71308135986328,-0.00028785658651031554,2095104.0,482.0771484375,,0.0,0.7890625,-67.71308135986328,0.0,482.0771484375,0.3297843337059021,84.191066449,1773460102.7216706,0.0
49685.25911939676,-10.932676315307617,0.0,0.0,0.0,2349056.0,0.0,54.76204299926758,-0.000361161568434909,2349056.0,599.017578125,"{'path': 'media/html/render_2349056_889cec88fcb127c86b46.html', 'size': 908165, '_type': 'html-file', 'sha256': '889cec88fcb127c86b46ccd5e09ff211af1e83f916f8ccd9d6ae032e486371f2'}",0.0,0.78515625,-54.76204299926758,0.0,599.017578125,0.6137441992759705,98.98836725,1773460123.350164,0.0
49527.29747888532,-13.710715293884277,0.0,0.0,0.0,2603008.0,0.0,36.466346740722656,-0.00038587988819926977,2603008.0,819.31640625,,0.0,0.98046875,-36.466346740722656,0.0,819.31640625,0.9613514542579651,104.959318978,1773460123.49672,0.0
49782.33450285663,-18.279203414916992,0.0,0.0,0.0,2856960.0,0.0,39.62872314453125,-0.0001790466922102496,2856960.0,779.9111328125,,0.0,0.9365234375,-39.62872314453125,0.0,779.9111328125,1.3152624368667603,110.794333221,1773460129.3206086,0.0
49647.71645417444,-24.09654998779297,0.0,0.0,0.0,3110912.0,0.0,34.411231994628906,-0.0002417504438199103,3110912.0,834.5576171875,,0.0,0.9765625,-34.411231994628906,0.0,834.5576171875,1.5669687986373901,116.636098049,1773460135.1557286,0.0
49572.11816624211,-29.657079696655273,0.0,0.0,0.0,3364864.0,0.0,34.33153533935547,-4.1870411223499104e-05,3364864.0,829.29296875,,0.0,0.9658203125,-34.33153533935547,0.0,829.29296875,1.7905725240707397,122.479662283,1773460140.9973652,0.0
49583.20849261122,-35.22869873046875,0.0,0.0,0.0,3618816.0,0.0,32.619293212890625,-9.222250810125843e-06,3618816.0,871.98046875,"{'path': 'media/html/render_3618816_69c1dbb96a5ab648f21c.html', 'size': 908897, '_type': 'html-file', 'sha256': '69c1dbb96a5ab648f21c0c7bec04e79b0511738231102006c0be56cf3d3052eb'}",0.0,0.9814453125,-32.619293212890625,0.0,871.98046875,1.9413894414901733,137.459793065,1773460161.8215964,0.0
49541.84695659227,-39.59035873413086,0.0,0.0,0.0,3872768.0,0.0,31.41656494140625,-1.560821146995295e-05,3872768.0,859.6982421875,,0.0,0.93359375,-31.41656494140625,0.0,859.6982421875,2.0538058280944824,143.431942236,1773460161.9653187,0.0
49746.5524440709,-44.86690139770508,0.0,0.0,0.0,4126720.0,0.0,31.393301010131836,0.00010753344395197928,4126720.0,857.9296875,,0.0,0.9599609375,-31.393301010131836,0.0,857.9296875,2.060748338699341,149.270467487,1773460167.7931666,0.0
49608.03316678744,-48.26295471191406,0.0,0.0,0.0,4380672.0,0.0,31.14838409423828,-2.3800694179954007e-05,4380672.0,875.201171875,,0.0,0.955078125,-31.14838409423828,0.0,875.201171875,2.0241494178771973,155.112099756,1773460173.631596,0.0
49574.321529408044,-52.32950210571289,0.0,0.0,0.0,4634624.0,0.0,28.606826782226562,0.00012194902228657156,4634624.0,902.138671875,,0.0,0.984375,-28.606826782226562,0.0,902.138671875,1.9332751035690308,160.953034948,1773460179.4733567,0.0
49613.13742779756,-54.60468292236328,0.0,0.0,0.0,4888576.0,0.0,28.798437118530273,-2.175064400944393e-05,4888576.0,905.0263671875,"{'path': 'media/html/render_4888576_44adcd19c701d976b285.html', 'size': 910369, '_type': 'html-file', 'sha256': '44adcd19c701d976b28526342729ccceda596da93d5ea3937b6f4cbaefa34924'}",0.0,0.9677734375,-28.798437118530273,0.0,905.0263671875,1.933152675628662,175.640431411,1773460200.0022671,0.0
49538.75251898866,-57.088871002197266,0.0,0.0,0.0,5142528.0,0.0,31.277740478515625,5.1715815061470494e-05,5142528.0,915.720703125,,0.0,0.982421875,-31.277740478515625,0.0,915.720703125,1.9107753038406372,181.645440736,1773460200.1526058,0.0
49506.931976438806,-60.27354431152344,0.0,0.0,0.0,5396480.0,0.0,30.137481689453125,6.30645954515785e-05,5396480.0,905.859375,,0.0,0.978515625,-30.137481689453125,0.0,905.859375,1.737723708152771,187.475545738,1773460206.0067046,0.0
49693.05915919857,-61.5993766784668,0.0,0.0,0.0,5650432.0,0.0,27.144922256469727,9.727396536618471e-05,5650432.0,944.4599609375,,0.0,0.9970703125,-27.144922256469727,0.0,944.4599609375,1.6843962669372559,193.313752617,1773460211.8367665,0.0
49611.61921054996,-64.2206039428711,0.0,0.0,0.0,5904384.0,0.0,28.187076568603516,4.8960129788611084e-05,5904384.0,933.236328125,,0.0,0.982421875,-28.187076568603516,0.0,933.236328125,1.587468147277832,199.136872982,1773460217.6749845,0.0
49759.317874515924,-65.3787612915039,0.0,0.0,0.0,6158336.0,0.0,27.11749267578125,-5.848506589245517e-06,6158336.0,929.705078125,"{'path': 'media/html/render_6158336_7520cd65ee3e1bde919b.html', 'size': 906877, '_type': 'html-file', 'sha256': '7520cd65ee3e1bde919b1df954788093b071480c3027bf8efbaf15c48795e19a'}",0.0,0.974609375,-27.11749267578125,0.0,929.705078125,1.601863145828247,214.246051132,1773460238.607822,0.0
49563.50501131911,-66.02935791015625,0.0,0.0,0.0,6412288.0,0.0,26.14472198486328,5.624359619105235e-05,6412288.0,943.505859375,,0.0,0.990234375,-26.14472198486328,0.0,943.505859375,1.6152476072311401,220.245259319,1773460238.7640898,0.0
49606.637707414084,-67.1807861328125,0.0,0.0,0.0,6666240.0,0.0,25.336116790771484,0.00010023449431173503,6666240.0,950.912109375,,0.0,0.9951171875,-25.336116790771484,0.0,950.912109375,1.4902480840682983,226.06473204,1773460244.6064398,0.0
49802.89699349354,-67.93555450439453,0.0,0.0,0.0,6920192.0,0.0,25.758533477783203,-2.4460730855935253e-05,6920192.0,955.703125,,0.0,0.994140625,-25.758533477783203,0.0,955.703125,1.4825247526168823,231.907969177,1773460250.4260352,0.0
49564.18998665075,-69.84611511230469,0.0,0.0,0.0,7174144.0,0.0,26.13235855102539,4.396189615363255e-05,7174144.0,940.607421875,,0.0,0.9853515625,-26.13235855102539,0.0,940.607421875,1.389569878578186,237.760610353,1773460256.269316,0.0
49480.34876246622,-71.04879760742188,0.0,0.0,0.0,7428096.0,0.0,23.576202392578125,0.00022160448133945465,7428096.0,964.3232421875,"{'_type': 'html-file', 'sha256': 'c32de963436448dbd0bdfa025f90fab42aaba4b4fdb5854c469db9b2ad2f4b56', 'path': 'media/html/render_7428096_c32de963436448dbd0bd.html', 'size': 906137}",0.0,0.9970703125,-23.576202392578125,0.0,964.3232421875,1.2877331972122192,252.522144849,1773460276.8839626,0.0
49656.38668427065,-71.9954833984375,0.0,0.0,0.0,7682048.0,0.0,24.620105743408203,-4.9126836529467255e-05,7682048.0,961.0078125,,0.0,0.9970703125,-24.620105743408203,0.0,961.0078125,1.2247083187103271,258.519240721,1773460277.0372362,0.0
49604.87270238196,-72.84162902832031,0.0,0.0,0.0,7936000.0,0.0,24.735313415527344,5.032832996221259e-05,7936000.0,954.3974609375,,0.0,0.990234375,-24.735313415527344,0.0,954.3974609375,1.1957814693450928,264.356454391,1773460282.8804219,0.0
49616.17876344675,-73.36331939697266,0.0,0.0,0.0,8189952.0,0.0,24.609642028808594,-6.12344520050101e-05,8189952.0,965.8232421875,,0.0,0.9990234375,-24.609642028808594,0.0,965.8232421875,1.2103351354599,270.174752351,1773460288.7172947,0.0
49809.74872100726,-73.79043579101562,0.0,0.0,0.0,8443904.0,0.0,23.444988250732422,7.130215817596763e-05,8443904.0,966.6376953125,,0.0,1.0,-23.444988250732422,0.0,966.6376953125,1.1751291751861572,275.996585153,1773460294.535994,0.0
