training/entropy,eval/episode_reward_near,_runtime,training/sps,step,eval/episode_reward_dist,eval/episode_success,eval/episode_success_hard,training/log_alpha,training/alpha_loss,eval/episode_reward,_step,eval/episode_success_any,_timestamp,render,eval/episode_success_easy,eval/episode_reward_ctrl,training/critic_loss,eval/episode_reward_survive,eval/episode_dist,training/actor_loss
,,26.665729496,,,,,,,,,0.0,,1773453661.8683503,"{'path': 'media/html/render_0_0700d3780afb3a54cdb1.html', 'size': 942001, '_type': 'html-file', 'sha256': '0700d3780afb3a54cdb1a357cfd5d083bde8cfff3d3917af66b66d7ba21af01e'}",,,,,,
,,60.499616624,,,,,,,,,1.0,,1773453695.7023654,"{'size': 939909, '_type': 'html-file', 'sha256': '2fdb5437c14f997bce4cb1219161b507504ba8816c6577801cb66b19244e2f21', 'path': 'media/html/render_1_2fdb5437c14f997bce4c.html'}",,,,,,
0.0,0.0,66.504188247,14269.492494178543,1333248.0,-139.3646697998047,163.5390625,0.0,0.0,0.5776214599609375,163.5390625,1333248.0,0.9755859375,1773453695.853457,,0.0,0.0,0.044989146292209625,0.0,139.3646697998047,-15.279998779296875
0.0,0.0,72.360233456,49486.58551472625,1587200.0,-112.8612060546875,250.072265625,0.0,0.0,0.006494560744613409,250.072265625,1587200.0,0.826171875,1773453701.7058709,,0.0,0.0,0.06993578374385834,0.0,112.8612060546875,-12.142102241516113
0.0,0.0,78.223929363,49440.810842155865,1841152.0,-105.78034973144531,341.98828125,0.0,0.0,-4.6486409701174125e-05,341.98828125,1841152.0,0.9453125,1773453707.562409,,0.0,0.0,0.15340113639831543,0.0,105.78034973144531,-8.049561500549316
0.0,0.0,84.078636804,49366.8727485891,2095104.0,-101.11053466796875,366.0048828125,0.0,0.0,-0.00013365699851419777,366.0048828125,2095104.0,0.833984375,1773453713.4260976,,0.0,0.0,0.2910362780094147,0.0,101.11053466796875,-5.686760425567627
0.0,0.0,98.82485028,49477.43207440902,2349056.0,-86.6508560180664,389.185546875,0.0,0.0,-0.00013269974442664534,389.185546875,2349056.0,0.818359375,1773453734.0275269,"{'path': 'media/html/render_2349056_45423466ff14778b889d.html', 'size': 914325, '_type': 'html-file', 'sha256': '45423466ff14778b889d90c0da74141ff882aee3833a62634cedd706e7324d95'}",0.0,0.0,0.44640591740608215,0.0,86.6508560180664,-4.282501220703125
0.0,0.0,104.814338266,49345.58733412229,2603008.0,-74.86947631835938,457.9609375,0.0,0.0,-0.00018589365936350077,457.9609375,2603008.0,0.8056640625,1773453734.1728983,,0.0,0.0,0.6393257975578308,0.0,74.86947631835938,-4.204456806182861
0.0,0.0,110.673899954,49601.14211685741,2856960.0,-68.7244873046875,492.341796875,0.0,0.0,-0.00021382744307629764,492.341796875,2856960.0,0.8310546875,1773453740.0161304,,0.0,0.0,0.8598097562789917,0.0,68.7244873046875,-5.798994541168213
0.0,0.0,116.530797547,49432.19507645722,3110912.0,-60.922908782958984,627.8486328125,0.0,0.0,-9.850247442955151e-05,627.8486328125,3110912.0,0.888671875,1773453745.8761814,,0.0,0.0,1.0081822872161865,0.0,60.922908782958984,-8.328112602233887
