training/critic_loss,step,eval/episode_dist,eval/episode_reward,training/actor_loss,render,training/alpha_loss,eval/episode_reward_dist,_timestamp,training/sps,eval/episode_success_any,eval/episode_reward_ctrl,eval/episode_success_easy,_runtime,eval/episode_reward_near,eval/episode_success,eval/episode_success_hard,_step,training/log_alpha,training/entropy,eval/episode_reward_survive
,,,,,"{'_type': 'html-file', 'sha256': '70e3164fa192071a65b327d949ef5e815440cf74e8cef19064eaeff5bcf71b6c', 'path': 'media/html/render_0_70e3164fa192071a65b3.html', 'size': 942881}",,,1773447236.8044853,,,,,30.682122376,,,,0.0,,,
,,,,,"{'_type': 'html-file', 'sha256': 'babfa653075ae5d1219ea3c8cea3b8ecf720cc8f15ee888bcf822949bfee8d89', 'path': 'media/html/render_1_babfa653075ae5d1219e.html', 'size': 941173}",,,1773447270.4966056,,,,,64.37426455,,,,1.0,,,
0.052025873214006424,1333248.0,110.84956359863281,252.7255859375,-15.275110244750977,,0.5784103274345398,-110.84956359863281,1773447270.6475756,14173.515826452496,0.9677734375,0.0,0.0,70.396634745,0.0,252.7255859375,0.0,1333248.0,0.0,0.0,0.0
0.1199399083852768,1587200.0,91.74620056152344,351.7236328125,-12.460421562194824,,0.0054573314264416695,-91.74620056152344,1773447276.5185413,49312.68564136494,0.79296875,0.0,0.0,76.276566311,0.0,351.7236328125,0.0,1587200.0,0.0,0.0,0.0
0.2923212945461273,1841152.0,77.60674285888672,402.162109375,-8.951153755187988,,-0.00019553214951884001,-77.60674285888672,1773447282.3984723,49211.1941862008,0.7431640625,0.0,0.0,82.154738465,0.0,402.162109375,0.0,1841152.0,0.0,0.0,0.0
0.5638495683670044,2095104.0,69.88314819335938,462.181640625,-7.942956447601318,,-0.00030512892408296466,-69.88314819335938,1773447288.2765758,49234.27761880224,0.728515625,0.0,0.0,88.033876407,0.0,462.181640625,0.0,2095104.0,0.0,0.0,0.0
0.9236435890197754,2349056.0,70.77459716796875,510.7607421875,-8.90919303894043,"{'size': 912429, '_type': 'html-file', 'sha256': '6162c17e102771fd74ff8cfdcaef5ddcda38cfb0fc349a7e28448824057c23a3', 'path': 'media/html/render_2349056_6162c17e102771fd74ff.html'}",-0.00022308347979560494,-70.77459716796875,1773447308.71832,49249.648246195,0.7333984375,0.0,0.0,102.595966431,0.0,510.7607421875,0.0,2349056.0,0.0,0.0,0.0
1.2374861240386963,2603008.0,59.052711486816406,600.7880859375,-11.058682441711426,,-0.00012709133443422616,-59.052711486816406,1773447308.858902,49159.290143601735,0.85546875,0.0,0.0,108.600572094,0.0,600.7880859375,0.0,2603008.0,0.0,0.0,0.0
1.489455223083496,2856960.0,54.5049934387207,651.95703125,-14.287213325500488,,-0.00019224549760110676,-54.5049934387207,1773447314.7223473,49418.28540627242,0.853515625,0.0,0.0,114.476723816,0.0,651.95703125,0.0,2856960.0,0.0,0.0,0.0
1.6765148639678955,3110912.0,42.15311813354492,756.2587890625,-18.755321502685547,,-0.00017366633983328938,-42.15311813354492,1773447320.598556,49267.42338692202,0.9013671875,0.0,0.0,120.369541913,0.0,756.2587890625,0.0,3110912.0,0.0,0.0,0.0
1.881400465965271,3364864.0,41.04201889038086,782.3916015625,-23.927635192871094,,-7.485124660888687e-05,-41.04201889038086,1773447326.4915814,49110.15133627187,0.9189453125,0.0,0.0,126.258133045,0.0,782.3916015625,0.0,3364864.0,0.0,0.0,0.0
1.9903184175491333,3618816.0,38.0375862121582,765.3349609375,-28.91276741027832,"{'_type': 'html-file', 'sha256': '50291a5e8ba47a94697108ea88f734e916851f49324a2150c6e542cdbeb059ef', 'path': 'media/html/render_3618816_50291a5e8ba47a946971.html', 'size': 907861}",-6.366506568156183e-05,-38.0375862121582,1773447347.415483,49173.56742313605,0.92578125,0.0,0.0,141.293087898,0.0,765.3349609375,0.0,3618816.0,0.0,0.0,0.0
2.0960888862609863,3872768.0,38.367218017578125,797.4814453125,-32.251976013183594,,-1.8456139514455572e-05,-38.367218017578125,1773447347.5635529,49127.35006985697,0.9365234375,0.0,0.0,147.307763011,0.0,797.4814453125,0.0,3872768.0,0.0,0.0,0.0
2.1132972240448,4126720.0,37.547821044921875,807.69921875,-36.8665885925293,,-4.3787691538454965e-05,-37.547821044921875,1773447353.4290614,49402.31442616912,0.9453125,0.0,0.0,153.202589618,0.0,807.69921875,0.0,4126720.0,0.0,0.0,0.0
2.265280246734619,4380672.0,35.6937255859375,829.5595703125,-38.78629684448242,,2.7750861590902787e-06,-35.6937255859375,1773447359.324432,49074.618739196194,0.9287109375,0.0,0.0,159.080964835,0.0,829.5595703125,0.0,4380672.0,0.0,0.0,0.0
2.108238458633423,4634624.0,35.87077331542969,864.4814453125,-44.44390106201172,,2.1815614672959782e-05,-35.87077331542969,1773447365.2027783,49231.17597376819,0.9716796875,0.0,0.0,164.967813968,0.0,864.4814453125,0.0,4634624.0,0.0,0.0,0.0
2.155729293823242,4888576.0,35.51538848876953,861.2265625,-46.533592224121094,"{'_type': 'html-file', 'sha256': '86215e14613698ef74e92a9fa1dbf9a71d40b4aa8afef1bd6fa78e3b7891e8c5', 'path': 'media/html/render_4888576_86215e14613698ef74e9.html', 'size': 909929}",3.283853948232718e-05,-35.51538848876953,1773447385.8082156,49187.721254096024,0.9765625,0.0,0.0,179.685826307,0.0,861.2265625,0.0,4888576.0,0.0,0.0,0.0
2.224497079849243,5142528.0,30.813194274902344,909.0703125,-47.927005767822266,,-4.4729680666932836e-05,-30.813194274902344,1773447385.9577239,49123.21067278087,0.986328125,0.0,0.0,185.726723468,0.0,909.0703125,0.0,5142528.0,0.0,0.0,0.0
