eval/episode_reward_survive,training/entropy,_step,render,eval/episode_reward_ctrl,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_success_hard,training/critic_loss,_runtime,training/sps,training/actor_loss,step,eval/episode_success,eval/episode_success_any,eval/episode_reward,_timestamp,training/log_alpha,eval/episode_dist,training/alpha_loss,eval/episode_reward_near
539.6162109375,0.0,5396480.0,,-2045.02294921875,5.75,0.0,0.0,0.013886664062738419,307.583532902,44411.05637619515,-0.09437860548496246,5396480.0,0.0,0.0,0.0,1774210146.1973834,0.0,1860.13330078125,0.0,0.0
765.87109375,0.0,5650432.0,,-2975.7353515625,7.435546875,0.0,0.0,0.012274847365915775,316.309724338,44489.96209026725,-0.07182259857654572,5650432.0,0.0,0.0,0.0,1774210154.896301,0.0,2667.21044921875,0.0,0.0
654.328125,0.0,5904384.0,,-2486.8427734375,4.248046875,0.0,0.0,0.0115898996591568,325.012242537,44472.54747928178,-0.07908154278993607,5904384.0,0.0,0.0,0.0,1774210163.6225963,0.0,2252.61865234375,0.0,0.0
715.2197265625,0.0,6158336.0,"{'path': 'media/html/render_6158336_46ea8fa75b50b7f73e5a.html', 'size': 3987033.0, '_type': 'html-file', 'sha256': '46ea8fa75b50b7f73e5a5dfb340e941c237fdffda177b6ee9bdccd52b4c3a493'}",-2735.9404296875,1.86328125,0.0,0.0,0.011400568298995495,354.013413087,44488.81184104079,-0.0639943853020668,6158336.0,0.9384765625,0.0009765625,0.9384765625,1774210201.3267026,0.0,2516.11279296875,0.0,0.0
753.5849609375,0.0,6412288.0,,-2907.42138671875,2.658203125,0.0,0.0,0.011729530990123749,362.909121137,44364.39261845124,-0.049819935113191605,6412288.0,0.0,0.0,0.0,1774210201.523757,0.0,2635.17431640625,0.0,0.0
655.216796875,0.0,6666240.0,,-2498.746826171875,5.396484375,0.0,0.0,0.0075259460136294365,371.639412555,44506.97562644141,-0.021777834743261337,6666240.0,0.0,0.0,0.0,1774210210.2220037,0.0,2268.53076171875,0.0,0.0
610.5693359375,0.0,6920192.0,,-2351.236572265625,5.275390625,0.0,0.0,0.007811670657247305,380.324614302,44500.78366227744,-0.009465617127716541,6920192.0,0.0,0.0,0.0,1774210218.9522622,0.0,2111.78662109375,0.0,0.0
572.5146484375,0.0,7174144.0,,-2183.044677734375,20.646484375,0.0,0.0,0.009204589761793613,389.036524354,44594.972087863265,-0.03073279745876789,7174144.0,0.9541015625,0.001953125,0.9541015625,1774210227.6373715,0.0,1911.64501953125,0.0,0.0
620.333984375,0.0,7428096.0,"{'path': 'media/html/render_7428096_a0b19a75fafc5d8857fd.html', 'size': 3937745.0, '_type': 'html-file', 'sha256': 'a0b19a75fafc5d8857fddaab29a864a3b5ce5614d0f95c70be0e09e362664d55'}",-2381.638427734375,7.12109375,0.0,0.0,0.00943801086395979,416.818728253,44584.49656078612,-0.028430193662643433,7428096.0,0.0,0.0,0.0,1774210264.13186,0.0,2113.164306640625,0.0,0.0
722.6572265625,0.0,7682048.0,,-2808.29736328125,1.9296875,0.0,0.0,0.006451963912695646,425.76981624,44644.67276843675,-0.012485777959227562,7682048.0,0.0,0.0,0.0,1774210264.3346186,0.0,2518.3564453125,0.0,0.0
739.94921875,0.0,7936000.0,,-2872.15625,9.25390625,0.0,0.0,0.007019824348390102,434.459727676,44327.46162457164,-0.008216331712901592,7936000.0,0.8779296875,0.0009765625,0.8779296875,1774210273.082557,0.0,2510.64013671875,0.0,0.0
634.3115234375,0.0,8189952.0,,-2458.921142578125,8.990234375,0.0,0.0,0.006245499476790428,443.183316098,44537.58885583403,-0.007407729979604483,8189952.0,0.00390625,0.0009765625,0.00390625,1774210281.7720802,0.0,2174.51123046875,0.0,0.0
676.5615234375,0.0,8443904.0,,-2646.60400390625,2.470703125,0.0,0.0,0.007171426899731159,451.866432793,44484.17614057033,-0.012493238784372807,8443904.0,0.0,0.0,0.0,1774210290.4961257,0.0,2408.948486328125,0.0,0.0
692.7529296875,0.0,8697856.0,"{'_type': 'html-file', 'sha256': 'bab9b2fe2b9561db811dfee20f60628613fb0c8f406bccafcd3ebe112f64f052', 'path': 'media/html/render_8697856_bab9b2fe2b9561db811d.html', 'size': 3880781.0}",-2724.290771484375,7.4814453125,0.0,0.0,0.006084113847464323,480.526684013,44579.1468319356,0.003828322747722268,8697856.0,0.0,0.0,0.0,1774210327.8398867,0.0,2397.116943359375,0.0,0.0
748.9521484375,0.0,8951808.0,,-2945.716064453125,3.04296875,0.0,0.0,0.005150127224624157,489.38630957,44563.357041200834,-0.0024248508270829916,8951808.0,0.0,0.0,0.0,1774210328.007332,0.0,2621.80859375,0.0,0.0
813.4072265625,0.0,9205760.0,,-3204.291015625,0.0302734375,0.0,0.0,0.004913317039608955,498.138919792,44560.45805333624,0.01659034751355648,9205760.0,0.0,0.0,0.0,1774210336.6989305,0.0,2862.140869140625,0.0,0.0
729.484375,0.0,9459712.0,,-2854.51513671875,6.314453125,0.0,0.0,0.004691638983786106,506.838931186,44276.12312227941,0.024610890075564384,9459712.0,0.0,0.0,0.0,1774210345.4516068,0.0,2547.0439453125,0.0,0.0
874.693359375,0.0,9713664.0,,-3466.138671875,1.9189453125,0.0,0.0,0.005375296343117952,515.603856192,44505.48976981408,0.02387637458741665,9713664.0,0.0,0.0,0.0,1774210354.1514635,0.0,3054.81103515625,0.0,0.0
730.896484375,0.0,9967616.0,"{'path': 'media/html/render_9967616_54b1ba2fefbfec2b69b5.html', 'size': 3899493.0, '_type': 'html-file', 'sha256': '54b1ba2fefbfec2b69b5aa5313d4dcfb68d46b37ac4a41eab530712b33ad6a96'}",-2873.93994140625,1.333984375,0.0,0.0,0.0059789372608065605,543.777141744,44186.67720668016,0.013097771443426609,9967616.0,0.0,0.0,0.0,1774210391.0903988,0.0,2520.82763671875,0.0,0.0
854.1591796875,0.0,10221568.0,,-3368.0400390625,1.6650390625,0.0,0.0,0.006523275747895241,552.797020042,44726.1900134319,0.012117203325033188,10221568.0,0.0,0.0,0.0,1774210391.3106802,0.0,2963.27978515625,0.0,0.0
721.251953125,0.0,10475520.0,,-2826.122314453125,5.3828125,0.0,0.0,0.006702048238366842,561.496371315,43966.573716063984,0.012690594419836998,10475520.0,0.0,0.0,0.0,1774210400.1096277,0.0,2463.6669921875,0.0,0.0
756.11328125,0.0,10729472.0,,-2970.769287109375,4.4638671875,0.0,0.0,0.008180487900972366,570.301861691,44455.391407418094,-0.0017611056100577116,10729472.0,0.001953125,0.0009765625,0.001953125,1774210408.8089132,0.0,2600.8984375,0.0,0.0
603.96875,0.0,10983424.0,,-2391.542724609375,5.2939453125,0.0,0.0,0.006146782077848911,579.017930571,44187.50758788368,0.034747231751680374,10983424.0,0.87109375,0.0009765625,0.87109375,1774210417.6145265,0.0,2149.0458984375,0.0,0.0
767.84765625,0.0,11237376.0,"{'size': 3990889.0, '_type': 'html-file', 'sha256': '9777bff98025df4c618c52e375e8dcabcd5486b280c8e2de6712f11e6500c86d', 'path': 'media/html/render_11237376_9777bff98025df4c618c.html'}",-3018.06298828125,13.625,0.0,0.0,0.004086118191480637,607.572524566,44312.39525546405,0.06881401687860489,11237376.0,0.0009765625,0.0009765625,0.0009765625,1774210454.8857553,0.0,2576.28564453125,0.0,0.0
598.3369140625,0.0,11491328.0,,-2351.857421875,16.2421875,0.0,0.0,0.003521605161949992,616.518222079,44228.55224872816,0.08557257801294327,11491328.0,0.0,0.0,0.0,1774210455.0636325,0.0,2050.62109375,0.0,0.0
601.34765625,0.0,11745280.0,,-2377.50732421875,1.3798828125,0.0,0.0,0.005826856940984726,625.283485807,44016.28516634192,0.058597393333911896,11745280.0,0.0,0.0,0.0,1774210463.8310773,0.0,2025.320556640625,0.0,0.0
726.34765625,0.0,11999232.0,,-2874.162841796875,6.3564453125,0.0,0.0,0.002612431300804019,634.018215979,44152.857922311916,0.07794845849275589,11999232.0,0.0,0.0,0.0,1774210472.5961857,0.0,2575.9052734375,0.0,0.0
667.796875,0.0,12253184.0,,-2649.4404296875,7.009765625,0.0,0.0,0.0019743272569030523,642.776721594,44259.98996285018,0.06925863772630692,12253184.0,0.921875,0.0009765625,0.921875,1774210481.3309417,0.0,2304.83642578125,0.0,0.0
786.02734375,0.0,12507136.0,"{'path': 'media/html/render_12507136_2c79e3abc5651bf8cb48.html', 'size': 4051901.0, '_type': 'html-file', 'sha256': '2c79e3abc5651bf8cb482f947341aa56d5ebd811d9b0c90c409a8ee0ee68f39a'}",-3125.0107421875,2.8564453125,0.0,0.0,0.001943125738762319,670.576058247,44221.76737577334,0.057849057018756866,12507136.0,0.0,0.0,0.0,1774210517.889317,0.0,2683.62060546875,0.0,0.0
609.693359375,0.0,12761088.0,,-2410.26806640625,6.4609375,0.0,0.0,0.0020887204445898533,679.547847346,44313.18612337212,0.05615511164069176,12761088.0,0.0,0.0,0.0,1774210518.0567303,0.0,2131.78955078125,0.0,0.0
650.16015625,0.0,13015040.0,,-2576.115478515625,10.06640625,0.0,0.0,0.002202269621193409,688.278850547,43936.780046223976,0.048879221081733704,13015040.0,0.0,0.0,0.0,1774210526.8603764,0.0,2257.2724609375,0.0,0.0
661.9267578125,0.0,13268992.0,,-2628.625244140625,9.3427734375,0.0,0.0,0.0027883092407137156,697.057590005,44253.35355851131,0.039750874042510986,13268992.0,0.0,0.0,0.0,1774210535.591347,0.0,2251.142822265625,0.0,0.0
484.552734375,0.0,13522944.0,,-1923.896728515625,3.68359375,0.0,0.0,0.0021286150440573692,705.782064054,44066.42637028905,0.05519358441233635,13522944.0,0.0,0.0,0.0,1774210544.370281,0.0,1720.892333984375,0.0,0.0
661.6494140625,0.0,13776896.0,"{'sha256': 'dd38fa48c3cf06a1c60b7fec6b5d6ae41fd67264ebae143e6da57e5b182315bc', 'path': 'media/html/render_13776896_dd38fa48c3cf06a1c60b.html', 'size': 3972841.0, '_type': 'html-file'}",-2634.74365234375,6.22265625,0.0,0.0,0.001720017520710826,735.154158016,44262.68444395982,0.058576662093400955,13776896.0,0.0,0.0,0.0,1774210582.4674046,0.0,2284.7294921875,0.0,0.0
500.0263671875,0.0,14030848.0,,-1986.0736083984375,8.2666015625,0.0,0.0,0.0020787015091627836,744.09315522,44067.505656095585,0.06157310679554939,14030848.0,0.0,0.0,0.0,1774210582.6634843,0.0,1794.6207275390625,0.0,0.0
475.5849609375,0.0,14284800.0,,-1892.1279296875,5.763671875,0.0,0.0,0.0024810833856463432,752.867205658,44187.577246003915,0.05089308321475983,14284800.0,0.0,0.0,0.0,1774210591.405869,0.0,1699.4697265625,0.0,0.0
534.49609375,0.0,14538752.0,,-2130.47607421875,7.4521484375,0.0,0.0,0.002967085223644972,761.623209658,44105.124061326285,0.03912394866347313,14538752.0,0.0,0.0,0.0,1774210600.1800354,0.0,1846.820068359375,0.0,0.0
558.8359375,0.0,14792704.0,,-2225.54296875,2.4013671875,0.0,0.0,0.0018891451181843877,770.409648467,44096.06393837201,0.05629266798496246,14792704.0,0.0,0.0,0.0,1774210608.9358878,0.0,1948.9307861328125,0.0,0.0
400.38671875,0.0,15046656.0,"{'_type': 'html-file', 'sha256': '8e2e08b8267e826acb13d4569afdd890753ea3b571f87802fa438721b30cb095', 'path': 'media/html/render_15046656_8e2e08b8267e826acb13.html', 'size': 3929213.0}",-1593.919921875,8.408203125,0.0,0.0,0.0023550621699541807,798.706871507,44025.01228837735,0.05430217087268829,15046656.0,0.84765625,0.0009765625,0.84765625,1774210646.02014,0.0,1386.288330078125,0.0,0.0
549.044921875,0.0,15300608.0,,-2188.0029296875,2.89453125,0.0,0.0,0.0032835539896041155,807.674135119,44165.17149453075,0.04801059141755104,15300608.0,0.0,0.0,0.0,1774210646.196149,0.0,1923.866455078125,0.0,0.0
396.98046875,0.0,15554560.0,,-1582.7850341796875,2.4296875,0.0,0.0,0.0025721979327499866,816.411367133,44059.74946475038,0.057547714561223984,15554560.0,0.0,0.0,0.0,1774210654.9867938,0.0,1334.67578125,0.0,0.0
473.9296875,0.0,15808512.0,,-1889.30859375,1.9072265625,0.0,0.0,0.002004423178732395,825.165245633,44256.73495225899,0.07151292264461517,15808512.0,0.0048828125,0.0009765625,0.0048828125,1774210663.7240098,0.0,1614.326904296875,0.0,0.0
618.44140625,0.0,16062464.0,,-2458.84521484375,9.0595703125,0.0,0.0,0.0019443671917542815,833.884916791,44273.23562056572,0.07887762039899826,16062464.0,0.0,0.0,0.0,1774210672.4776523,0.0,2193.47998046875,0.0,0.0
