eval/episode_dist,eval/episode_success_easy,eval/episode_success_hard,training/sps,eval/episode_success_any,eval/episode_reward_ctrl,_timestamp,eval/episode_success,_step,eval/episode_reward_survive,eval/episode_reward,training/critic_loss,eval/episode_reward_near,step,training/log_alpha,training/alpha_loss,render,_runtime,training/entropy,eval/episode_reward_dist,training/actor_loss
,,,,,,1774228220.2701592,,0.0,,,,,,,,"{'path': 'media/html/render_0_47cf92dfc6e3b3b540cd.html', 'size': 4018305.0, '_type': 'html-file', 'sha256': '47cf92dfc6e3b3b540cd40aaeeddbf4f011cd93505c5dfe214e9b73056278d23'}",46.54277749,,,
,,,,,,1774228272.1278827,,1.0,,,,,,,,"{'path': 'media/html/render_1_e69ec30c8138db6267a1.html', 'size': 3942421.0, '_type': 'html-file', 'sha256': 'e69ec30c8138db6267a1760a2ed48524105f5d7c2d82eba0cb5005d3753e847a'}",98.400429358,,,
2201.147705078125,10.619140625,0.0,13759.466980367059,0.0009765625,-2004.6884765625,1774228272.3652337,0.1064453125,1333248.0,643.4052734375,0.1064453125,0.00378610473126173,0.0,1333248.0,0.0,0.0,,107.297149433,0.0,0.0,-0.12143044173717499
2422.226318359375,6.583984375,0.0,45251.8883238992,0.0,-2384.07958984375,1774228281.024122,0.0,1587200.0,718.66796875,0.0,0.0042157722637057304,0.0,1587200.0,0.0,0.0,,115.972166666,0.0,0.0,-0.13977640867233276
2833.196533203125,4.04296875,0.0,44821.26437560132,0.0,-2779.680419921875,1774228289.6985698,0.0,1841152.0,803.0205078125,0.0,0.010493854992091656,0.0,1841152.0,0.0,0.0,,124.631596299,0.0,0.0,-0.1571846753358841
2806.79736328125,2.5576171875,0.0,45119.98613840575,0.0,-2669.88427734375,1774228298.3585255,0.0,2095104.0,795.359375,0.0,0.014972124248743057,0.0,2095104.0,0.0,0.0,,133.294725302,0.0,0.0,-0.15607577562332153
2765.830810546875,0.9287109375,0.0,45039.715533695264,0.0,-2755.146484375,1774228335.2696524,0.0,2349056.0,784.6181640625,0.0,0.017824772745370865,0.0,2349056.0,0.0,0.0,"{'size': 4009769.0, '_type': 'html-file', 'sha256': '1167b498bda474e8f9962dfec5b7dcc168a12dd4202043d3e26ec25d9136235b', 'path': 'media/html/render_2349056_1167b498bda474e8f996.html'}",161.542186932,0.0,0.0,-0.1314731240272522
2741.35693359375,8.4794921875,0.0,44985.63766571095,0.0,-2766.093017578125,1774228335.4431367,0.0,2603008.0,790.611328125,0.0,0.020595531910657883,0.0,2603008.0,0.0,0.0,,170.409938097,0.0,0.0,-0.1495106965303421
2941.504638671875,0.94140625,0.0,44756.57155093063,0.0,-2990.327880859375,1774228344.1370993,0.0,2856960.0,825.443359375,0.0,0.023177122697234154,0.0,2856960.0,0.0,0.0,,179.040768786,0.0,0.0,-0.1365310698747635
2675.969970703125,0.9287109375,0.0,45044.38774346562,0.0,-2781.37158203125,1774228352.7677977,0.0,3110912.0,771.3505859375,0.0,0.0214837733656168,0.0,3110912.0,0.0,0.0,,187.727263466,0.0,0.0,-0.11091896891593933
2843.313232421875,3.73046875,0.0,44865.53061753756,0.0,-2941.1044921875,1774228361.4542696,0.0,3364864.0,822.052734375,0.0,0.02238207682967186,0.0,3364864.0,0.0,0.0,,196.376620404,0.0,0.0,-0.0630962923169136
3011.7744140625,2.2861328125,0.0,44830.53252921492,0.0,-3115.65087890625,1774228398.820679,0.0,3618816.0,863.7939453125,0.0,0.021158449351787567,0.0,3618816.0,0.0,0.0,"{'path': 'media/html/render_3618816_7c2b19290df7d5e83a22.html', 'size': 3920041.0, '_type': 'html-file', 'sha256': '7c2b19290df7d5e83a225c0164611f9d43755bcf31095e477486c5b30a02fc12'}",225.093241454,0.0,0.0,-0.03378521278500557
3129.3134765625,3.0498046875,0.0,44871.26498019985,0.0009765625,-3210.3076171875,1774228399.0173771,0.9091796875,3872768.0,887.509765625,0.9091796875,0.022016560658812523,0.0,3872768.0,0.0,0.0,,233.944891803,0.0,0.0,-0.05461490899324417
3046.35205078125,0.005859375,0.0,44900.01368340402,0.0,-3291.059326171875,1774228407.671832,0.0,4126720.0,877.216796875,0.0,0.023486485704779625,0.0,4126720.0,0.0,0.0,,242.60092259,0.0,0.0,-0.0397065207362175
2458.8818359375,3.67578125,0.0,45049.29717925879,0.0,-2705.93994140625,1774228416.327897,0.0,4380672.0,722.0419921875,0.0,0.0169712845236063,0.0,4380672.0,0.0,0.0,,251.217958041,0.0,0.0,0.004967059008777142
2778.689453125,0.0,0.0,45132.3173219785,0.0,-2937.427734375,1774228424.9448948,0.0,4634624.0,785.5390625,0.0,0.014449797570705414,0.0,4634624.0,0.0,0.0,,259.854848942,0.0,0.0,0.01010359637439251
2714.3203125,4.7890625,0.0,45180.452328334206,0.0,-3031.405517578125,1774228462.188675,0.0,4888576.0,792.8037109375,0.0,0.014645594172179699,0.0,4888576.0,0.0,0.0,"{'size': 3875473.0, '_type': 'html-file', 'sha256': 'ba064f4fe41496a00bc79568c06a02ca262ea76fcc0ea826cc4511960d324a9a', 'path': 'media/html/render_4888576_ba064f4fe41496a00bc7.html'}",288.461233077,0.0,0.0,0.026296544820070267
2872.781982421875,7.5615234375,0.0,45197.39595772249,0.0,-3104.958984375,1774228462.3866913,0.0,5142528.0,821.279296875,0.0,0.011614575050771236,0.0,5142528.0,0.0,0.0,,297.341610722,0.0,0.0,0.03894595429301262
2740.997802734375,1.8193359375,0.0,44886.32040276125,0.0,-2983.8115234375,1774228471.0679417,0.0,5396480.0,792.212890625,0.0,0.010712814517319202,0.0,5396480.0,0.0,0.0,,305.963146761,0.0,0.0,0.05521606653928757
2693.015869140625,4.830078125,0.0,45091.621338749086,0.0,-2946.528564453125,1774228479.6901877,0.0,5650432.0,764.31640625,0.0,0.009509424678981304,0.0,5650432.0,0.0,0.0,,314.619781153,0.0,0.0,0.06647364795207977
2880.55615234375,2.5908203125,0.0,45027.39872755075,0.0,-3185.534912109375,1774228488.34684,0.0,5904384.0,823.1533203125,0.0,0.009515230543911457,0.0,5904384.0,0.0,0.0,,323.244593317,0.0,0.0,0.06295137852430344
