step,eval/episode_reward,training/actor_loss,training/sps,training/log_alpha,eval/episode_success,eval/episode_success_any,eval/episode_reward_survive,eval/episode_reward_dist,eval/episode_dist,eval/episode_reward_ctrl,_step,render,eval/episode_success_easy,training/critic_loss,training/alpha_loss,_timestamp,_runtime,eval/episode_reward_near,training/entropy,eval/episode_success_hard
,,,,,,,,,,,0.0,"{'path': 'media/html/render_0_28bd3a0480200aaa54e3.html', 'size': 3942929.0, '_type': 'html-file', 'sha256': '28bd3a0480200aaa54e38d10d228d7b9833da7d122ee201cbcf562a5b662b1c3'}",,,,1774212527.6568117,44.620812447,,,
,,,,,,,,,,,1.0,"{'size': 4033185.0, '_type': 'html-file', 'sha256': 'a712e9d573f12730c7f3cc1d953d9ad122d6400b37640930faa55f288207d6cc', 'path': 'media/html/render_1_a712e9d573f12730c7f3.html'}",,,,1774212578.4844043,95.448371346,,,
1333248.0,0.7099609375,0.1355276256799698,14321.1741146074,0.0,0.7099609375,0.001953125,475.5576171875,0.0,1556.63525390625,-1557.8450927734375,1333248.0,,18.2265625,0.0038900296203792095,0.0,1774212578.6733725,104.327479818,0.0,0.0,0.0
1587200.0,0.0,0.01946135237812996,45010.45485634542,0.0,0.0,0.0,652.6865234375,0.0,2196.147216796875,-2124.421630859375,1587200.0,,5.3876953125,0.003480088897049427,0.0,1774212587.362918,113.006615766,0.0,0.0,0.0
1841152.0,0.8212890625,-0.009361342526972294,44763.88273232557,0.0,0.8212890625,0.001953125,510.240234375,0.0,1787.505126953125,-1705.67724609375,1841152.0,,6.4384765625,0.004519269336014986,0.0,1774212596.0421546,121.708665454,0.0,0.0,0.0
2095104.0,0.0,-0.03937453031539917,44778.145184938054,0.0,0.0,0.0,549.216796875,0.0,1856.079833984375,-1961.857421875,2095104.0,,6.1787109375,0.005201505031436682,0.0,1774212604.7441664,130.374419942,0.0,0.0,0.0
2349056.0,0.0009765625,-0.04452429339289665,45019.565477664495,0.0,0.0009765625,0.0009765625,534.248046875,0.0,1839.7515869140625,-1919.7322998046875,2349056.0,"{'path': 'media/html/render_2349056_84864357e453673fc859.html', 'size': 3981457.0, '_type': 'html-file', 'sha256': '84864357e453673fc859894885d1b26c1b4a8298abb9ac7470cc7215a2b39080'}",6.9658203125,0.007205907255411148,0.0,1774212642.0803125,159.044260365,0.0,0.0,0.0
2603008.0,0.0,-0.0545787438750267,45008.17635077742,0.0,0.0,0.0,585.51953125,0.0,2040.044921875,-2079.982421875,2603008.0,,8.158203125,0.007161974906921387,0.0,1774212642.2693408,167.923822436,0.0,0.0,0.0
2856960.0,0.0302734375,-0.04121684283018112,44874.870025013435,0.0,0.0302734375,0.0009765625,584.3037109375,0.0,2021.62890625,-2062.62158203125,2856960.0,,8.255859375,0.006243953015655279,0.0,1774212650.958735,176.566031733,0.0,0.0,0.0
3110912.0,0.0,-0.06086171418428421,45016.81991790948,0.0,0.0,0.0,525.546875,0.0,1757.1556396484375,-1878.0528564453125,3110912.0,,7.7236328125,0.006334703881293535,0.0,1774212659.6014802,185.236674849,0.0,0.0,0.0
