_timestamp,training/critic_loss,training/sps,training/log_alpha,eval/episode_success_any,eval/episode_reward_survive,eval/episode_reward_near,render,_runtime,eval/episode_success,step,eval/episode_reward,eval/episode_reward_ctrl,training/actor_loss,eval/episode_reward_dist,training/entropy,_step,eval/episode_success_hard,eval/episode_success_easy,training/alpha_loss,eval/episode_dist
1774230834.829996,,,,,,,"{'path': 'media/html/render_0_5d7a8996cd4602b068ca.html', 'size': 4107685.0, '_type': 'html-file', 'sha256': '5d7a8996cd4602b068ca464afe6f10040e9518458075ff21927ccea415de45ab'}",44.559668146,,,,,,,,0.0,,,,
1774230886.6345441,,,,,,,"{'size': 4065697.0, '_type': 'html-file', 'sha256': '6b0a2c5136963acd3df0bf6d47cc9ed6012662ddc72b0131793c819ce1a9f8bf', 'path': 'media/html/render_1_6b0a2c5136963acd3df0.html'}",96.364167957,,,,,,,,1.0,,,,
1774230886.8264527,0.003135362872853875,13657.10646217128,0.0,0.00390625,333.4638671875,0.0,,105.380877452,0.0458984375,1333248.0,0.0458984375,-1093.19189453125,0.03719152882695198,0.0,0.0,1333248.0,0.0,17.4560546875,0.0,1092.0723876953125
1774230895.6507444,0.0028274429496377707,43968.348682276934,0.0,0.0,690.5791015625,0.0,,114.176250633,0.0,1587200.0,0.0,-2382.66162109375,-0.005819892045110464,0.0,0.0,1587200.0,0.0,5.009765625,0.0,2304.190673828125
1774230904.446037,0.005315784364938736,43888.78139008542,0.0,0.0029296875,433.90234375,0.0,,122.977349396,0.9462890625,1841152.0,0.9462890625,-1505.577392578125,-0.03912585601210594,0.0,0.0,1841152.0,0.0,18.3359375,0.0,1458.339599609375
1774230913.247131,0.008816170506179333,44016.29607990567,0.0,0.0009765625,565.4619140625,0.0,,131.762195354,0.0390625,2095104.0,0.0390625,-2014.7142333984375,-0.059513431042432785,0.0,0.0,2095104.0,0.0,3.841796875,0.0,1943.96533203125
1774230950.329712,0.014152513816952705,44077.9384384805,0.0,0.0009765625,650.125,0.0,"{'path': 'media/html/render_2349056_fb5da62dbf916cf1bb45.html', 'size': 3911121.0, '_type': 'html-file', 'sha256': 'fb5da62dbf916cf1bb453ccb84c73da505482398de2ee8e4c8dee486aeed300d'}",160.059318181,0.7412109375,2349056.0,0.7412109375,-2327.3154296875,-0.06717769056558609,0.0,0.0,2349056.0,0.0,27.2041015625,0.0,2267.47265625
1774230950.5839264,0.01294604130089283,44056.96665119171,0.0,0.0,594.431640625,0.0,,169.110894965,0.0,2603008.0,0.0,-2112.329345703125,-0.06532405316829681,0.0,0.0,2603008.0,0.0,26.2041015625,0.0,2009.089599609375
1774230959.3806553,0.012495258823037148,44043.22722130009,0.0,0.0,577.98046875,0.0,,177.853461396,0.0,2856960.0,0.0,-2017.7769775390625,-0.06486064940690994,0.0,0.0,2856960.0,0.0,12.5498046875,0.0,1975.202392578125
1774230968.1233523,0.009119879454374313,44229.83784489475,0.0,0.0009765625,639.6533203125,0.0,,186.637101349,0.0048828125,3110912.0,0.0048828125,-2245.048828125,-0.02335546351969242,0.0,0.0,3110912.0,0.0,5.78125,0.0,2198.100830078125
1774230976.9069538,0.010713990777730942,44095.6075615046,0.0,0.0,824.9052734375,0.0,,195.41237939,0.0,3364864.0,0.0,-2966.98583984375,-0.016800224781036377,0.0,0.0,3364864.0,0.0,3.9404296875,0.0,2902.010009765625
1774231013.872895,0.01053401455283165,43914.133577227476,0.0,0.0,690.78515625,0.0,"{'size': 3923329.0, '_type': 'html-file', 'sha256': 'f94fd6597d4224717c46e75a28b278881bfb8b31ffa459608dd7185915890a0e', 'path': 'media/html/render_3618816_f94fd6597d4224717c46.html'}",223.602490588,0.0,3618816.0,0.0,-2472.39697265625,0.007292055990546942,0.0,0.0,3618816.0,0.0,1.296875,0.0,2375.380859375
1774231014.0445507,0.009188143536448479,43852.040083036096,0.0,0.0,793.7578125,0.0,,232.524315557,0.0,3872768.0,0.0,-2944.4873046875,0.058062922209501266,0.0,0.0,3872768.0,0.0,6.0146484375,0.0,2776.300048828125
1774231022.7943134,0.009364807978272438,44109.85827838056,0.0,0.0009765625,543.9296875,0.0,,241.313399493,0.0048828125,4126720.0,0.0048828125,-1957.97900390625,0.05885939672589302,0.0,0.0,4126720.0,0.0,6.8642578125,0.0,1844.81103515625
1774231031.5833921,0.00885080173611641,44049.886367830186,0.0,0.0009765625,804.9140625,0.0,,250.036697453,0.90234375,4380672.0,0.90234375,-2982.21533203125,0.047873605042696,0.0,0.0,4380672.0,0.0,10.8125,0.0,2730.49658203125
1774231040.3066063,0.009400196373462677,44287.06923435167,0.0,0.0,705.4111328125,0.0,,258.788100081,0.0,4634624.0,0.0,-2589.5009765625,0.03341935947537422,0.0,0.0,4634624.0,0.0,6.203125,0.0,2466.532470703125
1774231077.7414303,0.00961809791624546,44297.01121020351,0.0,0.0,757.6962890625,0.0,"{'_type': 'html-file', 'sha256': '659fd7a145a219f889501cf1ea734abde73ece5e9484f738f95cca0ece9dca46', 'path': 'media/html/render_4888576_659fd7a145a219f88950.html', 'size': 3899813.0}",287.471039187,0.0,4888576.0,0.0,-2781.47119140625,0.01633921079337597,0.0,0.0,4888576.0,0.0,1.7802734375,0.0,2600.82763671875
1774231077.957665,0.008937278762459755,44255.28966038057,0.0,0.0,732.126953125,0.0,,296.494531173,0.0,5142528.0,0.0,-2698.022705078125,0.015955770388245583,0.0,0.0,5142528.0,0.0,9.6376953125,0.0,2523.9912109375
1774231086.7643895,0.009291086345911026,43959.9596900493,0.0,0.0,683.2705078125,0.0,,305.245350574,0.0,5396480.0,0.0,-2529.462890625,0.03859460726380348,0.0,0.0,5396480.0,0.0,6.6796875,0.0,2329.207275390625
1774231095.5151954,0.006992110051214695,44075.591042137705,0.0,0.0,672.9931640625,0.0,,314.025010388,0.0,5650432.0,0.0,-2509.30126953125,0.060110464692115784,0.0,0.0,5650432.0,0.0,3.5703125,0.0,2274.476318359375
1774231104.294937,0.007116039749234915,44104.320514263374,0.0,0.0,740.380859375,0.0,,322.760454881,0.0,5904384.0,0.0,-2804.73046875,0.05507094785571098,0.0,0.0,5904384.0,0.0,6.607421875,0.0,2545.740966796875
