eval/episode_reward_dist,training/sps,training/alpha_loss,eval/episode_dist,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_ctrl,training/actor_loss,_timestamp,eval/episode_success_hard,render,eval/episode_reward_survive,eval/episode_success,eval/episode_reward_near,eval/episode_success_easy,training/log_alpha,training/critic_loss,step,training/entropy
,,,,0.0,,,43.150785456,,,1773773316.138788,,"{'size': 4192173.0, '_type': 'html-file', 'sha256': '6ade70e363cb925fb890041a53abe184c9fe516d86dd57eaafb7c8e870debad3', 'path': 'media/html/render_0_6ade70e363cb925fb890.html'}",,,,,,,,
,,,,1.0,,,96.22123364,,,1773773369.209428,,"{'sha256': '2d1c16d138d8ad5b292ae18552875c53f09915a1808d1ce35c08c1ebeea854bf', 'path': 'media/html/render_1_2d1c16d138d8ad5b292a.html', 'size': 4146461.0, '_type': 'html-file'}",,,,,,,,
0.0,12255.475444904381,2.222428321838379,2779.04150390625,1333248.0,0.0029296875,0.4248046875,105.430887619,-1493.0794677734375,-47.50544738769531,1773773369.3824713,0.0,,836.16796875,0.4248046875,0.0,45.1328125,0.0,2.0775768756866455,1333248.0,0.0
0.0,42387.680681391656,0.03160692751407623,3084.751220703125,1587200.0,0.00390625,0.34375,114.461165228,-1823.03076171875,-28.948699951171875,1773773378.4186025,0.0,,893.9365234375,0.34375,0.0,22.1650390625,0.0,0.5484988689422607,1587200.0,0.0
0.0,42451.22539243152,0.0002436130162095651,3176.22509765625,1841152.0,0.001953125,0.1318359375,123.470357345,-1762.431396484375,-13.269851684570312,1773773387.4487324,0.0,,915.10546875,0.1318359375,0.0,11.9921875,0.0,0.08436603844165802,1841152.0,0.0
0.0,42494.66306868652,7.540715887444094e-05,3215.24609375,2095104.0,0.0009765625,0.01171875,132.520933958,-1626.5220947265625,-6.087094783782959,1773773396.458016,0.0,,923.025390625,0.01171875,0.0,14.884765625,0.0,0.018881389871239662,2095104.0,0.0
0.0,42435.282053112634,7.987798198882956e-06,3080.751953125,2349056.0,0.0009765625,0.0234375,160.649529263,-1726.9886474609375,-3.0209078788757324,1773773433.637702,0.0,"{'size': 4070589.0, '_type': 'html-file', 'sha256': '7fdc7b77ca4273b5c5560e02b4256b0b9c5f3723678842489c6cbbbc6058e279', 'path': 'media/html/render_2349056_7fdc7b77ca4273b5c556.html'}",900.2646484375,0.0234375,0.0,9.5576171875,0.0,0.01572863757610321,2349056.0,0.0
0.0,42427.89538685337,-7.662149982934352e-06,3025.823974609375,2603008.0,0.0,0.0,169.884677171,-1790.311767578125,-1.9914095401763916,1773773433.8119872,0.0,,885.5087890625,0.0,0.0,9.849609375,0.0,0.02029968798160553,2603008.0,0.0
0.0,42363.84588377193,1.0254834705847315e-05,2995.685791015625,2856960.0,0.0,0.0,178.887492411,-1763.7752685546875,-1.7324119806289673,1773773442.8719792,0.0,,856.5517578125,0.0,0.0,7.6982421875,0.0,0.02675769291818142,2856960.0,0.0
0.0,42475.30430842739,2.2248086679610424e-05,2865.92431640625,3110912.0,0.0,0.0,187.946987268,-1755.9112548828125,-1.4189062118530273,1773773451.874844,0.0,,846.58203125,0.0,0.0,4.7607421875,0.0,0.02563740685582161,3110912.0,0.0
0.0,42353.5888915022,-6.678374688817712e-07,2689.43505859375,3364864.0,0.0,0.0,196.972021331,-1535.2816162109375,-1.2161802053451538,1773773460.9342544,0.0,,784.0830078125,0.0,0.0,6.033203125,0.0,0.025462744757533073,3364864.0,0.0
0.0,42289.432603909576,8.182630153896753e-06,2668.228759765625,3618816.0,0.0,0.0,225.381229624,-1543.6971435546875,-1.129319667816162,1773773498.369365,0.0,"{'size': 4112233.0, '_type': 'html-file', 'sha256': '0f308508c263153360869a1bd152763e565cc1eb56c84c5ec03a5176db15c68f', 'path': 'media/html/render_3618816_0f308508c26315336086.html'}",782.0419921875,0.0,0.0,11.23828125,0.0,0.02409493364393711,3618816.0,0.0
0.0,42353.8920323808,4.849528068007203e-06,3006.501708984375,3872768.0,0.0,0.0,234.62526609,-1910.799560546875,-1.1175624132156372,1773773498.5717824,0.0,,875.169921875,0.0,0.0,10.7841796875,0.0,0.02763143740594387,3872768.0,0.0
0.0,42211.32539197237,4.441977580427192e-06,2801.938720703125,4126720.0,0.0009765625,0.3603515625,243.69220577,-1707.824462890625,-1.0182485580444336,1773773507.6126812,0.0,,809.6767578125,0.3603515625,0.0,14.572265625,0.0,0.022724224254488945,4126720.0,0.0
0.0,42297.459774617266,6.761782060493715e-06,2914.85595703125,4380672.0,0.0,0.0,252.711932728,-1836.322021484375,-0.9395802617073059,1773773516.67904,0.0,,883.5517578125,0.0,0.0,23.04296875,0.0,0.01856786012649536,4380672.0,0.0
0.0,42304.33063114065,1.577811963215936e-05,2913.792724609375,4634624.0,0.001953125,0.1689453125,261.768962942,-1731.5562744140625,-0.7776758670806885,1773773525.6993759,0.0,,859.51171875,0.1689453125,0.0,17.046875,0.0,0.013980519026517868,4634624.0,0.0
