training/log_alpha,eval/episode_reward_dist,_runtime,render,training/sps,eval/episode_reward,eval/episode_reward_ctrl,step,eval/episode_dist,eval/episode_success,eval/episode_reward_survive,eval/episode_reward_near,eval/episode_success_hard,eval/episode_success_any,_timestamp,_step,eval/episode_success_easy,training/actor_loss,training/entropy,training/critic_loss,training/alpha_loss
,,43.057234984,"{'size': 4108361.0, '_type': 'html-file', 'sha256': 'bfb8411f77c50513639562182583d4dad4ee86c0e5a57e3746c54667159d386d', 'path': 'media/html/render_0_bfb8411f77c505136395.html'}",,,,,,,,,,,1773778688.1105666,0.0,,,,,
,,95.789649664,"{'path': 'media/html/render_1_875194230f4b60cc8572.html', 'size': 4108445.0, '_type': 'html-file', 'sha256': '875194230f4b60cc8572be0e9aab94f32eb685c84a079e4bd6b0f1cec37c7805'}",,,,,,,,,,,1773778740.843044,1.0,,,,,
0.0,0.0,105.013374003,,12169.915430669023,0.970703125,-1261.584716796875,1333248.0,2526.846435546875,0.970703125,751.4970703125,0.0,0.0,0.0029296875,1773778741.0319898,1333248.0,34.4892578125,-49.97547149658203,0.0,0.34174519777297974,2.2795286178588867
0.0,0.0,114.051857337,,42369.94111529389,0.525390625,-1835.245361328125,1587200.0,2838.5537109375,0.525390625,837.341796875,0.0,0.0,0.001953125,1773778750.0661752,1587200.0,15.4951171875,-32.92821502685547,0.0,0.139452263712883,0.038511645048856735
0.0,0.0,123.065681171,,42364.12052746906,0.1044921875,-2051.819091796875,1841152.0,3265.9453125,0.1044921875,947.07421875,0.0,0.0,0.001953125,1773778759.1044538,1841152.0,12.7685546875,-15.202383995056152,0.0,0.03664465993642807,0.0002548511838540435
0.0,0.0,132.117917626,,42435.3293901594,0.7060546875,-1808.542724609375,2095104.0,3085.00146484375,0.7060546875,877.529296875,0.0,0.0,0.0029296875,1773778768.1184962,2095104.0,11.9169921875,-6.984711170196533,0.0,0.0090536680072546,9.779068932402879e-05
0.0,0.0,160.31398913,"{'path': 'media/html/render_2349056_e867dac0a2d0a5860772.html', 'size': 4236753.0, '_type': 'html-file', 'sha256': 'e867dac0a2d0a586077289229c727a7c2a6df920e38448f054d682cbbd250b9f'}",42386.20814199751,0.861328125,-1836.144775390625,2349056.0,2978.796630859375,0.861328125,882.0556640625,0.0,0.0,0.001953125,1773778805.3674204,2349056.0,15.3251953125,-3.317423105239868,0.0,0.005491805262863636,1.5453282685484737e-05
0.0,0.0,169.541379677,,42424.96847688838,0.0,-1679.0692138671875,2603008.0,2597.482666015625,0.0,773.1318359375,0.0,0.0,0.0,1773778805.528759,2603008.0,25.1591796875,-1.8695640563964844,0.0,0.007128026336431503,-3.6212136365065817e-06
0.0,0.0,178.535282241,,42293.795110740335,0.04296875,-2061.02734375,2856960.0,2938.54931640625,0.04296875,886.7353515625,0.0,0.0,0.0009765625,1773778814.5938096,2856960.0,26.6484375,-1.40434992313385,0.0,0.009501033462584019,4.719118805951439e-06
0.0,0.0,187.590757359,,42514.04627063887,0.2158203125,-1605.21875,3110912.0,2613.81005859375,0.2158203125,798.1435546875,0.0,0.0,0.0009765625,1773778823.587932,3110912.0,23.19140625,-1.20901620388031,0.0,0.00988676492124796,-1.7568102066434221e-06
0.0,0.0,196.609107627,,42358.380709284385,0.296875,-1736.6781005859375,3364864.0,2790.82861328125,0.296875,845.1103515625,0.0,0.0,0.0009765625,1773778832.6433067,3364864.0,16.63671875,-1.0102362632751465,0.0,0.010057874023914337,1.4626648408011533e-05
0.0,0.0,225.065560332,"{'path': 'media/html/render_3618816_d0640c784183729a2bf5.html', 'size': 4213365.0, '_type': 'html-file', 'sha256': 'd0640c784183729a2bf586009a09e631d22b6d724238ca66fbbc1b349e367673'}",42314.508303147326,0.0,-1684.013916015625,3618816.0,2880.98046875,0.0,861.7958984375,0.0,0.0,0.0,1773778870.1189373,3618816.0,12.7216796875,-0.8499563336372375,0.0,0.010077076032757759,-6.955590379220666e-06
0.0,0.0,234.315879396,,42389.207305042524,0.0,-1821.951904296875,3872768.0,2980.18994140625,0.0,876.9521484375,0.0,0.0,0.0,1773778870.3355334,3872768.0,6.98828125,-0.6294870376586914,0.0,0.008242118172347546,1.665744639467448e-05
0.0,0.0,243.374045993,,42232.94246171763,0.0,-1759.841064453125,4126720.0,3000.53173828125,0.0,887.8818359375,0.0,0.0,0.0,1773778879.3686798,4126720.0,3.056640625,-0.6198388934135437,0.0,0.00871366262435913,7.471424851246411e-06
0.0,0.0,252.384814118,,42328.45004502668,0.0,-1665.0595703125,4380672.0,2679.027587890625,0.0,795.0791015625,0.0,0.0,0.0,1773778888.4267247,4380672.0,10.9130859375,-0.6236844658851624,0.0,0.010087805800139904,-7.950847248139326e-06
0.0,0.0,261.434228094,,42331.26944136058,0.0,-1951.877685546875,4634624.0,3126.09375,0.0,910.6025390625,0.0,0.0,0.0,1773778897.4375525,4634624.0,3.130859375,-0.637008547782898,0.0,0.009563135914504528,6.518717327708146e-06
0.0,0.0,289.735974551,"{'size': 4044329.0, '_type': 'html-file', 'sha256': '07ea0820b7c64879ef6b917702ca82cc24a11ab4daec0703e55634cd1ded288b', 'path': 'media/html/render_4888576_07ea0820b7c64879ef6b.html'}",42373.36276296033,0.0,-1967.7303466796875,4888576.0,3231.3759765625,0.0,933.4111328125,0.0,0.0,0.0,1773778934.7894034,4888576.0,7.044921875,-0.49316322803497314,0.0,0.007580594625324011,1.0227032362308819e-05
0.0,0.0,299.006625311,,42296.853432122574,0.0,-1839.0552978515625,5142528.0,3086.653076171875,0.0,896.0126953125,0.0,0.0,0.0,1773778934.9660306,5142528.0,5.1767578125,-0.4249291718006134,0.0,0.006318250671029091,6.4816886151675135e-06
0.0,0.0,308.006213051,,42090.661951709495,0.0,-1918.896484375,5396480.0,3155.888916015625,0.0,903.966796875,0.0,0.0,0.0,1773778944.0594566,5396480.0,6.3876953125,-0.4160774052143097,0.0,0.007048935629427433,-1.3247771448732237e-06
0.0,0.0,317.026289964,,42427.70610563542,0.1494140625,-1888.289794921875,5650432.0,3204.0537109375,0.1494140625,944.2177734375,0.0,0.0,0.0009765625,1773778953.0589855,5650432.0,10.3115234375,-0.4779459536075592,0.0,0.008481570519506931,-1.0979129427823864e-07
0.0,0.0,326.017196938,,42574.21643867461,0.0908203125,-1960.951416015625,5904384.0,3202.8818359375,0.0908203125,936.3515625,0.0,0.0,0.0009765625,1773778962.079182,5904384.0,6.89453125,-0.3995240032672882,0.0,0.006816594395786524,5.597493327513803e-06
0.0,0.0,354.434409857,"{'path': 'media/html/render_6158336_dccadea5f5aca4e99426.html', 'size': 4114333.0, '_type': 'html-file', 'sha256': 'dccadea5f5aca4e9942652959a709f49c21b4f0c1b5e17ecf2ed3fc5538235ce'}",42476.9067011942,0.0,-1902.22509765625,6158336.0,3229.6591796875,0.0,932.146484375,0.0,0.0,0.0,1773778999.4878316,6158336.0,3.19140625,-0.3350368142127991,0.0,0.005745404399931431,3.8486930975523137e-07
0.0,0.0,363.665482214,,42575.0349698242,0.1591796875,-1853.8876953125,6412288.0,3197.1572265625,0.1591796875,925.357421875,0.0,0.0,0.001953125,1773778999.6806355,6412288.0,8.8876953125,-0.37746238708496094,0.0,0.006685779895633459,1.3657063391292468e-06
0.0,0.0,372.692367063,,42202.66703456333,0.0,-1888.0460205078125,6666240.0,3153.06787109375,0.0,921.884765625,0.0,0.0,0.0,1773779008.718363,6666240.0,2.2041015625,-0.3950132727622986,0.0,0.007499958388507366,1.3516631724996842e-06
0.0,0.0,381.687058801,,42520.546347752424,0.0,-1865.1624755859375,6920192.0,3221.517578125,0.0,935.001953125,0.0,0.0,0.0,1773779017.7453039,6920192.0,12.6513671875,-0.35355907678604126,0.0,0.005799340084195137,4.932821866532322e-06
0.0,0.0,390.715412691,,42442.691586205074,0.0,-1956.51953125,7174144.0,3036.97802734375,0.0,907.0791015625,0.0,0.0,0.0,1773779026.7399135,7174144.0,14.3779296875,-0.28670066595077515,0.0,0.004862966015934944,-4.9357090574631e-06
0.0,0.0,419.174207589,"{'path': 'media/html/render_7428096_e1b882b0f6e620a521ff.html', 'size': 4087689.0, '_type': 'html-file', 'sha256': 'e1b882b0f6e620a521ff16343a2955e1f14c38ef6ab201d9ee89eb304c3ccd4d'}",42510.557753891626,0.361328125,-2108.495849609375,7428096.0,3235.4443359375,0.361328125,946.7734375,0.0,0.0,0.0009765625,1773779064.2276454,7428096.0,3.9951171875,-0.1976391226053238,0.0,0.0034154565073549747,7.376585472229635e-06
0.0,0.0,428.396144405,,42433.95834918072,0.0,-2176.10400390625,7682048.0,3260.311767578125,0.0,966.103515625,0.0,0.0,0.0,1773779064.3970165,7682048.0,9.94140625,-0.22127728164196014,0.0,0.0036909969057887793,-2.6802520096680382e-06
0.0,0.0,437.377667059,,42386.75295278137,0.0,-1877.6534423828125,7936000.0,3058.45068359375,0.0,901.333984375,0.0,0.0,0.0,1773779073.448523,7936000.0,8.9697265625,-0.2679588198661804,0.0,0.004010553006082773,6.196442427608417e-06
0.0,0.0,446.410722376,,42545.74400948479,0.0,-1898.426025390625,8189952.0,3171.704345703125,0.0,934.033203125,0.0,0.0,0.0,1773779082.4305809,8189952.0,7.2998046875,-0.2840615212917328,0.0,0.004527750425040722,-2.344407448617858e-06
0.0,0.0,455.402088633,,42515.20697415001,0.0,-2100.767578125,8443904.0,3263.489990234375,0.0,951.1328125,0.0,0.0,0.0,1773779091.463592,8443904.0,9.8046875,-0.2790304720401764,0.0,0.004489487502723932,-1.088155158868176e-06
0.0,0.0,483.501932945,"{'path': 'media/html/render_8697856_f7ec77ae9fd9b6aaf83a.html', 'size': 4127557.0, '_type': 'html-file', 'sha256': 'f7ec77ae9fd9b6aaf83a7e04c3a3b9c1d1b3299cc67f810c1b7cc0c39c4a28eb'}",42492.07274451229,0.0,-2118.33349609375,8697856.0,3237.1875,0.0,947.9716796875,0.0,0.0,0.0,1773779128.5553725,8697856.0,5.4375,-0.30634015798568726,0.0,0.005214521661400795,2.746804739217623e-06
0.0,0.0,492.716915519,,42457.48626249741,0.0,-1971.0328369140625,8951808.0,3051.142578125,0.0,909.7353515625,0.0,0.0,0.0,1773779128.7362604,8951808.0,6.7978515625,-0.2629173696041107,0.0,0.004709157627075911,-1.3817520994052757e-07
0.0,0.0,501.76688023,,42233.101542010016,0.30078125,-2310.53955078125,9205760.0,3204.4580078125,0.30078125,945.740234375,0.0,0.0,0.0009765625,1773779137.7697792,9205760.0,12.3251953125,-0.2515905499458313,0.0,0.004511304199695587,-1.0353696779930033e-06
0.0,0.0,510.75993476,,42382.54494835697,0.0,-2104.110595703125,9459712.0,3063.41796875,0.0,905.3427734375,0.0,0.0,0.0,1773779146.8198295,9459712.0,7.783203125,-0.27980729937553406,0.0,0.004742573946714401,7.528028618253302e-06
0.0,0.0,519.812906163,,42458.6709591776,0.0,-1981.2586669921875,9713664.0,3097.97900390625,0.0,912.6904296875,0.0,0.0,0.0,1773779155.8128197,9713664.0,7.5888671875,-0.2571776807308197,0.0,0.005060896277427673,-5.0115763770008925e-06
0.0,0.0,548.440123073,"{'path': 'media/html/render_9967616_6d94004053318b47178f.html', 'size': 4129977.0, '_type': 'html-file', 'sha256': '6d94004053318b47178fb78f52d3d26e64bc0cf16856a32163dde4e333e9939e'}",42360.28089364027,0.0,-1935.010009765625,9967616.0,2986.64404296875,0.0,882.7373046875,0.0,0.0,0.0,1773779193.493537,9967616.0,9.0546875,-0.3640643358230591,0.0,0.0066171144135296345,-5.5651958064117935e-06
0.0,0.0,557.717978084,,42373.86172918068,0.091796875,-1933.4654541015625,10221568.0,2972.67822265625,0.091796875,886.703125,0.0,0.0,0.0009765625,1773779193.6807823,10221568.0,14.005859375,-0.3725627064704895,0.0,0.007466585375368595,3.5066834698227467e-06
0.0,0.0,566.746611139,,42134.572852273915,0.0,-1955.22705078125,10475520.0,2975.933349609375,0.0,886.8896484375,0.0,0.0,0.0,1773779202.770179,10475520.0,17.42578125,-0.3321246802806854,0.0,0.006564550567418337,8.411601015723136e-07
0.0,0.0,575.84352591,,42203.339238765875,0.65625,-2153.56298828125,10729472.0,2993.32470703125,0.65625,913.677734375,0.0,0.0,0.0009765625,1773779211.7992544,10729472.0,27.9072265625,-0.28569939732551575,0.0,0.005069801118224859,7.4088438850594684e-06
0.0,0.0,584.877263139,,42271.93117825115,0.4169921875,-2118.16943359375,10983424.0,3082.203857421875,0.4169921875,915.314453125,0.0,0.0,0.0009765625,1773779220.896207,10983424.0,15.3154296875,-0.28854531049728394,0.0,0.005391761194914579,-6.962164889046107e-07
0.0,0.0,613.292954107,"{'path': 'media/html/render_11237376_b77b7944389651cb193d.html', 'size': 4125309.0, '_type': 'html-file', 'sha256': 'b77b7944389651cb193d0821f67c9a2c93a5132022518b94b68f354112a88861'}",42196.183537286146,0.0,-2117.735595703125,11237376.0,2972.695556640625,0.0,893.8740234375,0.0,0.0,0.0,1773779258.3464005,11237376.0,12.587890625,-0.3095753788948059,0.0,0.0058339666575193405,3.4891365885414416e-06
0.0,0.0,622.545226873,,42211.447507404875,0.0,-2257.603271484375,11491328.0,3187.076171875,0.0,956.5068359375,0.0,0.0,0.0,1773779258.5341816,11491328.0,20.0068359375,-0.24613749980926514,0.0,0.0038358434103429317,2.407141664662049e-06
0.0,0.0,631.608812386,,41993.15192938902,0.0263671875,-2368.251953125,11745280.0,3265.801025390625,0.0263671875,979.2431640625,0.0,0.0,0.001953125,1773779267.5981066,11745280.0,13.5419921875,-0.21974292397499084,0.0,0.00333774252794683,6.445729923143517e-06
0.0,0.0,640.648804111,,42279.28712790801,0.119140625,-2004.8294677734375,11999232.0,2924.68798828125,0.119140625,877.5205078125,0.0,0.0,0.0009765625,1773779276.6617153,11999232.0,16.099609375,-0.20764155685901642,0.0,0.0036944239400327206,-2.14633018913446e-06
0.0,0.0,649.717135916,,42137.24812621807,0.20703125,-2110.06591796875,12253184.0,3144.7265625,0.20703125,928.3828125,0.0,0.0,0.0009765625,1773779285.701804,12253184.0,17.322265625,-0.20126384496688843,0.0,0.00338366674259305,6.133446731837466e-06
0.0,0.0,678.471099365,"{'path': 'media/html/render_12507136_dbb9194f8f13e4e264fa.html', 'size': 4122333.0, '_type': 'html-file', 'sha256': 'dbb9194f8f13e4e264faa1b850e0c44cebe9a36e1b55ed158b2060bf244dd3f0'}",42226.4479855247,0.0869140625,-1860.8406982421875,12507136.0,2906.059814453125,0.0869140625,868.05859375,0.0,0.0,0.0009765625,1773779323.5243628,12507136.0,15.396484375,-0.2114546149969101,0.0,0.0030962987802922726,-2.773624373730854e-06
0.0,0.0,687.798421978,,42126.09089664364,0.0,-2047.0731201171875,12761088.0,3107.04296875,0.0,919.888671875,0.0,0.0,0.0,1773779323.751369,12761088.0,9.373046875,-0.19836772978305817,0.0,0.0028266683220863342,4.520254606177332e-06
0.0,0.0,696.835768572,,42042.85104486848,0.0,-2073.23095703125,13015040.0,3062.127685546875,0.0,906.3515625,0.0,0.0,0.0,1773779332.8510082,13015040.0,9.134765625,-0.22876965999603271,0.0,0.0037688976153731346,-3.5710779684450245e-06
0.0,0.0,705.898386155,,42147.59071273956,0.0,-1836.08447265625,13268992.0,2918.6982421875,0.0,846.978515625,0.0,0.0,0.0,1773779341.8879294,13268992.0,8.2197265625,-0.2230207473039627,0.0,0.004110414534807205,2.610643150546821e-06
0.0,0.0,714.927353779,,42257.09283967795,0.513671875,-1752.2225341796875,13522944.0,2745.551025390625,0.513671875,804.9560546875,0.0,0.0,0.0009765625,1773779350.9513063,13522944.0,6.3046875,-0.2647123634815216,0.0,0.00464010052382946,-1.0741722462626058e-06
