training/critic_loss,eval/episode_reward_near,_timestamp,training/actor_loss,training/sps,eval/episode_dist,training/alpha_loss,_runtime,eval/episode_reward_dist,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_success,step,training/entropy,eval/episode_success_easy,training/log_alpha,eval/episode_reward,eval/episode_success_any,_step,eval/episode_success_hard,render
,,1773775997.7065663,,,,,43.279223956,,,,,,,,,,,0.0,,"{'sha256': '1b3d42a3a831669ff3d409ace3b9d48b99813d703f1921a6be8cc5975e081a72', 'path': 'media/html/render_0_1b3d42a3a831669ff3d4.html', 'size': 4130693.0, '_type': 'html-file'}"
,,1773776050.168476,,,,,95.741069161,,,,,,,,,,,1.0,,"{'path': 'media/html/render_1_67e263fa068737ea6c3d.html', 'size': 4107901.0, '_type': 'html-file', 'sha256': '67e263fa068737ea6c3d2b63e67ab13e8083647631ba47a569c06eecea672ad4'}"
1.187634825706482,0.0,1773776050.3518136,-46.558528900146484,12338.354142905931,1129.265380859375,2.227656841278076,105.002759863,0.0,-582.6524658203125,328.45703125,0.4267578125,1333248.0,0.0,8.82421875,0.0,0.4267578125,0.0068359375,1333248.0,0.0,
0.35847121477127075,0.0,1773776059.4295413,-29.045059204101562,42057.16065601552,2451.23046875,0.030249562114477158,114.093388748,0.0,-1524.556396484375,715.8466796875,0.09375,1587200.0,0.0,9.625,0.0,0.09375,0.0009765625,1587200.0,0.0,
0.07248581200838089,0.0,1773776068.520016,-13.091379165649414,41990.44360492178,3056.468505859375,0.00045129895443096757,123.157084127,0.0,-1774.3031005859375,898.9580078125,0.748046875,1841152.0,0.0,26.21875,0.0,0.748046875,0.0048828125,1841152.0,0.0,
0.012905441224575043,0.0,1773776077.5838513,-5.846340179443359,42073.63706515147,2719.286865234375,7.641720003448427e-05,132.262087771,0.0,-1601.42626953125,801.935546875,0.3525390625,2095104.0,0.0,10.7587890625,0.0,0.3525390625,0.001953125,2095104.0,0.0,
0.004182907287031412,0.0,1773776114.948143,-2.720627546310425,42015.33658273975,2897.944580078125,3.7696616345783696e-05,160.520749654,0.0,-1754.3023681640625,848.7607421875,1.1513671875,2349056.0,0.0,13.919921875,0.0,1.1513671875,0.0048828125,2349056.0,0.0,"{'path': 'media/html/render_2349056_7c7c3b75323bcb91f53f.html', 'size': 4040885.0, '_type': 'html-file', 'sha256': '7c7c3b75323bcb91f53f29388b64fc8c55bb4ffefe6d37a6baec4335d9b1d49d'}"
0.005229774862527847,0.0,1773776115.119595,-1.455820918083191,41968.635790981396,3182.951171875,7.802771506248973e-06,169.791552514,0.0,-1935.7022705078125,922.310546875,0.0,2603008.0,0.0,6.044921875,0.0,0.0,0.0,2603008.0,0.0,
0.007841582410037518,0.0,1773776124.2182546,-1.0052893161773682,42045.32879882217,2796.2353515625,1.0031302736024372e-05,178.842775319,0.0,-1728.0302734375,814.595703125,0.1962890625,2856960.0,0.0,13.453125,0.0,0.1962890625,0.0029296875,2856960.0,0.0,
0.011319109238684177,0.0,1773776133.2694535,-0.8008421063423157,42058.60377797456,2968.9609375,4.072159299539635e-06,187.960897171,0.0,-1872.430908203125,885.1328125,0.1806640625,3110912.0,0.0,22.7080078125,0.0,0.1806640625,0.0029296875,3110912.0,0.0,
0.011342937126755714,0.0,1773776142.3875458,-0.7433239817619324,41915.213930834965,2721.71484375,1.3763951756118331e-06,197.046755869,0.0,-1625.530029296875,805.7705078125,0.0,3364864.0,0.0,10.0126953125,0.0,0.0,0.0,3364864.0,0.0,
0.0110623212531209,0.0,1773776179.8624203,-0.7170172929763794,41818.97718803673,2746.16015625,-2.0123441117902985e-06,225.434978428,0.0,-1704.016357421875,810.91796875,0.0,3618816.0,0.0,5.341796875,0.0,0.0,0.0,3618816.0,0.0,"{'sha256': 'e8759ee7c3e8ee0edbd5c29755546b76943ef7bad7e7346e66072d774543d980', 'path': 'media/html/render_3618816_e8759ee7c3e8ee0edbd5.html', 'size': 4100837.0, '_type': 'html-file'}"
0.009544748812913895,0.0,1773776180.0532103,-0.6068804264068604,41929.223855798526,3127.03564453125,1.5365516219389974e-06,234.72550416,0.0,-1926.2059326171875,905.767578125,0.0,3872768.0,0.0,6.5361328125,0.0,0.0,0.0,3872768.0,0.0,
0.010524513199925423,0.0,1773776189.1520019,-0.5751996040344238,41788.92490930154,2905.6083984375,-8.497201633872464e-06,243.848459634,0.0,-1742.637939453125,849.7138671875,0.7138671875,4126720.0,0.0,9.765625,0.0,0.7138671875,0.0029296875,4126720.0,0.0,
0.010006742551922798,0.0,1773776198.2751207,-0.532209038734436,41854.667108651796,3000.648681640625,1.3656957889907062e-05,252.927467848,0.0,-1849.4539794921875,873.03515625,0.0,4380672.0,0.0,11.7783203125,0.0,0.0,0.0,4380672.0,0.0,
0.008654429577291012,0.0,1773776207.3540425,-0.4595831036567688,41850.16286852998,3102.37939453125,-9.596065865480341e-06,262.037481111,0.0,-1856.890869140625,906.9580078125,0.0,4634624.0,0.0,21.22265625,0.0,0.0,0.0,4634624.0,0.0,
0.0075748092494904995,0.0,1773776245.2236052,-0.43477943539619446,41934.64488066354,3008.3564453125,1.0662190561561147e-06,290.79617001,0.0,-1915.7806396484375,898.443359375,0.5498046875,4888576.0,0.0,31.619140625,0.0,0.5498046875,0.001953125,4888576.0,0.0,"{'path': 'media/html/render_4888576_f8e5cf25141bb9e28c8e.html', 'size': 4165273.0, '_type': 'html-file', 'sha256': 'f8e5cf25141bb9e28c8e91429ced425481fb0cd593c75f0d0d15ca08b4c67cbd'}"
0.00874610710889101,0.0,1773776245.3977566,-0.4411151111125946,41845.232174449855,2912.321044921875,6.0803317865065765e-06,300.111745759,0.0,-1785.3662109375,845.4052734375,0.544921875,5142528.0,0.0,9.4658203125,0.0,0.544921875,0.00390625,5142528.0,0.0,
0.008296225219964981,0.0,1773776254.5379434,-0.3477548062801361,41757.30817881576,2823.048095703125,1.1015410564141348e-05,309.169425683,0.0,-1746.102783203125,820.7041015625,0.0,5396480.0,0.0,13.7529296875,0.0,0.0,0.0,5396480.0,0.0,
0.00680854357779026,0.0,1773776263.5960584,-0.29682058095932007,42007.23057892222,2992.412109375,1.4235660273698159e-05,318.250991424,0.0,-1922.253173828125,893.8515625,0.0,5650432.0,0.0,13.1435546875,0.0,0.0,0.0,5650432.0,0.0,
0.006228828337043524,0.0,1773776272.6777174,-0.26665931940078735,42122.2043360069,2980.294677734375,2.2168144369061338e-06,327.306769955,0.0,-1861.67919921875,895.8564453125,0.349609375,5904384.0,0.0,23.5576171875,0.0,0.349609375,0.001953125,5904384.0,0.0,
0.005325359757989645,0.0,1773776310.3093488,-0.2518635392189026,42026.790069503186,3057.44140625,9.611353561922442e-07,355.882040963,0.0,-1905.590576171875,888.9619140625,0.3388671875,6158336.0,0.0,12.8583984375,0.0,0.3388671875,0.0009765625,6158336.0,0.0,"{'path': 'media/html/render_6158336_80ef344311daf6314a35.html', 'size': 4160141.0, '_type': 'html-file', 'sha256': '80ef344311daf6314a3569d5609d2d750f7192e6b1319d515ec17e6cbca592b2'}"
0.006149834953248501,0.0,1773776310.4817436,-0.29985371232032776,42117.269287729694,3156.08447265625,-6.891556836308155e-07,365.139809634,0.0,-2037.024658203125,912.8671875,0.0,6412288.0,0.0,15.5830078125,0.0,0.0,0.0,6412288.0,0.0,
0.003842039266601205,0.0,1773776319.5664115,-0.22894154489040375,41864.361337357135,3169.205078125,8.088883078016806e-06,374.236309737,0.0,-1899.9364013671875,922.8212890625,0.0048828125,6666240.0,0.0,13.3984375,0.0,0.0048828125,0.0009765625,6666240.0,0.0,
0.003683410817757249,0.0,1773776328.6629949,-0.19062553346157074,42011.97416675413,3062.912109375,1.0529588507779408e-06,383.294021611,0.0,-1939.4788818359375,899.6328125,0.4990234375,6920192.0,0.0,12.95703125,0.0,0.4990234375,0.001953125,6920192.0,0.0,
0.004990814253687859,0.0,1773776337.7202473,-0.23034490644931793,41987.81838667805,3145.840087890625,-7.799885111126059e-07,392.389970399,0.0,-1962.608154296875,930.68359375,0.4599609375,7174144.0,0.0,19.1875,0.0,0.4599609375,0.0009765625,7174144.0,0.0,
0.005208959802985191,0.0,1773776375.371292,-0.29421529173851013,42016.24978124095,2831.2763671875,2.005922254966208e-07,420.943959427,0.0,-1797.254150390625,828.697265625,0.3408203125,7428096.0,0.0,14.7734375,0.0,0.3408203125,0.001953125,7428096.0,0.0,"{'path': 'media/html/render_7428096_844e739adc805fc25a77.html', 'size': 4151865.0, '_type': 'html-file', 'sha256': '844e739adc805fc25a77e9848197538ddcc9a724ebb1f01073325e1247f2fd9d'}"
0.005959728732705116,0.0,1773776375.545839,-0.3060961961746216,42003.19365699468,3038.59765625,-2.3740790311421733e-06,430.23177142,0.0,-1839.561279296875,907.0439453125,0.0,7682048.0,0.0,18.4033203125,0.0,0.0,0.0,7682048.0,0.0,
0.005297454074025154,0.0,1773776384.6578739,-0.2825816869735718,41963.37129569455,3202.02197265625,-4.6376957385518836e-08,439.279728138,0.0,-2067.689453125,941.287109375,0.45703125,7936000.0,0.0,20.037109375,0.0,0.45703125,0.001953125,7936000.0,0.0,
0.004126265645027161,0.0,1773776393.7064052,-0.2160123735666275,42068.34453460838,3012.875,3.901613581547281e-06,448.381246463,0.0,-1917.975830078125,878.0283203125,0.0,8189952.0,0.0,13.98046875,0.0,0.0,0.0,8189952.0,0.0,
0.003155724611133337,0.0,1773776402.8079088,-0.18576064705848694,42003.85620892712,3053.0771484375,-9.363122330796614e-07,457.43810349,0.0,-1988.405517578125,900.4921875,0.0,8443904.0,0.0,19.0,0.0,0.0,0.0,8443904.0,0.0,
0.0020773832220584154,0.0,1773776440.099066,-0.12444648146629333,42033.737481375596,3122.28369140625,6.167348601593403e-06,485.671653613,0.0,-1988.589111328125,917.615234375,0.744140625,8697856.0,0.0,14.3359375,0.0,0.744140625,0.001953125,8697856.0,0.0,"{'path': 'media/html/render_8697856_1a218cf38de1f4d21eb2.html', 'size': 4050213.0, '_type': 'html-file', 'sha256': '1a218cf38de1f4d21eb271f0b29bb052d3a18e564f54653893ba7f60f9365156'}"
0.002284650458022952,0.0,1773776440.2712295,-0.1674240529537201,41998.35766103058,3304.64794921875,-3.5818770811602008e-06,494.926378773,0.0,-2114.341796875,965.751953125,0.595703125,8951808.0,0.0,12.060546875,0.0,0.595703125,0.001953125,8951808.0,0.0,
0.0020311635453253984,0.0,1773776449.352999,-0.1366308629512787,41843.39435369935,3227.272705078125,2.574986865511164e-06,504.029264529,0.0,-2027.5379638671875,941.166015625,0.0,9205760.0,0.0,9.61328125,0.0,0.0,0.0,9205760.0,0.0,
