render,eval/episode_success_easy,eval/episode_dist,step,training/critic_loss,eval/episode_success,training/actor_loss,training/log_alpha,eval/episode_reward_near,eval/episode_reward_dist,training/entropy,eval/episode_reward,training/alpha_loss,eval/episode_success_hard,_step,eval/episode_reward_survive,_runtime,training/sps,_timestamp,eval/episode_success_any,eval/episode_reward_ctrl
"{'size': 4095621.0, '_type': 'html-file', 'sha256': 'cad42096e16bb71a413a2618e6751b627dec1e945b4f1736d8abf3d628ae0c05', 'path': 'media/html/render_0_cad42096e16bb71a413a.html'}",,,,,,,,,,,,,,0.0,,43.082171594,,1773786739.1446846,,
"{'_type': 'html-file', 'sha256': 'f0639e880718b90223731d40941964052dfc32fa67d48c0376986c0ceb4ce138', 'path': 'media/html/render_1_f0639e880718b9022373.html', 'size': 4147445.0}",,,,,,,,,,,,,,1.0,,95.882822862,,1773786791.945313,,
,47.828125,2458.641845703125,1333248.0,2.1292574405670166,2.779296875,-37.197052001953125,0.0,0.0,0.0,0.0,2.779296875,2.198336362838745,0.0,1333248.0,750.6123046875,105.145744374,12250.413457569699,1773786792.1233492,0.01171875,-1346.767333984375
,27.0439453125,2958.79541015625,1587200.0,0.42537030577659607,1.3828125,-20.87565803527832,0.0,0.0,0.0,0.0,1.3828125,0.02801741473376751,0.0,1587200.0,872.025390625,114.238580375,42043.2874933964,1773786801.2075617,0.0068359375,-1823.0791015625
,20.509765625,3197.021484375,1841152.0,0.060944441705942154,0.2734375,-9.258347511291504,0.0,0.0,0.0,0.0,0.2734375,0.00020423607202246785,0.0,1841152.0,937.8310546875,123.306586316,42003.88271143918,1773786810.30019,0.001953125,-1715.669677734375
,12.7216796875,3333.03564453125,2095104.0,0.010882909409701824,0.0,-4.039144515991211,0.0,0.0,0.0,0.0,0.0,0.00010549484431976452,0.0,2095104.0,975.4462890625,132.413752775,42081.268296637514,1773786819.3683045,0.0,-1777.5791015625
"{'path': 'media/html/render_2349056_fb117ca4405a50ce41e6.html', 'size': 4064449.0, '_type': 'html-file', 'sha256': 'fb117ca4405a50ce41e6db16b188c041cff097fb8628508675731b7b680de927'}",21.291015625,3130.3134765625,2349056.0,0.0019638030789792538,0.43359375,-1.7192440032958984,0.0,0.0,0.0,0.0,0.43359375,3.089112578891218e-05,0.0,2349056.0,921.708984375,160.603136604,42036.94577486328,1773786856.6657412,0.005859375,-1883.25390625
,14.2109375,2840.486328125,2603008.0,0.001073035760782659,0.0,-0.8075709342956543,0.0,0.0,0.0,0.0,0.0,-1.6211350839512306e-06,0.0,2603008.0,836.6416015625,169.889712054,42072.88090782937,1773786856.8324296,0.0,-1741.330322265625
,21.64453125,3048.6396484375,2856960.0,0.0030231496784836054,0.10546875,-0.6482826471328735,0.0,0.0,0.0,0.0,0.10546875,-6.093807769502746e-06,0.0,2856960.0,891.2119140625,178.940076005,41950.70818876844,1773786865.951429,0.001953125,-1874.386474609375
,18.8037109375,2766.7314453125,3110912.0,0.0050515043549239635,1.2353515625,-0.6432285308837891,0.0,0.0,0.0,0.0,1.2353515625,-6.533838359246147e-07,0.0,3110912.0,815.34765625,188.055516762,42133.96283736877,1773786875.0018563,0.0048828125,-1679.346923828125
,13.1494140625,2382.464599609375,3364864.0,0.005915130954235792,0.12109375,-0.595914363861084,0.0,0.0,0.0,0.0,0.12109375,1.2135578799643554e-05,0.0,3364864.0,695.421875,197.133556038,41960.980883727454,1773786884.1171439,0.0009765625,-1429.877197265625
