training/entropy,_step,eval/episode_dist,eval/episode_reward_near,eval/episode_success_any,training/log_alpha,eval/episode_reward,eval/episode_success,eval/episode_success_hard,eval/episode_reward_dist,training/critic_loss,eval/episode_reward_survive,_timestamp,_runtime,training/sps,training/alpha_loss,eval/episode_reward_ctrl,step,eval/episode_success_easy,render,training/actor_loss
0.0,6920192.0,3026.08349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003837281372398138,886.490234375,1773770963.5752735,382.520835863,42313.73505844938,8.386375043301086e-07,-1919.1416015625,6920192.0,15.47265625,,-0.22627320885658264
0.0,7174144.0,2754.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004831654019653797,816.7373046875,1773770972.5923853,391.578782749,42276.05851728007,-1.8916695125881233e-06,-1807.45458984375,7174144.0,7.626953125,,-0.24046078324317932
0.0,7428096.0,2867.30029296875,0.0,0.0009765625,0.0,0.7314453125,0.7314453125,0.0,0.0,0.006310289725661278,851.0703125,1773771010.1797004,420.107361035,42295.870891859755,2.164186980735394e-06,-1785.3115234375,7428096.0,12.1953125,"{'path': 'media/html/render_7428096_fd1aeffa643a7af60ace.html', 'size': 4118345.0, '_type': 'html-file', 'sha256': 'fd1aeffa643a7af60ace45c63705840acd10308ceb33aa7932b3362f3a237beb'}",-0.3100315034389496
0.0,7682048.0,3163.03076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006251203827559948,933.7509765625,1773771010.3565745,429.354150623,42277.61570658168,2.499903928310232e-07,-2047.606689453125,7682048.0,17.1669921875,,-0.34168288111686707
0.0,7936000.0,2799.16552734375,0.0,0.0009765625,0.0,0.0517578125,0.0517578125,0.0,0.0,0.004953882656991482,841.306640625,1773771019.4256694,438.355406024,42274.06353612002,-1.2858986337960232e-06,-1827.7845458984375,7936000.0,17.9833984375,,-0.30727842450141907
0.0,8189952.0,2993.19921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043348767794668674,890.08203125,1773771028.4269454,447.411688619,42404.15715693639,7.746923074591905e-06,-1780.825439453125,8189952.0,14.2841796875,,-0.2918289303779602
0.0,8443904.0,3113.52783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00394936790689826,925.076171875,1773771037.4831536,456.426047573,42320.99794845934,-1.6879801023605978e-06,-2098.20947265625,8443904.0,15.751953125,,-0.275439590215683
0.0,8697856.0,2843.458740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006243669427931309,831.669921875,1773771075.2924361,485.220138877,42346.09427130697,-8.905526556191035e-06,-1735.4564208984375,8697856.0,4.7138671875,"{'size': 4131681.0, '_type': 'html-file', 'sha256': '2f7e8838b6074ad05b12cfd015a3d581c23908e2bad2119dd8ca90be56e79f2d', 'path': 'media/html/render_8697856_2f7e8838b6074ad05b12.html'}",-0.3407629728317261
0.0,8951808.0,2904.326904296875,0.0,0.001953125,0.0,0.1220703125,0.1220703125,0.0,0.0,0.007384532131254673,861.677734375,1773771075.4613159,494.437711514,42244.751150360826,1.0512088010727894e-05,-1804.3968505859375,8951808.0,16.3359375,,-0.35785457491874695
0.0,9205760.0,3174.4580078125,0.0,0.0029296875,0.0,0.8134765625,0.8134765625,0.0,0.0,0.005447487346827984,941.35546875,1773771084.5092378,503.510416877,42089.71890479596,2.919899202424858e-07,-2216.468994140625,9205760.0,14.68359375,,-0.2910901606082916
0.0,9459712.0,3269.33544921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033709623385220766,959.5947265625,1773771093.5819972,512.529473872,42222.42740088172,8.569340025132988e-06,-2129.60302734375,9459712.0,9.39453125,,-0.2071705162525177
0.0,9713664.0,3010.284912109375,0.0,0.0009765625,0.0,0.07421875,0.07421875,0.0,0.0,0.005218449980020523,903.9833984375,1773771102.6009972,521.60745446,42262.42458752597,-7.81633843871532e-06,-2060.637451171875,9713664.0,8.1611328125,,-0.2694563567638397
0.0,9967616.0,3059.62255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061681559309363365,910.787109375,1773771139.7764223,549.704118771,42164.50359596094,-8.79646222529118e-07,-1972.5040283203125,9967616.0,11.8271484375,"{'path': 'media/html/render_9967616_d0a8965b884adb8a9878.html', 'size': 4155897.0, '_type': 'html-file', 'sha256': 'd0a8965b884adb8a9878140078d1a5a4399dfb1d172cb1777ea8322a99bc5ffd'}",-0.29742175340652466
0.0,10221568.0,3129.3525390625,0.0,0.001953125,0.0,0.9111328125,0.9111328125,0.0,0.0,0.006600758992135525,918.02734375,1773771139.989299,559.029820309,42216.66232833744,-7.041801382001722e-07,-1928.094970703125,10221568.0,20.365234375,,-0.32969945669174194
0.0,10475520.0,3236.047607421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005951504688709974,946.2431640625,1773771149.1015346,568.076073182,41968.4224738839,5.616092494165059e-06,-2079.789794921875,10475520.0,15.4169921875,,-0.3375736176967621
0.0,10729472.0,2974.528076171875,0.0,0.0009765625,0.0,0.5068359375,0.5068359375,0.0,0.0,0.005463792942464352,900.638671875,1773771158.1473458,577.196674508,42074.830353313,-4.464690661620807e-08,-1971.574462890625,10729472.0,22.59765625,,-0.3404524028301239
0.0,10983424.0,3176.7568359375,0.0,0.0009765625,0.0,0.1357421875,0.1357421875,0.0,0.0,0.004716860130429268,933.8291015625,1773771167.268334,586.242360288,42079.90008961938,5.372957730287453e-06,-1997.614990234375,10983424.0,14.05078125,,-0.32275086641311646
0.0,11237376.0,3257.4541015625,0.0,0.0029296875,0.0,0.189453125,0.189453125,0.0,0.0,0.003541345940902829,960.5908203125,1773771204.469163,614.396892775,42069.70035904628,-5.640262088490999e-07,-2149.9912109375,11237376.0,16.7314453125,"{'path': 'media/html/render_11237376_ca376e702fa1e8defeb5.html', 'size': 4111973.0, '_type': 'html-file', 'sha256': 'ca376e702fa1e8defeb5c3adbc6734edd7c4159292b9a150b493b5de6e3fe9fc'}",-0.21441330015659332
0.0,11491328.0,2910.77197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023609076160937548,870.478515625,1773771204.6364183,623.639250976,42035.305071351366,5.350172614271287e-06,-1937.240234375,11491328.0,16.3681640625,,-0.15263764560222626
0.0,11745280.0,3174.589111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023388583213090897,942.388671875,1773771213.7109268,632.729409224,41903.5260863789,8.475748245473369e-07,-2123.034912109375,11745280.0,10.6103515625,,-0.1886298805475235
0.0,11999232.0,3129.71826171875,0.0,0.0009765625,0.0,0.0908203125,0.0908203125,0.0,0.0,0.002351305913180113,924.0400390625,1773771222.8010445,641.785855279,42055.56818872953,-2.1244159142952412e-06,-2072.37939453125,11999232.0,13.783203125,,-0.21438471972942352
0.0,12253184.0,2938.79052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002604360692203045,874.9912109375,1773771231.8575454,650.887523349,42035.82430946962,7.476033943021321e-07,-1807.708740234375,12253184.0,12.599609375,,-0.24664048850536346
0.0,12507136.0,2857.46923828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004211978055536747,854.40625,1773771269.7886176,679.716308659,41994.42675069611,-2.760104507615324e-06,-1909.9296875,12507136.0,14.3564453125,"{'path': 'media/html/render_12507136_a95f96ec71d1a5477d99.html', 'size': 4081573.0, '_type': 'html-file', 'sha256': 'a95f96ec71d1a5477d999240c8873a3d9705e07aa4ebd965980363274d3eb6e9'}",-0.31607961654663086
0.0,12761088.0,3156.786865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003497463883832097,931.640625,1773771269.9620836,689.023886833,42009.11429957109,1.7227500848093769e-07,-2160.08642578125,12761088.0,6.6103515625,,-0.26906251907348633
0.0,13015040.0,2917.689697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004440716002136469,850.076171875,1773771279.0953956,698.087222654,41856.527302263086,-4.952518679601781e-07,-1830.153564453125,13015040.0,4.96875,,-0.32125550508499146
0.0,13268992.0,2842.515869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004488402511924505,850.4814453125,1773771288.158704,707.179915557,41958.4618231263,1.7775410299236682e-07,-1864.91943359375,13268992.0,12.609375,,-0.29002711176872253
0.0,13522944.0,2920.453369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003888428444042802,866.9169921875,1773771297.2514493,716.234417867,42059.934062112916,5.045762918598484e-07,-1862.521728515625,13522944.0,7.0185546875,,-0.20161153376102448
0.0,13776896.0,3068.810546875,0.0,0.0078125,0.0,3.2119140625,3.2119140625,0.0,0.0,0.005247859284281731,922.8935546875,1773771334.747073,744.674753445,42032.73229472701,-1.9223266463086475e-06,-2093.04638671875,13776896.0,44.58203125,"{'path': 'media/html/render_13776896_98fffef387a8adb8032a.html', 'size': 4022209.0, '_type': 'html-file', 'sha256': '98fffef387a8adb8032a4de4095729cccebb73895ec65e3d3489cb2e77f8ce8f'}",-0.259725958108902
0.0,14030848.0,2991.693359375,0.0,0.001953125,0.0,0.646484375,0.646484375,0.0,0.0,0.005442469846457243,908.3974609375,1773771334.9329543,753.958548355,42041.711011044616,2.29406373364327e-06,-2029.9453125,14030848.0,38.916015625,,-0.26132091879844666
0.0,14284800.0,3022.96240234375,0.0,0.0009765625,0.0,0.3076171875,0.3076171875,0.0,0.0,0.004912291653454304,897.8017578125,1773771344.0300431,763.066134271,41775.50828868698,3.4520195413279e-07,-2016.9112548828125,14284800.0,22.9580078125,,-0.25082674622535706
0.0,14538752.0,3252.3759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005619638599455357,951.8115234375,1773771353.1377244,772.139647023,41950.18939908799,4.9066034790712365e-08,-2014.37353515625,14538752.0,5.759765625,,-0.25525492429733276
0.0,14792704.0,3184.69580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004947808105498552,924.109375,1773771362.2111447,781.25212277,41907.69886156363,1.236892558154068e-06,-2072.974609375,14792704.0,18.1142578125,,-0.22160978615283966
0.0,15046656.0,3212.605712890625,0.0,0.0009765625,0.0,0.330078125,0.330078125,0.0,0.0,0.003943664953112602,939.1259765625,1773771399.8360453,809.763747564,41945.65962166709,3.627470277933753e-06,-2115.4912109375,15046656.0,9.361328125,"{'path': 'media/html/render_15046656_039f921faf58bb92d0e7.html', 'size': 4128645.0, '_type': 'html-file', 'sha256': '039f921faf58bb92d0e72187657f25e0bc65e6237571b5f3d9f0f6b0842b63fa'}",-0.18994824588298798
0.0,15300608.0,3140.6796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004955606535077095,904.3720703125,1773771400.0084198,819.066702087,42019.37252396705,-1.5299024198611733e-06,-1964.261962890625,15300608.0,4.6787109375,,-0.21955814957618713
0.0,15554560.0,3164.541748046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004057718440890312,928.09375,1773771409.1382563,828.124529984,41862.83608638849,-1.238740878761746e-06,-2038.259521484375,15554560.0,8.6640625,,-0.22593379020690918
0.0,15808512.0,3092.17333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035833183210343122,888.1162109375,1773771418.1960332,837.228363047,42016.70888150745,1.9933479507017182e-06,-1978.2080078125,15808512.0,6.4296875,,-0.18416407704353333
0.0,16062464.0,3177.26123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004882690496742725,919.927734375,1773771427.2999134,846.292680567,41971.03203666855,1.0385025461800979e-06,-2050.0107421875,16062464.0,12.3369140625,,-0.24319832026958466
0.0,16316416.0,3172.05908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00429512606933713,922.9140625,1773771464.897306,874.824984345,41981.769716675684,2.5628087314544246e-06,-2051.671875,16316416.0,8.3505859375,"{'_type': 'html-file', 'sha256': '1843a680f372a41854ff76b488b66a292008bee255afdae21d453581115d6bc5', 'path': 'media/html/render_16316416_1843a680f372a41854ff.html', 'size': 4093793.0}",-0.1776735931634903
0.0,16570368.0,2897.12646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037995034363120794,830.1845703125,1773771465.0974624,884.127434654,41961.53465479268,5.859444627276389e-07,-1771.659423828125,16570368.0,6.962890625,,-0.1577025204896927
0.0,16824320.0,3232.324951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405721090734005,952.478515625,1773771474.199008,893.226467564,41771.540351122676,-2.3297104689845582e-07,-1980.380126953125,16824320.0,10.072265625,,-0.22579334676265717
0.0,17078272.0,2996.7578125,0.0,0.0009765625,0.0,0.6328125,0.6328125,0.0,0.0,0.004407431930303574,870.5966796875,1773771483.298077,902.294082292,42012.03713460705,3.429655635045492e-06,-1849.14111328125,17078272.0,5.4921875,,-0.18567019701004028
0.0,17332224.0,3120.2685546875,0.0,0.001953125,0.0,0.08984375,0.08984375,0.0,0.0,0.004116126336157322,930.1796875,1773771492.3657944,911.399317431,41941.002008707204,-1.3862320429325337e-06,-2059.46630859375,17332224.0,6.37890625,,-0.1786450296640396
0.0,17586176.0,3102.7177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00451103039085865,909.2138671875,1773771529.8464842,939.774208724,41967.37741680386,-2.1659518552041845e-06,-2007.353759765625,17586176.0,2.1572265625,"{'path': 'media/html/render_17586176_f08c7f0244683db83e88.html', 'size': 4160553.0, '_type': 'html-file', 'sha256': 'f08c7f0244683db83e8884aa22cd9fae9810d98635561980c6fe8ea6a58b8675'}",-0.17960508167743683
0.0,17840128.0,3030.678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050298431888222694,893.4130859375,1773771530.0210068,949.097544498,41960.575896231836,3.256491609704426e-08,-1970.295166015625,17840128.0,6.009765625,,-0.22657591104507446
0.0,18094080.0,3213.22509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005258554592728615,936.0283203125,1773771539.169155,958.149376034,41722.30209118004,5.160703153705981e-08,-1921.294677734375,18094080.0,6.150390625,,-0.1886109709739685
0.0,18348032.0,2845.728271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071975719183683395,840.642578125,1773771548.2209642,967.260722682,42028.784997113646,-1.4190767387844971e-06,-1857.329345703125,18348032.0,5.7802734375,,-0.2712799608707428
0.0,18601984.0,3159.4912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007119066547602415,929.4384765625,1773771557.3321946,976.312360522,41963.705247677804,9.487690704190754e-07,-1967.406005859375,18601984.0,6.98828125,,-0.26759377121925354
0.0,18855936.0,3156.942626953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00642820680513978,934.7060546875,1773771595.670286,1005.598043599,42030.92274819677,1.4379759250005009e-06,-2087.839111328125,18855936.0,11.69140625,"{'size': 4079037.0, '_type': 'html-file', 'sha256': '5543c2eb52334fa314796196f5fa8956b5e5db77fe2279794c300f0e7945080b', 'path': 'media/html/render_18855936_5543c2eb52334fa31479.html'}",-0.23313114047050476
0.0,19109888.0,3004.552490234375,0.0,0.001953125,0.0,0.7568359375,0.7568359375,0.0,0.0,0.004646994639188051,887.3896484375,1773771595.888959,1014.912340886,42010.290675199205,5.0008225116471294e-06,-2003.8258056640625,19109888.0,10.2099609375,,-0.19332954287528992
0.0,19363840.0,2823.83984375,0.0,0.0009765625,0.0,0.5029296875,0.5029296875,0.0,0.0,0.005527067929506302,846.1279296875,1773771604.9839213,1024.023377741,41825.72138130697,-1.1052603667849326e-06,-1925.2596435546875,19363840.0,6.1142578125,,-0.2215450257062912
0.0,19617792.0,2954.5693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005394084844738245,858.36328125,1773771614.0950367,1033.078932193,41924.107852631445,-2.9933019050076837e-06,-1968.1162109375,19617792.0,5.3134765625,,-0.21533140540122986
0.0,19871744.0,3216.986083984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007125417236238718,944.7001953125,1773771623.1505435,1042.195080586,42042.5307671127,-9.549114565743366e-07,-2054.8544921875,19871744.0,7.341796875,,-0.282100647687912
0.0,20125696.0,3234.1025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005788947455585003,948.111328125,1773771661.026043,1070.953850311,41878.09524567397,-1.156654548140068e-06,-2156.389892578125,20125696.0,6.806640625,"{'path': 'media/html/render_20125696_589cf1a187dfb0b4fb59.html', 'size': 4071885.0, '_type': 'html-file', 'sha256': '589cf1a187dfb0b4fb59096940a4779562a2559c6c82e5de9c176cb82765e6d9'}",-0.25767549872398376
0.0,20379648.0,3042.190185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008275000378489494,893.779296875,1773771661.2159479,1080.278665478,41851.36982427878,-2.451338900755218e-07,-1955.255615234375,20379648.0,5.892578125,,-0.34550240635871887
0.0,20633600.0,3289.37744140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011865776963531971,942.4150390625,1773771670.3496172,1089.342250961,41829.944383061156,-3.5412256238487316e-06,-1945.7685546875,20633600.0,3.154296875,,-0.4232679009437561
0.0,20887552.0,3148.83056640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010338804684579372,920.8203125,1773771679.4137826,1098.449520709,41963.71351388342,-5.291689149089507e-07,-1918.033203125,20887552.0,7.90625,,-0.3637469708919525
0.0,21141504.0,3130.786376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008712313137948513,920.6572265625,1773771688.5211763,1107.544519592,41987.89783361122,-9.115919397117977e-07,-2076.483154296875,21141504.0,10.2685546875,,-0.3089565634727478
0.0,21395456.0,3041.2763671875,0.0,0.001953125,0.0,1.7060546875,1.7060546875,0.0,0.0,0.011452986858785152,887.0712890625,1773771725.3391454,1135.26685696,41931.402662000626,1.3349281289265491e-06,-1922.43212890625,21395456.0,12.7802734375,"{'path': 'media/html/render_21395456_5f08ffb4bdf33fac9dfa.html', 'size': 4097029.0, '_type': 'html-file', 'sha256': '5f08ffb4bdf33fac9dfa0d31fc6984b4150b36b29c2434e64e64331d77c71155'}",-0.36246851086616516
0.0,21649408.0,3135.64599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007894139736890793,938.138671875,1773771725.5197399,1144.55396804,41950.46696649293,4.155452643317403e-06,-2178.68505859375,21649408.0,9.5283203125,,-0.25484880805015564
0.0,21903360.0,3283.4501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070069595240056515,969.9287109375,1773771734.6256142,1153.662674147,41742.3969976095,5.118337867315859e-06,-2159.9375,21903360.0,6.1767578125,,-0.20012769103050232
0.0,22157312.0,3310.979248046875,0.0,0.0009765625,0.0,0.1142578125,0.1142578125,0.0,0.0,0.00863652117550373,944.5595703125,1773771743.7343256,1162.732155588,41939.57189969013,1.0391416935817688e-06,-2100.740234375,22157312.0,5.1904296875,,-0.21165244281291962
0.0,22411264.0,3124.79736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006727914325892925,906.3662109375,1773771752.803815,1171.846889796,41904.7657968963,3.87409636459779e-06,-2014.79833984375,22411264.0,0.740234375,,-0.195734903216362
0.0,22665216.0,3196.956787109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006206694059073925,944.7509765625,1773771790.580166,1200.507939787,41927.088185245804,7.785109232827381e-07,-2119.285400390625,22665216.0,4.892578125,"{'size': 4069413.0, '_type': 'html-file', 'sha256': 'b5449944b13007780ae0fe06f3284bd1f78fb11d4fe018b0ffc9e6a4d049bad9', 'path': 'media/html/render_22665216_b5449944b13007780ae0.html'}",-0.21594007313251495
0.0,22919168.0,3222.728759765625,0.0,0.001953125,0.0,0.65625,0.65625,0.0,0.0,0.006246834062039852,942.802734375,1773771790.8107305,1209.884671291,41960.610609139425,1.5257113545885659e-06,-2221.185302734375,22919168.0,14.9052734375,,-0.2155812829732895
0.0,23173120.0,3326.61669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058556534349918365,967.203125,1773771799.956158,1218.938026873,41784.26269758392,2.0950237740180455e-06,-2168.88427734375,23173120.0,3.61328125,,-0.22312487661838531
0.0,23427072.0,3197.322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051208725199103355,948.3984375,1773771809.009172,1228.027994598,42045.48646886948,-2.5507154077786254e-06,-2155.241943359375,23427072.0,6.814453125,,-0.1647794246673584
