training/log_alpha,training/actor_loss,training/alpha_loss,training/critic_loss,eval/episode_success_hard,eval/episode_success_easy,training/sps,eval/episode_success,eval/episode_reward_dist,eval/episode_reward_survive,_timestamp,training/entropy,eval/episode_dist,step,_step,eval/episode_success_any,eval/episode_reward,_runtime,eval/episode_reward_near,render,eval/episode_reward_ctrl
0.0,-0.8015220165252686,-8.382605301449075e-06,0.0062396470457315445,0.0,25.447265625,42129.91651903522,0.189453125,0.0,766.8662109375,1773784236.6650133,0.0,2538.837646484375,3618816.0,3618816.0,0.0009765625,0.189453125,225.898631629,0.0,"{'size': 4150365.0, '_type': 'html-file', 'sha256': '08962f32b37e884742f7c5dd3255807f47ee0b28f1c65384859e4e5e2d2df506', 'path': 'media/html/render_3618816_08962f32b37e884742f7.html'}",-1531.343994140625
0.0,-0.7033319473266602,-1.7446047877456294e-06,0.005278458818793297,0.0,18.138671875,42215.169857863366,0.779296875,0.0,744.291015625,1773784236.8419397,0.0,2522.92919921875,3872768.0,3872768.0,0.001953125,0.779296875,235.148450787,0.0,,-1438.016845703125
0.0,-0.6858087778091431,4.516582521318924e-06,0.004756800830364227,0.0,18.6005859375,41980.39142642231,0.0,0.0,816.353515625,1773784245.9139235,0.0,2735.446044921875,4126720.0,4126720.0,0.0,0.0,244.238640211,0.0,,-1746.412353515625
0.0,-0.6077395081520081,1.947218834175146e-06,0.005128959193825722,0.0,21.853515625,42102.93206520257,0.4462890625,0.0,844.291015625,1773784255.004306,0.0,2813.34375,4380672.0,4380672.0,0.0009765625,0.4462890625,253.274374635,0.0,,-1482.939697265625
0.0,-0.5675550103187561,2.857928620869643e-06,0.004859786480665207,0.0,19.2705078125,42155.27048616262,0.6455078125,0.0,837.2041015625,1773784264.0398993,0.0,2810.8291015625,4634624.0,4634624.0,0.001953125,0.6455078125,262.349790648,0.0,,-1722.634521484375
0.0,-0.5409817099571228,-4.400231318868464e-06,0.004804490599781275,0.0,11.5810546875,42196.50783200103,0.0,0.0,875.396484375,1773784301.5225089,0.0,2903.759765625,4888576.0,4888576.0,0.0,0.0,290.756122866,0.0,"{'path': 'media/html/render_4888576_22eec242096f88488256.html', 'size': 4111789.0, '_type': 'html-file', 'sha256': '22eec242096f88488256440a13cc8dbe2b4f7d0bfdc5c17ad23a2255cb117ba5'}",-1799.6103515625
0.0,-0.4880451560020447,-7.939183319649601e-07,0.003789937123656273,0.0,17.0322265625,42116.363349833475,0.0087890625,0.0,780.6357421875,1773784301.698172,0.0,2699.88671875,5142528.0,5142528.0,0.0009765625,0.0087890625,300.033285126,0.0,,-1643.1341552734375
0.0,-0.4321373999118805,3.0868327485222835e-06,0.004403424449265003,0.0,9.673828125,42053.112471928616,0.0,0.0,736.380859375,1773784310.798612,0.0,2507.9921875,5396480.0,5396480.0,0.0,0.0,309.049129936,0.0,,-1554.01611328125
0.0,-0.4495098292827606,-2.326684125364409e-06,0.00503109535202384,0.0,26.4326171875,42301.246029233975,0.96875,0.0,859.982421875,1773784319.8148432,0.0,2814.63427734375,5650432.0,5650432.0,0.0029296875,0.96875,318.089992268,0.0,,-1738.050537109375
0.0,-0.4958369731903076,8.737940220271412e-07,0.00590007146820426,0.0,16.486328125,42408.98237526987,0.0,0.0,893.578125,1773784328.8556974,0.0,3025.97705078125,5904384.0,5904384.0,0.0,0.0,327.101790073,0.0,,-1893.82177734375
