_step,eval/episode_reward_ctrl,_runtime,eval/episode_reward_survive,eval/episode_reward,training/entropy,eval/episode_success_easy,training/sps,training/log_alpha,render,eval/episode_success_any,eval/episode_reward_dist,eval/episode_success,training/alpha_loss,eval/episode_dist,training/actor_loss,eval/episode_reward_near,training/critic_loss,_timestamp,eval/episode_success_hard,step
0.0,,43.335342965,,,,,,,"{'size': 4109993.0, '_type': 'html-file', 'sha256': '36444ded8da86af63c8b3b12bc4b53e4023876d0e40431ceb557461ce60e66ec', 'path': 'media/html/render_0_36444ded8da86af63c8b.html'}",,,,,,,,,1773758324.056994,,
1.0,,96.058672779,,,,,,,"{'_type': 'html-file', 'sha256': 'db7ade444876655d9dd7e2119e28027065ae91839c89ce0fdd370a07febe902e', 'path': 'media/html/render_1_db7ade444876655d9dd7.html', 'size': 4145093.0}",,,,,,,,,1773758376.7804108,,
1333248.0,-1382.973876953125,105.336998784,761.8076171875,0.7197265625,0.0,26.869140625,12183.852264827876,0.0,,0.001953125,0.0,0.7197265625,2.217853546142578,2556.09619140625,-44.90573501586914,0.0,1.7466516494750977,1773758376.9662693,0.0,1333248.0
1587200.0,-1772.8018798828125,114.430552553,810.53515625,0.583984375,0.0,24.2744140625,41974.11994232751,0.0,,0.0078125,0.0,0.583984375,0.028958337381482124,2741.85595703125,-27.276891708374023,0.0,0.4562910497188568,1773758386.05834,0.0,1587200.0
1841152.0,-1517.9993896484375,123.49599106,735.67578125,0.8759765625,0.0,23.3427734375,41982.30748951765,0.0,,0.001953125,0.0,0.8759765625,0.00033668411197140813,2456.740234375,-12.261077880859375,0.0,0.07631104439496994,1773758395.1514173,0.0,1841152.0
2095104.0,-1664.11376953125,132.601890151,834.25390625,0.138671875,0.0,33.3984375,42076.56722374945,0.0,,0.0029296875,0.0,0.138671875,8.238793816417456e-05,2779.20654296875,-5.356264114379883,0.0,0.012808584608137608,1773758404.2169619,0.0,2095104.0
2349056.0,-1812.86279296875,160.898013491,939.986328125,1.1796875,0.0,32.1953125,42026.000773878346,0.0,"{'path': 'media/html/render_2349056_97634e827838c44521b9.html', 'size': 4159121.0, '_type': 'html-file', 'sha256': '97634e827838c44521b94ee350c8809ab06534f51df899d0cc26ff072b94c3a6'}",0.0068359375,0.0,1.1796875,3.882832970703021e-05,3215.77490234375,-2.3540661334991455,0.0,0.002707376377657056,1773758441.619768,0.0,2349056.0
2603008.0,-1814.450439453125,170.179392073,920.126953125,0.0,0.0,12.0927734375,42004.1162662727,0.0,,0.0,0.0,0.0,1.1729233847290743e-05,3092.9130859375,-1.1207153797149658,0.0,0.0013698918046429753,1773758441.7823837,0.0,2603008.0
2856960.0,-1586.5850830078125,179.235653373,812.1435546875,0.0,0.0,5.0048828125,41913.952160846035,0.0,,0.0,0.0,0.0,3.1390129606734263e-06,2767.807373046875,-0.6042757034301758,0.0,0.0013277791440486908,1773758450.9004104,0.0,2856960.0
3110912.0,-1789.315673828125,188.356417071,876.13671875,0.4013671875,0.0,10.6162109375,42069.610632669894,0.0,,0.0009765625,0.0,0.4013671875,-3.898608156305272e-06,2985.615966796875,-0.4410195052623749,0.0,0.0027292929589748383,1773758459.956425,0.0,3110912.0
3364864.0,-1782.38916015625,197.435703244,908.9560546875,0.0,0.0,6.484375,41900.64964706982,0.0,,0.0,0.0,0.0,3.277948962931987e-06,3090.83056640625,-0.3776685297489166,0.0,0.0029064551927149296,1773758469.077381,0.0,3364864.0
3618816.0,-1856.02490234375,225.671640378,912.4599609375,0.0,0.0,9.9052734375,41878.312585083906,0.0,"{'_type': 'html-file', 'sha256': '95af5d520f94727e2e948be70bf7c3f9ef90a270d32dc8e547182b8532204f59', 'path': 'media/html/render_3618816_95af5d520f94727e2e94.html', 'size': 4028137.0}",0.0,0.0,0.0,3.4902075185527792e-06,3052.562255859375,-0.3517637550830841,0.0,0.002150761429220438,1773758506.393406,0.0,3618816.0
3872768.0,-1789.87939453125,234.996983808,905.203125,0.0,0.0,5.8173828125,41936.018517564866,0.0,,0.0,0.0,0.0,5.08383982378291e-06,3050.47021484375,-0.2634725570678711,0.0,0.0013361674500629306,1773758506.6074047,0.0,3872768.0
4126720.0,-1643.95849609375,244.125432453,794.6435546875,0.13671875,0.0,6.28515625,41705.74365980045,0.0,,0.0009765625,0.0,0.13671875,-1.126230984027643e-07,2711.92138671875,-0.22372467815876007,0.0,0.001618342474102974,1773758515.717933,0.0,4126720.0
4380672.0,-1854.08935546875,253.201896276,902.7080078125,0.0,0.0,10.537109375,41846.92876766857,0.0,,0.0,0.0,0.0,-5.544573468796443e-06,3051.4033203125,-0.2586389482021332,0.0,0.002186313970014453,1773758524.8456771,0.0,4380672.0
4634624.0,-1774.78515625,262.30962888,924.9111328125,0.2333984375,0.0,21.4169921875,41876.382953466484,0.0,,0.001953125,0.0,0.2333984375,-5.430810006146203e-07,3089.5068359375,-0.2755778431892395,0.0,0.002215605229139328,1773758533.9229648,0.0,4634624.0
4888576.0,-1800.96435546875,290.618303801,866.19921875,0.0,0.0,17.61328125,41969.902509268904,0.0,"{'size': 4088249.0, '_type': 'html-file', 'sha256': 'c5d5ea9dcf2ec6b0a196f3c0d05342ebce942b12163c83b9e997a492314b30e9', 'path': 'media/html/render_4888576_c5d5ea9dcf2ec6b0a196.html'}",0.0,0.0,0.0,4.122081918467302e-06,2850.96875,-0.3047387897968292,0.0,0.0022504173684865236,1773758571.340066,0.0,4888576.0
5142528.0,-2013.818603515625,299.933645812,932.28515625,0.46484375,0.0,14.552734375,41871.52179461618,0.0,,0.001953125,0.0,0.46484375,-6.062066404410871e-06,3094.2451171875,-0.2683781087398529,0.0,0.0020715612918138504,1773758571.512196,0.0,5142528.0
5396480.0,-1762.458740234375,308.99334469,875.5,0.0,0.0,6.94140625,41758.57690629143,0.0,,0.0,0.0,0.0,3.09077836391225e-06,2944.40869140625,-0.2614205777645111,0.0,0.0021983839105814695,1773758580.654667,0.0,5396480.0
5650432.0,-1889.84375,318.08175819,935.2509765625,0.0,0.0,5.623046875,42005.05713758177,0.0,,0.0,0.0,0.0,2.361587974064605e-07,3205.357421875,-0.2826136648654938,0.0,0.0025479590985924006,1773758589.7143102,0.0,5650432.0
