eval/episode_dist,render,eval/episode_reward_survive,eval/episode_reward,step,_runtime,training/entropy,training/actor_loss,training/alpha_loss,eval/episode_success_any,eval/episode_reward_near,eval/episode_reward_dist,eval/episode_success_easy,eval/episode_success_hard,eval/episode_success,training/log_alpha,_timestamp,training/critic_loss,eval/episode_reward_ctrl,_step,training/sps
,"{'size': 4760949.0, '_type': 'html-file', 'sha256': '9d6501b28f6b2cbd58ed21554eb89445b84eb1b461c6a452134d0da2379746f5', 'path': 'media/html/render_0_9d6501b28f6b2cbd58ed.html'}",,,,57.436219615,,,,,,,,,,,1773887986.710886,,,0.0,
,"{'_type': 'html-file', 'sha256': 'f1d3c8bbdd7840c1d9cc42186da02b660c88aa3b338c0a8442359e8b3f99a267', 'path': 'media/html/render_1_f1d3c8bbdd7840c1d9cc.html', 'size': 4695681.0}",,,,126.505887779,,,,,,,,,,,1773888055.7806249,,,1.0,
214.71807861328125,,0.0,0.005859375,793600.0,138.403895709,0.0,-57.58746337890625,4.654146671295166,0.00390625,0.0,0.0,15.060546875,0.0,0.005859375,0.0,1773888055.9661613,26.684415817260742,0.0,793600.0,9821.27640893574
268.45086669921875,,0.0,0.00390625,1047552.0,150.068660745,0.0,-72.99628448486328,0.009541485458612442,0.001953125,0.0,0.0,22.650390625,0.0,0.00390625,0.0,1773888067.6781483,7.832462310791016,0.0,1047552.0,32773.6884873435
226.84548950195312,,0.0,0.009765625,1301504.0,161.765753888,0.0,-45.6087760925293,0.002949792891740799,0.001953125,0.0,0.0,17.806640625,0.0,0.009765625,0.0,1773888079.3428702,2.3413217067718506,0.0,1301504.0,33012.270147901465
195.489501953125,,0.0,0.0,1555456.0,173.442889978,0.0,-19.850231170654297,0.0013623593840748072,0.0,0.0,0.0,15.708984375,0.0,0.0,0.0,1773888091.040116,0.5059404373168945,0.0,1555456.0,32838.437376195165
256.3575134277344,"{'path': 'media/html/render_1809408_988a9e97c614918c6551.html', 'size': 4729409.0, '_type': 'html-file', 'sha256': '988a9e97c614918c6551ed26590a7e6a384e910d302a90eaf062983fad5b8681'}",0.0,0.0,1809408.0,210.798569973,0.0,-7.903160572052002,0.0005112217622809112,0.0,0.0,0.0,17.6484375,0.0,0.0,0.0,1773888140.0733085,0.12521235644817352,0.0,1809408.0,32951.091942710525
287.0704650878906,,0.0,0.0078125,2063360.0,222.667717344,0.0,-2.808910846710205,0.00020954532374162227,0.001953125,0.0,0.0,24.74609375,0.0,0.0078125,0.0,1773888140.2583082,0.03757380694150925,0.0,2063360.0,32880.67847547522
272.0913391113281,,0.0,0.0,2317312.0,234.345929746,0.0,-1.4862115383148193,0.0002256502048112452,0.0,0.0,0.0,15.494140625,0.0,0.0,0.0,1773888151.9415247,0.01566145569086075,0.0,2317312.0,32940.35850909508
181.05416870117188,,0.0,0.01171875,2571264.0,246.019407699,0.0,-0.336856871843338,7.92336359154433e-05,0.001953125,0.0,0.0,17.087890625,0.0,0.01171875,0.0,1773888163.6202626,0.0036681299097836018,0.0,2571264.0,32926.85510367049
110.14785766601562,,0.0,0.0,2825216.0,257.707039458,0.0,-0.03128146752715111,3.856712646665983e-05,0.0,0.0,0.0,8.677734375,0.0,0.0,0.0,1773888175.293632,0.0007153335027396679,0.0,2825216.0,32971.69489279985
136.8931427001953,"{'path': 'media/html/render_3079168_23c7489086800de55b19.html', 'size': 4746229.0, '_type': 'html-file', 'sha256': '23c7489086800de55b19f17a7628cd2fa914721d6a4bd1a933078e8884f75a36'}",0.0,0.0,3079168.0,294.975202948,0.0,-0.009374667890369892,1.434939076716546e-05,0.0,0.0,0.0,18.0078125,0.0,0.0,0.0,1773888224.2499268,0.0002238212327938527,0.0,3079168.0,32893.419746837695
