training/entropy,_timestamp,_runtime,eval/episode_success,eval/episode_reward_survive,render,training/alpha_loss,eval/episode_reward_ctrl,eval/episode_success_hard,training/log_alpha,eval/episode_reward_dist,eval/episode_dist,_step,training/critic_loss,eval/episode_reward,eval/episode_success_easy,step,training/sps,eval/episode_success_any,training/actor_loss,eval/episode_reward_near
0.0,1773842804.320855,718.710162782,0.0,0.0,"{'_type': 'html-file', 'sha256': '507422431b1ed17b511454f79a83ae6b1fe5c5413c6517f00fad923b6a19e859', 'path': 'media/html/render_9427968_507422431b1ed17b5114.html', 'size': 4726289.0}",1.924924504237424e-07,0.0,0.0,0.0,0.0,278.848388671875,9427968.0,0.00011122153955511749,0.0,19.119140625,9427968.0,32295.83059968656,0.0,-0.00029736891156062484,0.0
0.0,1773842804.523838,730.771015228,0.0,0.0,,-1.0086167456790918e-09,0.0,0.0,0.0,0.0,249.80010986328125,9681920.0,6.475914415204898e-05,0.0,20.6171875,9681920.0,32318.029153441174,0.0,-0.002544173737987876,0.0
0.0,1773842816.3811963,742.632308833,0.0,0.0,,1.62444635520842e-08,0.0,0.0,0.0,0.0,174.83627319335938,9935872.0,4.0388891648035496e-05,0.0,15.82421875,9935872.0,32217.749600095605,0.0,-0.0025994032621383667,0.0
0.0,1773842828.2425747,754.464230376,0.0,0.0,,-1.2157397577539086e-07,0.0,0.0,0.0,0.0,219.04092407226562,10189824.0,5.489574687089771e-05,0.0,19.037109375,10189824.0,32296.226210414265,0.0,-0.0026921145617961884,0.0
0.0,1773842840.0739157,766.277523745,0.0,0.0,,2.860288006445444e-08,0.0,0.0,0.0,0.0,181.2982177734375,10443776.0,2.500703340047039e-05,0.0,14.080078125,10443776.0,32292.16970186451,0.0,-0.0018516437849029899,0.0
0.0,1773842889.3026502,803.691969871,0.0,0.0,"{'path': 'media/html/render_10697728_2506f65c096ba0813964.html', 'size': 4721561.0, '_type': 'html-file', 'sha256': '2506f65c096ba0813964f019c627f375fb1fed388877e4c8032f67ca8a52c8ee'}",4.336865089271669e-09,0.0,0.0,0.0,0.0,202.29547119140625,10697728.0,3.411718716961332e-05,0.0,16.173828125,10697728.0,32338.66270578081,0.0,-0.0019934161100536585,0.0
0.0,1773842889.5092955,815.754685238,0.01171875,0.0,,-7.67653407507396e-09,0.0,0.0,0.0,0.0,211.08499145507812,10951680.0,3.109713361482136e-05,0.01171875,21.951171875,10951680.0,32342.065075465594,0.001953125,-0.002277687657624483,0.0
0.0,1773842901.3647988,827.58500945,0.0,0.0,,5.434350303090696e-09,0.0,0.0,0.0,0.0,127.53689575195312,11205632.0,2.5589732103981078e-05,0.0,14.3125,11205632.0,32174.32437007956,0.0,-0.002094549359753728,0.0
0.0,1773842913.1952531,839.414576128,0.009765625,0.0,,1.8252747091551669e-09,0.0,0.0,0.0,0.0,215.49156188964844,11459584.0,2.9631979487021454e-05,0.009765625,17.38671875,11459584.0,32291.13003681543,0.001953125,-0.0022961171343922615,0.0
0.0,1773842925.0247486,851.247360712,0.0,0.0,,-8.013328334222081e-10,0.0,0.0,0.0,0.0,189.701416015625,11713536.0,3.680745794554241e-05,0.0,16.615234375,11713536.0,32281.855311232415,0.0,-0.0021560287568718195,0.0
0.0,1773842975.0387719,889.428064589,0.00390625,0.0,"{'_type': 'html-file', 'sha256': 'fda25f9910df1dbc96fc4de5f68e5605f24a3ea2d8ca2f23d4f06cde0539708e', 'path': 'media/html/render_11967488_fda25f9910df1dbc96fc.html', 'size': 4722953.0}",-3.519902813664544e-09,0.0,0.0,0.0,0.0,232.7947235107422,11967488.0,2.0455921912798658e-05,0.00390625,16.703125,11967488.0,32286.421055528728,0.001953125,-0.0015874545788392425,0.0
0.0,1773842975.273857,901.508661156,0.0,0.0,,1.5359139515780384e-09,0.0,0.0,0.0,0.0,195.29359436035156,12221440.0,3.250628287787549e-05,0.0,18.96484375,12221440.0,32257.94491219534,0.0,-0.0017298145685344934,0.0
0.0,1773842987.1188905,913.330517185,0.0,0.0,,2.1837622821152536e-09,0.0,0.0,0.0,0.0,189.92819213867188,12475392.0,1.889187296910677e-05,0.0,17.98828125,12475392.0,32263.996152377997,0.0,-0.002135148737579584,0.0
0.0,1773842998.9406571,925.151616683,0.0,0.0,,1.1540856048597448e-09,0.0,0.0,0.0,0.0,219.3350830078125,12729344.0,1.2751648682751693e-05,0.0,18.09765625,12729344.0,32294.81713622446,0.0,-0.0009779311949387193,0.0
0.0,1773843010.7618632,936.977869014,0.0,0.0,,8.131907369701707e-10,0.0,0.0,0.0,0.0,241.12356567382812,12983296.0,1.813476046663709e-05,0.0,15.05078125,12983296.0,32330.27030984039,0.0,-0.0013152819592505693,0.0
0.0,1773843059.9821644,974.371462072,0.0,0.0,"{'_type': 'html-file', 'sha256': '4bfcab49c51ab26a3b7ade277d4948433863dc9f7f4c0431d3efe7abb760f02a', 'path': 'media/html/render_13237248_4bfcab49c51ab26a3b7a.html', 'size': 4721425.0}",5.954280402065137e-10,0.0,0.0,0.0,0.0,224.34205627441406,13237248.0,9.56173062149901e-06,0.0,15.990234375,13237248.0,32290.99396508268,0.0,-0.0009287233697250485,0.0
0.0,1773843060.1715348,986.410236963,0.005859375,0.0,,4.736712688746536e-10,0.0,0.0,0.0,0.0,210.7747344970703,13491200.0,8.582765076425858e-06,0.005859375,14.46875,13491200.0,32305.350468316807,0.001953125,-0.000833136320579797,0.0
0.0,1773843072.0204773,998.251316209,0.005859375,0.0,,4.07530592605454e-10,0.0,0.0,0.0,0.0,234.08602905273438,13745152.0,8.33479225548217e-06,0.005859375,18.078125,13745152.0,32214.65003510745,0.001953125,-0.0006333903293125331,0.0
0.0,1773843083.8614924,1010.070577924,0.0,0.0,,3.609596233022927e-10,0.0,0.0,0.0,0.0,235.97825622558594,13999104.0,4.5389610932033975e-06,0.0,19.060546875,13999104.0,32268.141384345796,0.0,-0.0005106792086735368,0.0
0.0,1773843095.680736,1021.901021087,0.00390625,0.0,,3.129707881743826e-10,0.0,0.0,0.0,0.0,235.02175903320312,14253056.0,6.498255515907658e-06,0.00390625,20.34765625,14253056.0,32310.91080957685,0.001953125,-0.00043453092803247273,0.0
0.0,1773843145.0517642,1059.441096311,0.0,0.0,"{'_type': 'html-file', 'sha256': 'e9758b4e146f5be8e9b0834d213b618ed97b8e00776da0b6436d6347a692cf89', 'path': 'media/html/render_14507008_e9758b4e146f5be8e9b0.html', 'size': 4729173.0}",2.7500415833436875e-10,0.0,0.0,0.0,0.0,237.19805908203125,14507008.0,3.3152841751871165e-06,0.0,18.310546875,14507008.0,32295.422269075407,0.0,-0.00033705492387525737,0.0
0.0,1773843145.2797465,1071.524940167,0.0,0.0,,2.2845790537129318e-10,0.0,0.0,0.0,0.0,263.54754638671875,14760960.0,5.15047759108711e-06,0.0,18.22265625,14760960.0,32288.659387728803,0.0,-0.0004042063665110618,0.0
0.0,1773843157.1353137,1083.337885982,0.0,0.0,,2.0676715895007192e-10,0.0,0.0,0.0,0.0,204.85446166992188,15014912.0,4.538089342531748e-06,0.0,16.796875,15014912.0,32218.99894896346,0.0,-0.000382051250198856,0.0
0.0,1773843168.9480863,1095.17154739,0.0,0.0,,1.8314422201015645e-10,0.0,0.0,0.0,0.0,196.6188507080078,15268864.0,7.229655693663517e-06,0.0,15.2109375,15268864.0,32324.058816906647,0.0,-0.0004778298025485128,0.0
0.0,1773843180.7818294,1106.974386644,0.0,0.0,,1.594822329753498e-10,0.0,0.0,0.0,0.0,237.857421875,15522816.0,5.759609393862775e-06,0.0,22.087890625,15522816.0,32281.131329828717,0.0,-0.0006084387423470616,0.0
0.0,1773843230.381485,1144.770794818,0.0078125,0.0,"{'_type': 'html-file', 'sha256': '10398ca4bd64b945122c1ac575ff7e4f9154251f1a9e122bd95126cdb663969a', 'path': 'media/html/render_15776768_10398ca4bd64b945122c.html', 'size': 4724001.0}",1.6283681347761814e-10,0.0,0.0,0.0,0.0,243.70802307128906,15776768.0,1.3590757589554414e-05,0.0078125,20.4765625,15776768.0,32388.66552907946,0.00390625,-0.0007230856572277844,0.0
0.0,1773843230.5751748,1156.793102708,0.005859375,0.0,,1.586207137860285e-10,0.0,0.0,0.0,0.0,245.01461791992188,16030720.0,1.1755430023185909e-05,0.005859375,21.123046875,16030720.0,32237.047349197226,0.001953125,-0.00110909272916615,0.0
0.0,1773843242.4034147,1168.631243688,0.0,0.0,,1.5072937342708315e-10,0.0,0.0,0.0,0.0,247.71815490722656,16284672.0,9.799715371627826e-06,0.0,19.955078125,16284672.0,32289.99646703836,0.0,-0.0009385933517478406,0.0
0.0,1773843254.241343,1180.459676589,0.0,0.0,,1.3383570640623788e-10,0.0,0.0,0.0,0.0,226.02960205078125,16538624.0,1.0777985153254122e-05,0.0,16.826171875,16538624.0,32275.76118445637,0.0,-0.0008365943795070052,0.0
0.0,1773843266.0698678,1192.303984559,0.0,0.0,,1.300617807897808e-10,0.0,0.0,0.0,0.0,240.83233642578125,16792576.0,1.5058506505738478e-05,0.0,18.615234375,16792576.0,32271.082104982765,0.0,-0.0010408886009827256,0.0
0.0,1773843315.6468563,1230.036168226,0.0,0.0,"{'_type': 'html-file', 'sha256': 'e58e6f229e28a0aee920972ba5755add52311a05b841473e302bd4fe423f2ac8', 'path': 'media/html/render_17046528_e58e6f229e28a0aee920.html', 'size': 4723325.0}",1.2534355497972882e-10,0.0,0.0,0.0,0.0,247.61923217773438,17046528.0,1.0046402167063206e-05,0.0,19.27734375,17046528.0,32232.25268830854,0.0,-0.0011185248149558902,0.0
0.0,1773843315.857838,1242.129643331,0.009765625,0.0,,1.1858487802829387e-10,0.0,0.0,0.0,0.0,250.87100219726562,17300480.0,4.905738023808226e-06,0.009765625,19.06640625,17300480.0,32361.06571054417,0.001953125,-0.0005826996057294309,0.0
0.0,1773843327.7399318,1253.94754272,0.0,0.0,,1.118171041869509e-10,0.0,0.0,0.0,0.0,244.83065795898438,17554432.0,6.367659807438031e-06,0.0,20.845703125,17554432.0,32107.54915395861,0.0,-0.000483743438962847,0.0
0.0,1773843339.5577052,1265.781325848,0.013671875,0.0,,1.0536083117074213e-10,0.0,0.0,0.0,0.0,253.5800323486328,17808384.0,1.1264075510553084e-05,0.013671875,19.35546875,17808384.0,32310.481515200703,0.001953125,-0.0007461063214577734,0.0
0.0,1773843351.3915765,1277.612485857,0.0,0.0,,9.925675559241398e-11,0.0,0.0,0.0,0.0,251.94558715820312,18062336.0,8.330654054589104e-06,0.0,19.380859375,18062336.0,32281.268296792816,0.0,-0.0008868587901815772,0.0
