eval/episode_dist,eval/episode_reward_survive,eval/episode_reward,eval/episode_success_easy,eval/episode_success,step,eval/episode_reward_ctrl,training/sps,eval/episode_reward_near,_timestamp,training/log_alpha,training/critic_loss,_step,training/actor_loss,render,eval/episode_success_hard,eval/episode_success_any,_runtime,eval/episode_reward_dist,training/entropy,training/alpha_loss
,,,,,,,,,1773852762.31583,,,0.0,,"{'path': 'media/html/render_0_d71dc2892ecd5b95acb2.html', 'size': 4765949.0, '_type': 'html-file', 'sha256': 'd71dc2892ecd5b95acb26d24bad1fa802c9eb7ea053743e4972d5eaf293cd312'}",,,58.590587712,,,
,,,,,,,,,1773852832.3938358,,,1.0,,"{'path': 'media/html/render_1_e8a43362c316712b1ba2.html', 'size': 4722801.0, '_type': 'html-file', 'sha256': 'e8a43362c316712b1ba29ab5d1dd0d89577b8f7eef6e93d23243412ac42aa58b'}",,,128.668553791,,,
179.3734893798828,0.0,0.0,14.068359375,0.0,793600.0,0.0,9707.715919424652,0.0,1773852832.6021016,0.0,23.990039825439453,793600.0,-50.68510437011719,,0.0,0.0,140.63240705,0.0,0.0,4.854424953460693
150.0364532470703,0.0,0.0,12.896484375,0.0,1047552.0,0.0,32611.90839742522,0.0,1773852844.3570747,0.0,4.020900726318359,1047552.0,-52.7108154296875,,0.0,0.0,152.349536722,0.0,0.0,0.007216617465019226
178.8856201171875,0.0,0.0078125,15.330078125,0.0078125,1301504.0,0.0,32794.69713652909,0.0,1773852856.0742202,0.0,1.0835212469100952,1301504.0,-31.34745216369629,,0.0,0.001953125,164.093453642,0.0,0.0,0.0020790910348296165
152.5538330078125,0.0,0.0,12.072265625,0.0,1555456.0,0.0,32652.560342385466,0.0,1773852867.8181875,0.0,0.2547608017921448,1555456.0,-14.298192977905273,,0.0,0.0,175.812072444,0.0,0.0,0.0005305105587467551
235.286865234375,0.0,0.015625,17.73828125,0.015625,1809408.0,0.0,32775.00552966272,0.0,1773852918.073258,0.0,0.10039316117763519,1809408.0,-8.124078750610352,"{'size': 4762481.0, '_type': 'html-file', 'sha256': 'af3d8e798aa0da09ea954c54deadfd4858acf875f9b8bc80c0d54192f5ec9523', 'path': 'media/html/render_1809408_af3d8e798aa0da09ea95.html'}",0.0,0.00390625,214.347951626,0.0,0.0,0.0004088325658813119
410.6501770019531,0.0,0.033203125,31.537109375,0.033203125,2063360.0,0.0,32648.83914396223,0.0,1773852918.2624412,0.0,0.03088042512536049,2063360.0,-3.208573341369629,,0.0,0.005859375,226.271386361,0.0,0.0,0.0003256294585298747
250.58206176757812,0.0,0.01171875,22.25,0.01171875,2317312.0,0.0,32724.80298815648,0.0,1773852929.9961238,0.0,0.00674799457192421,2317312.0,-0.9883140325546265,,0.0,0.001953125,237.994841233,0.0,0.0,0.00012364947178866714
295.4891357421875,0.0,0.0,25.7265625,0.0,2571264.0,0.0,32734.199216636338,0.0,1773852941.7194762,0.0,0.0017890186281874776,2571264.0,-0.36111658811569214,,0.0,0.0,249.723734897,0.0,0.0,5.053015047451481e-05
185.05630493164062,0.0,0.0,12.57421875,0.0,2825216.0,0.0,32740.48179825782,0.0,1773852953.4484289,0.0,0.00091148866340518,2825216.0,-0.2520354390144348,,0.0,0.0,261.456064355,0.0,0.0,1.137657727667829e-05
305.5707092285156,0.0,0.0,24.138671875,0.0,3079168.0,0.0,32700.101669244897,0.0,1773853002.9372213,0.0,0.0005043955170549452,3079168.0,-0.16142353415489197,"{'path': 'media/html/render_3079168_ef46c7b920f85cfa4a30.html', 'size': 4707977.0, '_type': 'html-file', 'sha256': 'ef46c7b920f85cfa4a303368c21cf28bdb03127868e309baee46ebe55658dec5'}",0.0,0.0,299.211915373,0.0,0.0,2.154159483325202e-05
208.2218475341797,0.0,0.013671875,18.654296875,0.013671875,3333120.0,0.0,32752.954492000623,0.0,1773853003.1349373,0.0,0.00025053496938198805,3333120.0,-0.10116703063249588,,0.0,0.001953125,311.172008668,0.0,0.0,4.529122634266969e-06
246.5159912109375,0.0,0.0,23.794921875,0.0,3587072.0,0.0,32596.185872263082,0.0,1773853014.8969247,0.0,0.00017267638759221882,3587072.0,-0.06641888618469238,,0.0,0.0,322.898293745,0.0,0.0,1.3185909665480722e-05
180.4580535888672,0.0,0.0,13.783203125,0.0,3841024.0,0.0,32728.832155913777,0.0,1773853026.6230402,0.0,0.00016466315719299018,3841024.0,-0.01479838602244854,,0.0,0.0,334.631507947,0.0,0.0,3.93813297705492e-06
181.9853973388672,0.0,0.0,9.1484375,0.0,4094976.0,0.0,32699.97216778803,0.0,1773853038.3562171,0.0,0.00010336606646887958,4094976.0,-0.017976004630327225,,0.0,0.0,346.35384741,0.0,0.0,-5.5717831855872646e-05
180.53248596191406,0.0,0.07421875,15.6015625,0.07421875,4348928.0,0.0,32768.743968503666,0.0,1773853087.9987595,0.0,0.00014659682346973568,4348928.0,-0.12465493381023407,"{'path': 'media/html/render_4348928_4524784ed7c2d66687f6.html', 'size': 4741585.0, '_type': 'html-file', 'sha256': '4524784ed7c2d66687f62ea28d1500721d00d0c7f978970e05db11af97b017d5'}",0.0,0.0078125,384.273456352,0.0,0.0,-1.6950403733062558e-05
184.84457397460938,0.0,0.0,12.001953125,0.0,4602880.0,0.0,32659.36638421212,0.0,1773853088.214974,0.0,0.0001836975570768118,4602880.0,-0.14999133348464966,,0.0,0.0,396.25337624,0.0,0.0,3.009992269653594e-06
