render,training/entropy,training/actor_loss,_timestamp,training/sps,_step,eval/episode_dist,eval/episode_success_any,_runtime,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward,eval/episode_success,eval/episode_success_hard,training/log_alpha,training/critic_loss,training/alpha_loss,eval/episode_reward_survive,step,eval/episode_reward_ctrl,eval/episode_success_easy
"{'size': 4702841.0, '_type': 'html-file', 'sha256': 'a1dcfb89473a65ec5ab860d56976a728900c2d922c331231f2cef8750a357912', 'path': 'media/html/render_5618688_a1dcfb89473a65ec5ab8.html'}",0.0,-0.002021415624767542,1773867345.3473897,31932.065012927495,5618688.0,223.82635498046875,0.0,470.968396442,0.0,0.0,0.0,0.0,0.0,0.0,2.8670063329627737e-05,3.8071055996624636e-07,0.0,5618688.0,0.0,18.408203125
,0.0,-0.0023217208217829466,1773867345.5400865,31914.825915457848,5872640.0,251.78927612304688,0.005859375,483.09620235,0.0,0.0,0.0390625,0.0390625,0.0,0.0,3.052817191928625e-05,1.4487716804012507e-08,0.0,5872640.0,0.0,19.412109375
,0.0,-0.003202460240572691,1773867357.4747195,31864.511714521286,6126592.0,276.34552001953125,0.005859375,495.005415391,0.0,0.0,0.021484375,0.021484375,0.0,0.0,4.208656173432246e-05,2.477672067513481e-09,0.0,6126592.0,0.0,22.59765625
,0.0,-0.004353536758571863,1773867369.3838165,31973.402445109197,6380544.0,241.04592895507812,0.005859375,506.92351542,0.0,0.0,0.03125,0.03125,0.0,0.0,5.0611855840543285e-05,1.1964179646994921e-09,0.0,6380544.0,0.0,18.5078125
,0.0,-0.0031767194159328938,1773867381.301811,31912.24710590452,6634496.0,238.7379150390625,0.0,518.84265826,0.0,0.0,0.0,0.0,0.0,0.0,3.0847648304188624e-05,7.533092483136272e-10,0.0,6634496.0,0.0,20.798828125
"{'size': 4701841.0, '_type': 'html-file', 'sha256': '60d3106ad6b8c0a8143296d00955e3ca884565cb6315a8f1614630e38fee23c1', 'path': 'media/html/render_6888448_60d3106ad6b8c0a81432.html'}",0.0,-0.004468629602342844,1773867432.2437592,31925.20082158054,6888448.0,221.80189514160156,0.0,557.864735791,0.0,0.0,0.0,0.0,0.0,0.0,5.7064917200477794e-05,5.562846294715484e-10,0.0,6888448.0,0.0,16.02734375
,0.0,-0.0033121651504188776,1773867432.468758,31887.76107024854,7142400.0,234.45639038085938,0.00390625,570.04163952,0.0,0.0,0.009765625,0.009765625,0.0,0.0,3.390332494745962e-05,4.6220272054142697e-10,0.0,7142400.0,0.0,19.90234375
,0.0,-0.0029954477213323116,1773867444.4196262,31826.165158067583,7396352.0,248.28453063964844,0.005859375,581.955082879,0.0,0.0,0.0234375,0.0234375,0.0,0.0,3.7532885471591726e-05,3.5267386233606146e-10,0.0,7396352.0,0.0,18.23046875
,0.0,-0.003115828149020672,1773867456.3335764,31940.14656571541,7650304.0,100.17185974121094,0.0,593.873629338,0.0,0.0,0.0,0.0,0.0,0.0,2.8111544452258386e-05,3.1464267302716564e-10,0.0,7650304.0,0.0,7.6796875
,0.0,-0.003746935399249196,1773867468.2521234,31945.822374944466,7904256.0,258.11956787109375,0.001953125,605.781216951,0.0,0.0,0.00390625,0.00390625,0.0,0.0,6.124968058429658e-05,2.8134597429563257e-10,0.0,7904256.0,0.0,20.0625
"{'_type': 'html-file', 'sha256': '5a7d94934cd20e36acf8b534d56cfa358ef14a5d4fbfd67c1af6eb04c26f033e', 'path': 'media/html/render_8158208_5a7d94934cd20e36acf8.html', 'size': 4698441.0}",0.0,-0.005479028914123774,1773867518.1410828,31965.225395868125,8158208.0,259.4368591308594,0.001953125,643.762073863,0.0,0.0,0.00390625,0.00390625,0.0,0.0,6.509108789032325e-05,2.5354918165021445e-10,0.0,8158208.0,0.0,22.955078125
,0.0,-0.0050843567587435246,1773867518.3483505,31947.34105578914,8412160.0,251.0849609375,0.009765625,655.905539683,0.0,0.0,0.05078125,0.05078125,0.0,0.0,5.124071685713716e-05,2.311870000992755e-10,0.0,8412160.0,0.0,20.369140625
,0.0,-0.004975740797817707,1773867530.2840197,31880.44739422738,8666112.0,247.99346923828125,0.005859375,667.814788654,0.0,0.0,0.037109375,0.037109375,0.0,0.0,5.635255729430355e-05,2.0280671586547783e-10,0.0,8666112.0,0.0,19.841796875
,0.0,-0.0044819945469498634,1773867542.1927714,31970.899566680495,8920064.0,261.39495849609375,0.005859375,679.720179006,0.0,0.0,0.046875,0.046875,0.0,0.0,5.544969826587476e-05,1.7214810132948344e-10,0.0,8920064.0,0.0,26.529296875
,0.0,-0.004599503707140684,1773867554.0987208,31970.33532153459,9174016.0,242.8535614013672,0.005859375,691.631949751,0.0,0.0,0.05078125,0.05078125,0.0,0.0,5.056970985606313e-05,1.586324543945139e-10,0.0,9174016.0,0.0,18.974609375
"{'size': 4717417.0, '_type': 'html-file', 'sha256': 'a07f30572897caaad941c2ac2ca611fa1246657d2146552ebba050a6cc8fb993', 'path': 'media/html/render_9427968_a07f30572897caaad941.html'}",0.0,-0.0057886638678610325,1773867603.659843,31965.057523286974,9427968.0,250.18019104003906,0.005859375,729.280848741,0.0,0.0,0.056640625,0.056640625,0.0,0.0,7.145474955905229e-05,1.555203327230359e-10,0.0,9427968.0,0.0,22.4765625
,0.0,-0.005348546430468559,1773867603.8811696,31935.134372217504,9681920.0,264.14910888671875,0.0078125,741.462940462,0.0,0.0,0.10546875,0.10546875,0.0,0.0,5.204617264098488e-05,1.4508859391693107e-10,0.0,9681920.0,0.0,22.986328125
,0.0,-0.006089545786380768,1773867615.8415446,31774.404704399374,9935872.0,260.80084228515625,0.001953125,753.375506373,0.0,0.0,0.0234375,0.0234375,0.0,0.0,9.450295328861102e-05,1.3999522374685824e-10,0.0,9935872.0,0.0,20.970703125
,0.0,-0.009046060033142567,1773867627.753915,31957.32674332211,10189824.0,265.61712646484375,0.0078125,765.285528058,0.0,0.0,0.037109375,0.037109375,0.0,0.0,9.614503505872563e-05,1.3295425871362454e-10,0.0,10189824.0,0.0,20.458984375
,0.0,-0.00891791470348835,1773867639.6639547,31962.561705819222,10443776.0,268.95001220703125,0.00390625,777.184071991,0.0,0.0,0.021484375,0.021484375,0.0,0.0,0.0001052589068422094,1.2045436870167237e-10,0.0,10443776.0,0.0,22.849609375
"{'_type': 'html-file', 'sha256': '8b29f1bf73276fa175797019ca821dea0749ec59ab2ac2e716ce5515be856b18', 'path': 'media/html/render_10697728_8b29f1bf73276fa17579.html', 'size': 4700385.0}",0.0,-0.008210473693907261,1773867689.7144265,31988.823750017495,10697728.0,286.1600341796875,0.001953125,815.33542942,0.0,0.0,0.013671875,0.013671875,0.0,0.0,9.741255780681968e-05,1.159340193290781e-10,0.0,10697728.0,0.0,23.03125
,0.0,-0.00979622732847929,1773867689.946822,32006.318901483424,10951680.0,268.7947998046875,0.001953125,827.505604675,0.0,0.0,0.005859375,0.005859375,0.0,0.0,0.0001034742672345601,1.1384411469084199e-10,0.0,10951680.0,0.0,25.76953125
,0.0,-0.008722358383238316,1773867701.884004,31846.303771072256,11205632.0,268.98248291015625,0.001953125,839.402238685,0.0,0.0,0.009765625,0.009765625,0.0,0.0,8.924329449655488e-05,1.1069746508329814e-10,0.0,11205632.0,0.0,23.052734375
,0.0,-0.010366711765527725,1773867713.7807548,32009.640151398133,11459584.0,270.00872802734375,0.001953125,851.303359055,0.0,0.0,0.01953125,0.01953125,0.0,0.0,0.0001416486338712275,1.0697744079468663e-10,0.0,11459584.0,0.0,22.859375
,0.0,-0.010279755108058453,1773867725.681886,31976.102499865436,11713536.0,250.72442626953125,0.00390625,863.204659313,0.0,0.0,0.013671875,0.013671875,0.0,0.0,0.0001027833204716444,1.0112603809897536e-10,0.0,11713536.0,0.0,20.7578125
"{'_type': 'html-file', 'sha256': 'db558416a8c9535b12158ff72649e4fc4ddd3c28b3ee37d3139bdd6fa74ec8e8', 'path': 'media/html/render_11967488_db558416a8c9535b1215.html', 'size': 4705437.0}",0.0,-0.010566999204456806,1773867775.8199816,31999.44197951024,11967488.0,257.68792724609375,0.0,901.440955292,0.0,0.0,0.0,0.0,0.0,0.0,0.00011372568405931816,9.552280494373733e-11,0.0,11967488.0,0.0,20.322265625
,0.0,-0.008925198577344418,1773867776.0426838,31934.557984647694,12221440.0,265.1642761230469,0.00390625,913.584062759,0.0,0.0,0.005859375,0.005859375,0.0,0.0,9.822972788242623e-05,9.156945340871303e-11,0.0,12221440.0,0.0,22.369140625
,0.0,-0.0106097012758255,1773867787.9626455,31958.881997329518,12475392.0,262.33258056640625,0.001953125,925.486256669,0.0,0.0,0.015625,0.015625,0.0,0.0,0.00012201651406940073,9.098404668561599e-11,0.0,12475392.0,0.0,21.912109375
,0.0,-0.010781633667647839,1773867799.8648164,31962.318091942267,12729344.0,281.33624267578125,0.001953125,937.387034155,0.0,0.0,0.0078125,0.0078125,0.0,0.0,0.00012797706585843116,8.974210263801297e-11,0.0,12729344.0,0.0,20.533203125
,0.0,-0.011305759660899639,1773867811.7654898,32001.100362651454,12983296.0,291.5963134765625,0.001953125,949.288729949,0.0,0.0,0.005859375,0.005859375,0.0,0.0,0.00011229855590499938,7.895805537172507e-11,0.0,12983296.0,0.0,22.458984375
"{'path': 'media/html/render_13237248_a6737b525d43100afaed.html', 'size': 4767601.0, '_type': 'html-file', 'sha256': 'a6737b525d43100afaedb9278b21a990a0f5b4efb9e7f26e4ac22f1e2426b768'}",0.0,-0.010846785269677639,1773867861.8949947,31965.675303080672,13237248.0,112.02841186523438,0.0,987.515985777,0.0,0.0,0.0,0.0,0.0,0.0,0.00012242420052643865,1.4429229512613606e-11,0.0,13237248.0,0.0,10.02734375
,0.0,-0.010972672142088413,1773867862.1119292,31981.687387284383,13491200.0,106.28155517578125,0.0,999.681850635,0.0,0.0,0.0,0.0,0.0,0.0,0.00011257923324592412,-5.5780376845282476e-11,0.0,13491200.0,0.0,9.583984375
,0.0,-0.010770010761916637,1773867874.060361,31805.024405845186,13745152.0,204.604248046875,0.0,1011.596108009,0.0,0.0,0.0,0.0,0.0,0.0,0.00011919790267711505,2.348753830316852e-11,0.0,13745152.0,0.0,18.060546875
,0.0,-0.009976639412343502,1773867885.9744709,31967.612255084976,13999104.0,218.765625,0.005859375,1023.496694255,0.0,0.0,0.017578125,0.017578125,0.0,0.0,0.00011401921801734716,5.1272951162584235e-11,0.0,13999104.0,0.0,19.40625
,0.0,-0.00831232313066721,1773867897.8750963,31971.664400143873,14253056.0,220.13418579101562,0.001953125,1035.407409866,0.0,0.0,0.001953125,0.001953125,0.0,0.0,8.652727410662919e-05,5.236292996424474e-11,0.0,14253056.0,0.0,19.439453125
"{'sha256': 'e58462381a925037f9cb11a19435d8002ee0f0c826413bca4acf43fe6ba38952', 'path': 'media/html/render_14507008_e58462381a925037f9cb.html', 'size': 4686805.0, '_type': 'html-file'}",0.0,-0.006905397865921259,1773867948.020106,31968.934390792914,14507008.0,239.25839233398438,0.001953125,1073.641059312,0.0,0.0,0.013671875,0.013671875,0.0,0.0,7.477559120161459e-05,5.704147917895419e-11,0.0,14507008.0,0.0,17.3203125
,0.0,-0.006727754138410091,1773867948.2242312,31978.23944659175,14760960.0,228.05661010742188,0.0,1085.770244118,0.0,0.0,0.0,0.0,0.0,0.0,8.050120231928304e-05,5.778962031133261e-11,0.0,14760960.0,0.0,19.95703125
,0.0,-0.00665042269974947,1773867960.148362,31942.90135639308,15014912.0,241.72799682617188,0.001953125,1097.670527425,0.0,0.0,0.001953125,0.001953125,0.0,0.0,8.743786020204425e-05,5.918022322193295e-11,0.0,15014912.0,0.0,20.861328125
,0.0,-0.007214411161839962,1773867972.049176,31961.284212953986,15268864.0,255.24267578125,0.001953125,1109.582211878,0.0,0.0,0.01171875,0.01171875,0.0,0.0,8.502630225848407e-05,6.17852158324439e-11,0.0,15268864.0,0.0,20.115234375
,0.0,-0.007485058158636093,1773867983.960719,31972.294911456876,15522816.0,275.079345703125,0.001953125,1121.469316243,0.0,0.0,0.00390625,0.00390625,0.0,0.0,9.466877963859588e-05,6.071048525013722e-11,0.0,15522816.0,0.0,24.6328125
"{'_type': 'html-file', 'sha256': '953f507c2b95304f74b13b5df76ea9340ca21675bb66e4f53813177070511bf6', 'path': 'media/html/render_15776768_953f507c2b95304f74b1.html', 'size': 4693561.0}",0.0,-0.008008236065506935,1773868033.5942934,32020.237554118135,15776768.0,288.00067138671875,0.0,1159.215261661,0.0,0.0,0.0,0.0,0.0,0.0,9.822700667427853e-05,5.6903232126259695e-11,0.0,15776768.0,0.0,20.078125
,0.0,-0.007513869553804398,1773868033.7893891,31936.294870107376,16030720.0,256.2100830078125,0.0,1171.317212521,0.0,0.0,0.0,0.0,0.0,0.0,9.126857185037807e-05,5.064368022167365e-11,0.0,16030720.0,0.0,21.1796875
,0.0,-0.0067225187085568905,1773868045.69579,31990.63764281182,16284672.0,267.19732666015625,0.00390625,1183.218567917,0.0,0.0,0.01171875,0.01171875,0.0,0.0,7.109300349839032e-05,4.6493725536222996e-11,0.0,16284672.0,0.0,23.60546875
,0.0,-0.006445447448641062,1773868057.5971124,31994.692744500266,16538624.0,277.8031921386719,0.0,1195.116278487,0.0,0.0,0.0,0.0,0.0,0.0,7.571610331069678e-05,4.813552681448563e-11,0.0,16538624.0,0.0,21.115234375
,0.0,-0.0061651053838431835,1773868069.4945915,31983.49278783501,16792576.0,273.868408203125,0.00390625,1207.027091394,0.0,0.0,0.0078125,0.0078125,0.0,0.0,7.229681796161458e-05,4.981559262318136e-11,0.0,16792576.0,0.0,24.1328125
"{'path': 'media/html/render_17046528_d189cbafe25b9a7e73c0.html', 'size': 4699761.0, '_type': 'html-file', 'sha256': 'd189cbafe25b9a7e73c08c5b006f14edd38da160044bed677d46c890a7a61a85'}",0.0,-0.0064932433888316154,1773868120.7955008,31958.05065591821,17046528.0,252.04290771484375,0.0,1246.416530298,0.0,0.0,0.0,0.0,0.0,0.0,8.169462671503425e-05,4.827706984178448e-11,0.0,17046528.0,0.0,17.529296875
,0.0,-0.006091731134802103,1773868121.023877,32084.484728215994,17300480.0,261.6673278808594,0.00390625,1258.587236047,0.0,0.0,0.025390625,0.025390625,0.0,0.0,7.191073382273316e-05,4.518575791312429e-11,0.0,17300480.0,0.0,22.421875
,0.0,-0.004851220175623894,1773868132.9656205,31864.007457687192,17554432.0,268.0001220703125,0.00390625,1270.476603091,0.0,0.0,0.00390625,0.00390625,0.0,0.0,4.9909100198419765e-05,4.60997455487e-11,0.0,17554432.0,0.0,20.1015625
,0.0,-0.005801795050501823,1773868144.8550916,32030.20819036065,17808384.0,287.2637939453125,0.001953125,1282.382432914,0.0,0.0,0.001953125,0.001953125,0.0,0.0,8.200109004974365e-05,4.637071282509453e-11,0.0,17808384.0,0.0,21.896484375
,0.0,-0.0061914874240756035,1773868156.760846,31985.01793391955,18062336.0,274.68316650390625,0.0,1294.272161529,0.0,0.0,0.0,0.0,0.0,0.0,6.848473276477307e-05,4.605147166381052e-11,0.0,18062336.0,0.0,22.423828125
