eval/episode_success_easy,eval/episode_reward,eval/episode_success_hard,training/actor_loss,training/log_alpha,training/sps,training/entropy,_step,eval/episode_success,render,eval/episode_reward_ctrl,eval/episode_reward_survive,eval/episode_reward_near,_timestamp,eval/episode_dist,_runtime,eval/episode_success_any,eval/episode_reward_dist,training/alpha_loss,step,training/critic_loss
,,,,,,,0.0,,"{'sha256': '2e8eb4554d4f08bfcec912800e0dc3e49b94a69cb1d2f72d8e5c205ac484cb75', 'path': 'media/html/render_0_2e8eb4554d4f08bfcec9.html', 'size': 4761425.0, '_type': 'html-file'}",,,,1773845666.3396459,,57.750613498,,,,,
,,,,,,,1.0,,"{'_type': 'html-file', 'sha256': '8ab20eb3b8742455f73b4a5e1e8f1a5a026243f4f8cefa92f26ca69bbd1665aa', 'path': 'media/html/render_1_8ab20eb3b8742455f73b.html', 'size': 4743857.0}",,,,1773845735.731603,,127.142585362,,,,,
18.646484375,0.0,0.0,-65.2464370727539,0.0,9843.235234681248,0.0,793600.0,0.0,,0.0,0.0,0.0,1773845735.9100828,216.91195678710938,139.024536456,0.0,0.0,5.041696548461914,793600.0,35.647274017333984
20.095703125,0.005859375,0.0,-46.05972671508789,0.0,32823.60023018235,0.0,1047552.0,0.005859375,,0.0,0.0,0.0,1773845747.6129947,244.6219482421875,150.683734628,0.001953125,0.0,0.028302041813731194,1047552.0,3.334984064102173
15.34765625,0.05078125,0.0,-32.62498092651367,0.0,33041.15846218659,0.0,1301504.0,0.05078125,,0.0,0.0,0.0,1773845759.272388,176.79541015625,162.373587894,0.001953125,0.0,0.0011384407989680767,1301504.0,1.1433275938034058
19.287109375,0.01953125,0.0,-14.452781677246094,0.0,32870.180542591086,0.0,1555456.0,0.01953125,,0.0,0.0,0.0,1773845770.9620814,255.803466796875,174.04663749,0.001953125,0.0,0.0009127880912274122,1555456.0,0.34275001287460327
28.373046875,0.162109375,0.0,-6.089977741241455,0.0,32969.720079881205,0.0,1809408.0,0.162109375,"{'sha256': 'b099e5fbed8c696c370a30608fe41203909c6ce10e072ddcddec8bc73a832fed', 'path': 'media/html/render_1809408_b099e5fbed8c696c370a.html', 'size': 4754773.0, '_type': 'html-file'}",0.0,0.0,0.0,1773845820.1035867,325.88433837890625,211.5144842,0.0078125,0.0,0.0003402845759410411,1809408.0,0.09429384768009186
23.263671875,0.05859375,0.0,-2.5251948833465576,0.0,32917.80269144551,0.0,2063360.0,0.05859375,,0.0,0.0,0.0,1773845820.2898376,305.6219787597656,223.384898302,0.013671875,0.0,0.00023670804512221366,2063360.0,0.03254876285791397
18.650390625,0.0,0.0,-0.7002835869789124,0.0,32941.30286844743,0.0,2317312.0,0.0,,0.0,0.0,0.0,1773845831.9733856,228.62979125976562,235.048895185,0.0,0.0,0.0001282260927837342,2317312.0,0.007941803894937038
15.28515625,0.0,0.0,-0.07982803881168365,0.0,32989.28064473109,0.0,2571264.0,0.0,,0.0,0.0,0.0,1773845843.637482,149.45074462890625,246.718899264,0.0,0.0,4.1730883822310716e-05,2571264.0,0.001471885247156024
6.107421875,0.0,0.0,0.0447273887693882,0.0,32988.382572638344,0.0,2825216.0,0.0,,0.0,0.0,0.0,1773845855.307407,60.16765594482422,258.39108948,0.0,0.0,2.7348625735612586e-05,2825216.0,0.000226346222916618
15.02734375,0.005859375,0.0,0.009083119221031666,0.0,32962.58414961604,0.0,3079168.0,0.005859375,"{'_type': 'html-file', 'sha256': '13b80c953684777c0f354be10292f52a6318fb7a9c0e3c4d6fa74783cf679630', 'path': 'media/html/render_3079168_13b80c953684777c0f35.html', 'size': 4710913.0}",0.0,0.0,0.0,1773845904.4551194,170.10638427734375,295.866036457,0.001953125,0.0,3.35520671796985e-05,3079168.0,7.501980871893466e-05
16.40234375,0.03125,0.0,0.002561009954661131,0.0,32982.99006006569,0.0,3333120.0,0.03125,,0.0,0.0,0.0,1773845904.6805189,187.49465942382812,307.793618209,0.0078125,0.0,5.698132099496434e-07,3333120.0,5.253269773675129e-05
19.333984375,0.0,0.0,0.0018114669946953654,0.0,32851.65151335846,0.0,3587072.0,0.0,,0.0,0.0,0.0,1773845916.3820937,220.80714416503906,319.456723677,0.0,0.0,8.394727046834305e-08,3587072.0,2.957478500320576e-05
13.611328125,0.00390625,0.0,-0.00028196664061397314,0.0,33004.557400514044,0.0,3841024.0,0.00390625,,0.0,0.0,0.0,1773845928.0448375,177.5732421875,331.129487711,0.001953125,0.0,7.208412000636599e-08,3841024.0,2.989531094499398e-05
14.1015625,0.009765625,0.0,-0.002059099031612277,0.0,32953.49781068382,0.0,4094976.0,0.009765625,,0.0,0.0,0.0,1773845939.7181475,199.64004516601562,342.792083121,0.001953125,0.0,3.1431921510005623e-09,4094976.0,3.189162816852331e-05
12.189453125,0.0078125,0.0,-0.002323796274140477,0.0,33018.03967483264,0.0,4348928.0,0.0078125,"{'sha256': '51e119749d56bd22fe6c91910aab6acb8a42900f19fc610ff926eae4a511141d', 'path': 'media/html/render_4348928_51e119749d56bd22fe6c.html', 'size': 4711141.0, '_type': 'html-file'}",0.0,0.0,0.0,1773845988.2881563,183.1197052001953,379.699109725,0.00390625,0.0,2.67842881207514e-09,4348928.0,3.741841283044778e-05
18.361328125,0.044921875,0.0,-0.0023384257219731808,0.0,32904.281175890006,0.0,4602880.0,0.044921875,,0.0,0.0,0.0,1773845988.4740472,209.02964782714844,391.583785755,0.005859375,0.0,1.3030659884449847e-09,4602880.0,3.8472076994366944e-05
17.953125,0.0,0.0,-0.0029082479886710644,0.0,32861.940923643044,0.0,4856832.0,0.0,,0.0,0.0,0.0,1773846000.1724582,226.9676055908203,403.258716901,0.0,0.0,8.445866783723943e-10,4856832.0,4.021774293505587e-05
15.009765625,0.0,0.0,-0.002198924543336034,0.0,32962.09656226197,0.0,5110784.0,0.0,,0.0,0.0,0.0,1773846011.8472724,182.13534545898438,415.151148433,0.0,0.0,5.392611357457611e-10,5110784.0,2.605534427857492e-05
17.64453125,0.017578125,0.0,-0.0026699909940361977,0.0,32049.699419938028,0.0,5364736.0,0.017578125,,0.0,0.0,0.0,1773846023.7392268,211.55300903320312,427.026887683,0.00390625,0.0,3.6030550765175917e-10,5364736.0,3.945882781408727e-05
14.765625,0.009765625,0.0,-0.0029974677599966526,0.0,32103.314452484767,0.0,5618688.0,0.009765625,"{'path': 'media/html/render_5618688_d1a51a4f97504f640043.html', 'size': 4703205.0, '_type': 'html-file', 'sha256': 'd1a51a4f97504f640043267a4eba3a6b0e1184b916d184281707e2db89966eee'}",0.0,0.0,0.0,1773846073.404366,196.28436279296875,464.815279561,0.001953125,0.0,4.711797618739411e-10,5618688.0,4.7309527872130275e-05
16.9765625,0.01171875,0.0,-0.0037357390392571688,0.0,32059.12006706835,0.0,5872640.0,0.01171875,,0.0,0.0,0.0,1773846073.5934052,203.94219970703125,476.902679029,0.001953125,0.0,3.9858685796367865e-10,5872640.0,4.6936547732912004e-05
14.357421875,0.0078125,0.0,-0.0032004080712795258,0.0,32045.03359143306,0.0,6126592.0,0.0078125,,0.0,0.0,0.0,1773846085.4911716,185.6102294921875,488.775087187,0.001953125,0.0,3.184205399353601e-10,6126592.0,4.9979302275460213e-05
18.16796875,0.017578125,0.0,-0.004195137415081263,0.0,32141.934517898997,0.0,6380544.0,0.017578125,,0.0,0.0,0.0,1773846097.3636162,212.05865478515625,500.67159898,0.005859375,0.0,2.9880850571650797e-10,6380544.0,5.284076542011462e-05
19.08203125,0.009765625,0.0,-0.003824525745585561,0.0,32028.626724976715,0.0,6634496.0,0.009765625,,0.0,0.0,0.0,1773846109.260285,214.54733276367188,512.56398404,0.001953125,0.0,3.283975869017297e-10,6634496.0,4.556541898637079e-05
15.212890625,0.0,0.0,-0.0032609421759843826,0.0,32052.573451855777,0.0,6888448.0,0.0,"{'sha256': 'a8c44c58da2f9380cd702e8a7e9fc5b39db30b6232554550f1f76bad3211ac77', 'path': 'media/html/render_6888448_a8c44c58da2f9380cd70.html', 'size': 4711781.0, '_type': 'html-file'}",0.0,0.0,0.0,1773846159.0233505,211.9813232421875,550.434267836,0.0,0.0,2.003438387410128e-10,6888448.0,4.2173091060249135e-05
15.703125,0.0078125,0.0,-0.003114744322374463,0.0,32056.673214765637,0.0,7142400.0,0.0078125,,0.0,0.0,0.0,1773846159.2482069,211.44659423828125,562.583753022,0.001953125,0.0,1.6782639167267632e-10,7142400.0,4.3339543481124565e-05
17.36328125,0.025390625,0.0,-0.002724402118474245,0.0,31940.863953271873,0.0,7396352.0,0.025390625,,0.0,0.0,0.0,1773846171.1724167,245.24917602539062,574.461083909,0.00390625,0.0,1.5326165336837505e-10,7396352.0,3.3254073059652e-05
17.748046875,0.0,0.0,-0.002879302715882659,0.0,32097.43359326538,0.0,7650304.0,0.0,,0.0,0.0,0.0,1773846183.0495875,233.66616821289062,586.344905019,0.0,0.0,1.6001923397457318e-10,7650304.0,4.1185230656992644e-05
17.642578125,0.0,0.0,-0.0028666555881500244,0.0,32087.92758621791,0.0,7904256.0,0.0,,0.0,0.0,0.0,1773846194.9335625,219.55819702148438,598.216087976,0.0,0.0,2.1619943335604574e-10,7904256.0,3.203594678780064e-05
13.4921875,0.0,0.0,-0.002982016885653138,0.0,32139.48470608001,0.0,8158208.0,0.0,"{'sha256': '378d083c36a53a6034666c793e451e8afbdd8839dc6ff5de4e270e5c162ef13a', 'path': 'media/html/render_8158208_378d083c36a53a603466.html', 'size': 4716737.0, '_type': 'html-file'}",0.0,0.0,0.0,1773846244.7512667,195.489990234375,636.162213006,0.0,0.0,1.1141380873436191e-10,8158208.0,4.301778972148895e-05
15.7265625,0.0078125,0.0,-0.003665057709440589,0.0,32058.352008538044,0.0,8412160.0,0.0078125,,0.0,0.0,0.0,1773846244.9539495,204.23727416992188,648.266941645,0.001953125,0.0,1.316149689234436e-10,8412160.0,4.766686834045686e-05
18.435546875,0.01171875,0.0,-0.004233385436236858,0.0,32048.693630527887,0.0,8666112.0,0.01171875,,0.0,0.0,0.0,1773846256.8554554,205.37310791015625,660.146223547,0.001953125,0.0,1.7503501426041623e-10,8666112.0,5.8422469010110945e-05
15.7890625,0.0,0.0,-0.004184314049780369,0.0,32108.782227209376,0.0,8920064.0,0.0,,0.0,0.0,0.0,1773846268.7346742,195.5036163330078,672.012393565,0.0,0.0,1.2614544131483996e-10,8920064.0,5.121414505993016e-05
