eval/episode_success_easy,eval/episode_success,training/alpha_loss,_timestamp,_step,eval/episode_reward,training/actor_loss,training/critic_loss,eval/episode_reward_near,training/log_alpha,eval/episode_reward_survive,training/sps,eval/episode_dist,step,_runtime,eval/episode_reward_dist,render,eval/episode_reward_ctrl,training/entropy,eval/episode_success_any,eval/episode_success_hard
,,,1773849208.9887433,0.0,,,,,,,,,,57.762142261,,"{'size': 4734513.0, '_type': 'html-file', 'sha256': 'b78c1e5d3925b84a124b7af2ccef6baaa59c474e570d113103254cbaf5758b03', 'path': 'media/html/render_0_b78c1e5d3925b84a124b.html'}",,,,
,,,1773849281.9323676,1.0,,,,,,,,,,130.705674016,,"{'_type': 'html-file', 'sha256': '280e12782fbb2195b5d77ec8d49d123ecbd436b9313add955987a75f92928357', 'path': 'media/html/render_1_280e12782fbb2195b5d7.html', 'size': 4685125.0}",,,,
10.2421875,0.0,5.042710304260254,1773849282.1371524,793600.0,0.0,-70.1607666015625,42.531124114990234,0.0,0.0,0.0,9199.114494351788,139.99566650390625,793600.0,142.569397317,0.0,,0.0,0.0,0.0,0.0
12.005859375,0.0,0.012497957795858383,1773849293.7955983,1047552.0,0.0,-82.36271667480469,17.96577262878418,0.0,0.0,0.0,33008.82147011544,157.94459533691406,1047552.0,154.171555271,0.0,,0.0,0.0,0.0,0.0
17.517578125,0.0,0.0018528796499595046,1773849305.397727,1301504.0,0.0,-49.477813720703125,6.500484466552734,0.0,0.0,0.0,33255.380809042676,193.1976776123047,1301504.0,165.804000539,0.0,,0.0,0.0,0.0,0.0
19.966796875,0.017578125,0.0011154420208185911,1773849317.0301714,1555456.0,0.017578125,-30.693065643310547,1.9510881900787354,0.0,0.0,0.0,33094.667994655894,233.37167358398438,1555456.0,177.415718103,0.0,,0.0,0.0,0.00390625,0.0
17.5,0.009765625,0.000726330850739032,1773849366.2979999,1809408.0,0.009765625,-14.520406723022461,0.4780285954475403,0.0,0.0,0.0,33203.5552291992,234.4682159423828,1809408.0,215.071400804,0.0,"{'_type': 'html-file', 'sha256': '3b4b92ad9ff1d4c694e814ee4567f7f23bd114a575a8f41efa8c50278f79f780', 'path': 'media/html/render_1809408_3b4b92ad9ff1d4c694e8.html', 'size': 4756713.0}",0.0,0.0,0.001953125,0.0
29.3671875,0.03515625,0.0004716426774393767,1773849366.4846263,2063360.0,0.03515625,-4.599534511566162,0.09680579602718353,0.0,0.0,0.0,33125.85374480247,319.7070007324219,2063360.0,226.885747422,0.0,,0.0,0.0,0.001953125,0.0
19.65625,0.03125,0.00018551845278125256,1773849378.1118972,2317312.0,0.03125,-1.2068601846694946,0.02043452300131321,0.0,0.0,0.0,33159.78831717805,286.53497314453125,2317312.0,238.501776928,0.0,,0.0,0.0,0.00390625,0.0
23.4609375,0.0,7.01862300047651e-05,1773849389.7279515,2571264.0,0.0,-0.33230799436569214,0.004819886293262243,0.0,0.0,0.0,33199.383502365265,264.6633605957031,2571264.0,250.108331685,0.0,,0.0,0.0,0.0,0.0
17.916015625,0.0,3.032301719940733e-05,1773849401.33447,2825216.0,0.0,-0.07439975440502167,0.0011200587032362819,0.0,0.0,0.0,33241.09509601483,225.12002563476562,2825216.0,261.724564713,0.0,,0.0,0.0,0.0,0.0
20.619140625,0.0,2.5109991838689893e-05,1773849450.9849563,3079168.0,0.0,-0.005224831867963076,0.00022902338241692632,0.0,0.0,0.0,33188.02962903878,216.62229919433594,3079168.0,299.758297123,0.0,"{'path': 'media/html/render_3079168_dbcbb065a451173f6076.html', 'size': 4727697.0, '_type': 'html-file', 'sha256': 'dbcbb065a451173f6076d83645234d611dd7cc40d2a69dff479bee8ec5cb33a4'}",0.0,0.0,0.0,0.0
20.544921875,0.01171875,3.101527545368299e-05,1773849451.1765325,3333120.0,0.01171875,-0.000606179644819349,9.078590665012598e-05,0.0,0.0,0.0,33282.792035179365,263.2815856933594,3333120.0,311.597660341,0.0,,0.0,0.0,0.001953125,0.0
21.904296875,0.0,2.7453702386992518e-06,1773849462.823619,3587072.0,0.0,-0.0027066445909440517,6.502262112917379e-05,0.0,0.0,0.0,33077.0878590363,253.6353759765625,3587072.0,323.196293383,0.0,,0.0,0.0,0.0,0.0
22.681640625,0.025390625,4.2585249104831746e-08,1773849474.4222853,3841024.0,0.025390625,-0.0036089872010052204,6.500427844002843e-05,0.0,0.0,0.0,33263.426269793876,269.1358947753906,3841024.0,334.820468079,0.0,,0.0,0.0,0.001953125,0.0
16.583984375,0.0,-1.378951530739414e-08,1773849486.0464416,4094976.0,0.0,-0.005878782831132412,9.046690684044734e-05,0.0,0.0,0.0,33161.90572907137,196.26544189453125,4094976.0,346.42177386,0.0,,0.0,0.0,0.0,0.0
17.341796875,0.0,-1.579679165253367e-09,1773849535.3805401,4348928.0,0.0,-0.005977110005915165,9.354630310554057e-05,0.0,0.0,0.0,33265.75329356607,168.88246154785156,4348928.0,384.153888876,0.0,"{'_type': 'html-file', 'sha256': 'be71db77aae602f0dfb275f5820cb0037b91e0a91d9220cb42207c9fe4d5ff42', 'path': 'media/html/render_4348928_be71db77aae602f0dfb2.html', 'size': 4706077.0}",0.0,0.0,0.0,0.0
16.90234375,0.0,-3.9494111092608364e-08,1773849535.635775,4602880.0,0.0,-0.00569029338657856,7.996294880285859e-05,0.0,0.0,0.0,33126.79022538898,255.08645629882812,4602880.0,396.03648766,0.0,,0.0,0.0,0.0,0.0
13.818359375,0.0,4.4016111644396005e-08,1773849547.2625575,4856832.0,0.0,-0.00613561924546957,7.342110620811582e-05,0.0,0.0,0.0,33164.86704911359,170.263671875,4856832.0,407.661175853,0.0,,0.0,0.0,0.0,0.0
18.240234375,0.00390625,1.8613611985074385e-08,1773849558.8865519,5110784.0,0.00390625,-0.006019807420670986,8.135307143675163e-05,0.0,0.0,0.0,33153.27156544668,228.49661254882812,5110784.0,419.484501389,0.0,,0.0,0.0,0.001953125,0.0
21.8125,0.0,5.614073206317016e-09,1773849570.710628,5364736.0,0.0,-0.004825579468160868,5.8231580624124035e-05,0.0,0.0,0.0,32305.700260653142,266.9383239746094,5364736.0,431.321591482,0.0,,0.0,0.0,0.0,0.0
6.62890625,0.0,1.4460774799829323e-09,1773849620.4089122,5618688.0,0.0,-0.005957229062914848,8.448214794043452e-05,0.0,0.0,0.0,32263.513376877516,73.40181732177734,5618688.0,469.182238533,0.0,"{'sha256': '88ed95f56d846e2e30daf1bf49d2624648043e9fd432faa2f983606516a2b1f3', 'path': 'media/html/render_5618688_88ed95f56d846e2e30da.html', 'size': 4692481.0, '_type': 'html-file'}",0.0,0.0,0.0,0.0
18.61328125,0.0,1.067165689150329e-09,1773849620.603464,5872640.0,0.0,-0.007512180600315332,9.527308429824188e-05,0.0,0.0,0.0,32299.180867298863,221.367431640625,5872640.0,481.224270316,0.0,,0.0,0.0,0.0,0.0
18.673828125,0.001953125,-2.22956500484095e-10,1773849632.4505947,6126592.0,0.001953125,-0.007526269648224115,8.441809040959924e-05,0.0,0.0,0.0,32218.734842959544,208.09359741210938,6126592.0,493.037849785,0.0,,0.0,0.0,0.001953125,0.0
14.19921875,0.001953125,3.8686906456142367e-10,1773849644.263937,6380544.0,0.001953125,-0.007900144904851913,0.00010943092638626695,0.0,0.0,0.0,32368.220927279588,197.59446716308594,6380544.0,504.874450447,0.0,,0.0,0.0,0.001953125,0.0
17.19921875,0.001953125,7.291224846106559e-10,1773849656.1005516,6634496.0,0.001953125,-0.0075477659702301025,8.162430458469316e-05,0.0,0.0,0.0,32241.97226284182,195.72459411621094,6634496.0,516.704019439,0.0,,0.0,0.0,0.001953125,0.0
15.3046875,0.0,-2.521477693306906e-09,1773849706.9642224,6888448.0,0.0,-0.007606209255754948,8.087718742899597e-05,0.0,0.0,0.0,32285.69099767473,214.35336303710938,6888448.0,555.737532549,0.0,"{'_type': 'html-file', 'sha256': 'bb5ce5a80dc3d2a25a89069387aceaf2d97b877de9094da9cf3c87ebe31814ea', 'path': 'media/html/render_6888448_bb5ce5a80dc3d2a25a89.html', 'size': 4726205.0}",0.0,0.0,0.0,0.0
15.51953125,0.0,6.462507751159308e-10,1773849707.1871538,7142400.0,0.0,-0.006232071202248335,6.980211765039712e-05,0.0,0.0,0.0,32258.04651286184,204.27821350097656,7142400.0,567.813501705,0.0,,0.0,0.0,0.0,0.0
17.427734375,0.0,4.866966829553121e-10,1773849719.0394242,7396352.0,0.0,-0.005054196808487177,5.582777885138057e-05,0.0,0.0,0.0,32208.48678160181,178.1639404296875,7396352.0,579.640401343,0.0,,0.0,0.0,0.0,0.0
16.228515625,0.0,9.459688588009385e-10,1773849730.8664117,7650304.0,0.0,-0.005238526966422796,6.864374881843105e-05,0.0,0.0,0.0,32289.702809091545,212.77059936523438,7650304.0,591.464252015,0.0,,0.0,0.0,0.0,0.0
