training/critic_loss,training/log_alpha,eval/episode_reward_ctrl,_runtime,training/actor_loss,eval/episode_dist,training/alpha_loss,_step,render,training/entropy,eval/episode_reward,step,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_success_hard,training/sps,eval/episode_success_any,_timestamp,eval/episode_success_easy,eval/episode_reward_survive,eval/episode_success
,,,57.450531593,,,,0.0,"{'_type': 'html-file', 'sha256': '565f018e40172422f7587a0157103e02e0c3d3e6be89e254e2cbf96714eebeba', 'path': 'media/html/render_0_565f018e40172422f758.html', 'size': 4757793.0}",,,,,,,,,1773870469.263304,,,
,,,126.338228694,,,,1.0,"{'path': 'media/html/render_1_20967d5ae897279d3840.html', 'size': 4708657.0, '_type': 'html-file', 'sha256': '20967d5ae897279d384072044c47886d243187903d107943c82670e386888cee'}",,,,,,,,,1773870538.1510315,,,
30.971128463745117,0.0,0.0,138.269021904,-59.013572692871094,159.93246459960938,4.720981597900391,793600.0,,0.0,0.0,793600.0,0.0,0.0,0.0,9907.161273073407,0.0,1773870538.3262477,13.501953125,0.0,0.0
6.892362594604492,0.0,0.0,149.978885107,-70.70620727539062,195.8550262451172,0.011767270043492317,1047552.0,,0.0,0.083984375,1047552.0,0.0,0.0,0.0,32584.073487685175,0.0078125,1773870550.081305,16.474609375,0.0,0.083984375
3.1947383880615234,0.0,0.0,161.724774246,-45.8348388671875,175.9674835205078,0.001902697840705514,1301504.0,,0.0,0.0,1301504.0,0.0,0.0,0.0,32810.77653536619,0.0,1773870561.7910337,12.326171875,0.0,0.0
0.9304215312004089,0.0,0.0,173.439279184,-22.742088317871094,229.9027557373047,0.0014913409249857068,1555456.0,,0.0,0.169921875,1555456.0,0.0,0.0,0.0,32630.842643122058,0.01171875,1773870573.5370317,15.783203125,0.0,0.169921875
0.2726561427116394,0.0,0.0,210.781144755,-11.419445991516113,292.8423156738281,0.0007142682443372905,1809408.0,"{'path': 'media/html/render_1809408_357fdf9352e73203f02c.html', 'size': 4753549.0, '_type': 'html-file', 'sha256': '357fdf9352e73203f02cdd9f0b78a42b1ce3ceebd27b1ce61028103664ad2f02'}",0.0,0.0,1809408.0,0.0,0.0,0.0,32780.649034095106,0.0,1773870622.5939407,23.845703125,0.0,0.0
0.16468629240989685,0.0,0.0,222.681823984,-7.175198078155518,337.1351013183594,0.000234591105254367,2063360.0,,0.0,0.0,2063360.0,0.0,0.0,0.0,32650.70364058915,0.0,1773870622.7804098,21.685546875,0.0,0.0
0.06889984011650085,0.0,0.0,234.406732397,-4.132476806640625,225.73495483398438,0.0003891521191690117,2317312.0,,0.0,0.0,2317312.0,0.0,0.0,0.0,32803.63952702973,0.0,1773870634.4933052,18.451171875,0.0,0.0
0.0184380654245615,0.0,0.0,246.12667128,-1.5818980932235718,248.66392517089844,0.00020551007764879614,2571264.0,,0.0,0.0,2571264.0,0.0,0.0,0.0,32718.68220102238,0.0,1773870646.2191474,19.0234375,0.0,0.0
0.0045117782428860664,0.0,0.0,257.859307445,-0.4076208770275116,317.322021484375,0.00011709838872775435,2825216.0,,0.0,0.0,2825216.0,0.0,0.0,0.0,32768.027217764546,0.0,1773870657.9388626,28.5,0.0,0.0
0.0008765249513089657,0.0,0.0,295.242389028,-0.07410527020692825,255.53787231445312,3.593251312850043e-05,3079168.0,"{'path': 'media/html/render_3079168_e6411f66bc0810f637f5.html', 'size': 4747913.0, '_type': 'html-file', 'sha256': 'e6411f66bc0810f637f5d1196c96f111fe6b1ddd4c9e013bdcd646871e67abf9'}",0.0,0.05078125,3079168.0,0.0,0.0,0.0,32693.683044919995,0.005859375,1773870707.0551984,27.79296875,0.0,0.05078125
0.00025480001932010055,0.0,0.0,307.201587727,-0.03493032976984978,225.91143798828125,1.2864863492723089e-05,3333120.0,,0.0,0.0,3333120.0,0.0,0.0,0.0,32776.6151676791,0.0,1773870707.244583,19.87109375,0.0,0.0
0.00012198068725410849,0.0,0.0,318.917696921,-0.024648984894156456,271.92486572265625,2.1502421077457257e-05,3587072.0,,0.0,0.0,3587072.0,0.0,0.0,0.0,32575.576163192047,0.0,1773870719.0136735,23.1875,0.0,0.0
