Model,Runs,Final IQM,± SE,Final Mean,Final Median
SAC+HER,10,0.3219,0.0010,0.3162,0.3208
CRL,10,0.2666,0.0099,0.2547,0.2637
SAC,10,0.1463,0.0013,0.1464,0.1445
TD3,10,0.1301,0.0025,0.1041,0.1294
TD3+HER,10,0.0536,0.0254,0.0809,0.1211
PPO,10,0.0391,0.0036,0.0383,0.0391
