Model,Runs,Final IQM,± SE,Final Mean,Final Median
SAC,10,1.0000,0.0000,0.9999,1.0000
SAC+HER,10,1.0000,0.0000,0.9998,1.0000
TD3+HER,10,1.0000,0.0000,1.0000,1.0000
CRL,10,1.0000,0.0000,1.0000,1.0000
TD3,10,0.9999,0.0001,0.9981,1.0000
PPO,10,0.9883,0.0070,0.9508,0.9824
