Model,Runs,Final IQM,± SE,Final Mean,Final Median
CRL,10,0.2041,0.0092,0.2043,0.1973
SAC+HER,10,0.0124,0.0069,0.0244,0.0127
SAC,10,0.0011,0.0006,0.0133,0.0020
PPO,10,0.0000,0.0000,0.0000,0.0000
TD3,10,0.0000,0.0000,0.0000,0.0000
TD3+HER,10,0.0000,0.0000,0.0000,0.0000
